"","State_Acronym","year","BUSLICTAX","CORPINCTX","CORPLICTAX","PROPTAX","SLGRTAX","SVRNCTAX","TLINCTAX","TLSLTAX","TOTLTAX","INCTAX","SALESTAX","state","sales","Region","Number","perc_change_Sales","perc_change_CIT_Rev"
"1","AL",2009,118668,493972,109384,315784,4203283,115374,3156731,2133748,8306446,2662759,NA,"Alabama",33.34,"Southeast",3,0,NA
"2","AL",2010,126525,428245,108682,316354,4445480,90538,3044245,2348046,8419911,2616000,NA,"Alabama",33.34,"Southeast",3,0,-0.142541289089227
"3","AL",2011,128898,301178,109434,315698,4575127,115975,3097084,2400488,8631984,2795906,NA,"Alabama",50,"Southeast",3,0.399808015358771,-0.348404149581244
"4","AL",2012,123994,413253,130843,321530,4626357,116467,3430690,2351699,9049294,3017437,NA,"Alabama",50,"Southeast",3,0,0.313746184026169
"5","AL",2019,72738,684296,161298,422322,5829203,51752,4879140,2713061,11782220,4194844,NA,"Alabama",50,"Southeast",3,0,0.49390596684066
"6","AL",2020,67867,754272,172986,445584,6274912,33403,5028324,2923709,12413368,4274052,NA,"Alabama",50,"Southeast",3,0,0.0972856340471914
"7","AL",2021,69799,1134256,187666,468015,7014522,38852,6043093,3102485,14251329,4908837,NA,"Alabama",100,"Southeast",3,0.666666666666667,0.402412884532292
"8","AL",2022,70335,1463618,207653,495753,7540587,60853,7552679,3211041,16324900,6089061,NA,"Alabama",100,"Southeast",3,0,0.253562720901784
"9","AZ",1989,24848,200027,3952,191877,2470297,0,1113371,628379,4060582,913344,NA,"Arizona",33.34,"Southwest",6,0,NA
"10","AZ",1990,30315,179832,3987,236178,2575371,0,1243636,657682,4376761,1063804,NA,"Arizona",33.34,"Southwest",6,0,-0.106328927312503
"11","AZ",1991,29695,192325,3987,278945,2677036,0,1437970,671235,4710745,1245645,NA,"Arizona",50,"Southwest",6,0.399808015358771,0.0671383314031444
"12","AZ",1992,32299,210824,4000,288356,2781851,0,1451196,693563,4826755,1240372,NA,"Arizona",50,"Southwest",6,0,0.0917725208297677
"13","AZ",2005,90877,701859,12212,374024,6699014,26338,3550309,1490944,11008428,2848450,NA,"Arizona",50,"Southwest",6,0,1.07602530122726
"14","AZ",2006,94484,890004,24778,878057,7911603,40494,4143283,1600310,13355582,3253279,NA,"Arizona",50,"Southwest",6,0,0.236383407366086
"15","AZ",2007,98885,986170,21828,924995,8289660,43560,4733557,1677310,14404976,3747387,NA,"Arizona",60,"Southwest",6,0.181818181818182,0.102512879935443
"16","AZ",2008,98925,784511,11232,901872,7593465,43757,4193087,1851551,13153271,3408576,NA,"Arizona",70,"Southwest",6,0.153846153846154,-0.227775641123387
"17","AZ",2009,110725,592187,28299,835240,6710545,19481,3167940,1831662,11134403,2575753,NA,"Arizona",80,"Southwest",6,0.133333333333333,-0.279398967674828
"18","AZ",2010,113170,413193,9456,774613,6717226,29101,2829517,1777508,10719958,2416324,NA,"Arizona",80,"Southwest",6,0,-0.356072330859973
