,State,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
1,AK,0,0,0,0,0,0,0,0.001076152,0.001098932,0.001389032,0.001433991,0.001145114,0.001388811,0.001466347,0.001040766,0.000973045,0.002014633,0.001549425,0.001535195,0.001354503,0.001418159,0.001766992,0.001461784,0.001283688,0.001370185,0.002611373,0.00427668,0.003899362,0.003120048,0.021190311,0.042437877,0.063268865,0.050255508,0.020247249,0.019638552,0.011604432,0.009657234,0.006889049,0.008394665,0.01926145,0.008511746,0.012460119,0.009153944,0.036050782,0.006853064,0.018160091,0.011129537,0.010786461,0.008870061,0.006884664,0.013481267,0.012637239,0.010718128,0.007295362,0.011233041,0.015215279,0.017309437,0.015378532,0.026022889,0.016093745,0.016920124,0.017551155,0.015896591,0.014059458,0.008795951,0.004687156,0.001480138,0.001967309,0.004052524,0.005570077,0.003718878,0.001399386
2,AL,0.001510798,0.001313762,0.001304665,0.001328469,0.001342792,0.001483746,0.001266273,0.001325739,0.008728941,0.007518461,0.008006448,0.007634353,0.007376148,0.006802866,0.009301996,0.010002094,0.011233849,0.013450353,0.012488898,0.009127404,0.008239021,0.009861278,0.007452266,0.007546368,0.007856822,0.008755966,0.008292247,0.008270719,0.007744339,0.008296005,0.008200232,0.0070064,0.008800211,0.010166658,0.01442915,0.011343418,0.008515976,0.007945398,0.008222039,0.009043017,0.008267759,0.008265171,0.007540946,0.007832343,0.008490178,0.00812653,0.007423194,0.007377337,0.007842193,0.007574168,0.007474905,0.006360024,0.012842186,0.008540267,0.009661274,0.010268751,0.011771186,0.009560269,0.010525537,0.012576444,0.011267795,0.00733423,0.009906316,0.008516728,0.008741532,0.010976428,0.010394688,0.011657342,0.01192128,0.011462714,0.014409752,0.012699414
3,AR,0.013330875,0.011463048,0.010338246,0.010401812,0.010516806,0.010092984,0.009704738,0.00987938,0.009059109,0.008295445,0.007510653,0.008553603,0.007907659,0.00705534,0.006524849,0.007136355,0.010231685,0.011286548,0.007795929,0.007040457,0.007016692,0.007705839,0.007148813,0.006972358,0.007634194,0.008200569,0.00772712,0.007326292,0.007778515,0.00689407,0.006284207,0.0057046,0.006549629,0.006608704,0.00684923,0.007386397,0.006150442,0.005646297,0.005377876,0.004679162,0.005990496,0.006004853,0.005744526,0.00636181,0.007172656,0.00658985,0.00780473,0.007486915,0.008133843,0.006897503,0.007286418,0.006385649,0.007040283,0.0062314,0.006015077,0.00716733,0.007763424,0.006859678,0.006869753,0.008814575,0.010139555,0.009177565,0.009686497,0.008977369,0.008571287,0.009803199,0.009877363,0.008897752,0.008066117,0.008943666,0.008960417,0.006924399
4,AZ,0.004945517,0.007824378,0.007468699,0.004252088,0.006522131,0.007074143,0.009536797,0,0.004229668,0.005303759,0.005791051,0.004796841,0.004262794,0.004650851,0.005412693,0.004808719,0.006566084,0.006470307,0.005848039,0.005685955,0.005593984,0.007881954,0.006369346,0.006895491,0.0065435,0.007460442,0.006393639,0.005645201,0.005945264,0.007367703,0.008840258,0.008944747,0.008196071,0.012197602,0.012723757,0.011474039,0.009280727,0.009715616,0.006855702,0.008381395,0.008267713,0.009447671,0.00964815,0.010119976,0.011802784,0.014358752,0.015283287,0.019561583,0.016985666,0.017727187,0.01608701,0.017078492,0.013783311,0.013718979,0.01738891,0.018140121,0.018749109,0.01863671,0.015734134,0.015076981,0.010871753,0.013642762,0.015528987,0.014752135,0.012371692,0.014213778,0.012518931,0.008251067,0.007701161,0.00861449,0.009992673,0.010143277
5,CA,0.127258729,0.143201535,0.142505697,0.147053849,0.163106411,0.180281858,0.176158679,0.169091293,0.16813077,0.174279849,0.203457172,0.21588233,0.222391065,0.206813363,0.238808075,0.215887954,0.212910632,0.20325487,0.229906625,0.186332323,0.157192564,0.155705911,0.149704541,0.159695476,0.173917677,0.188589904,0.176560085,0.178943665,0.193351906,0.195811775,0.188208145,0.193100122,0.188830235,0.194179617,0.207515799,0.207478461,0.208261559,0.232403094,0.221307037,0.212139843,0.226580389,0.218131738,0.206780889,0.195404738,0.180344874,0.197693044,0.198906224,0.188934119,0.179733616,0.177444762,0.204131312,0.217729733,0.212275879,0.239692974,0.229114675,0.224084939,0.217329998,0.210862743,0.237645203,0.242776779,0.239819076,0.234108434,0.190549868,0.166278105,0.190539671,0.185287255,0.217273166,0.226652878,0.257787786,0.231039931,0.187564069,0.292191648
6,CO,0.010247822,0.009507681,0.007306362,0.00680902,0.007975094,0.007671425,0.006797123,0.004445064,0.010769536,0.012147575,0.009087873,0.014653504,0.015500236,0.013976471,0.014593738,0.012404899,0.012151108,0.011586552,0.010612902,0.010063637,0.008965624,0.008422274,0.008257323,0.007187658,0.008769614,0.008749492,0.009569627,0.008783156,0.008027531,0.009259268,0.008302999,0.007315376,0.006527775,0.004271734,0.005655268,0.005765577,0.006353202,0.006059685,0.006792853,0.0071725,0.005671294,0.005625325,0.005649932,0.005693169,0.005684303,0.006535714,0.007016722,0.007301127,0.008721614,0.009785044,0.010300099,0.010731028,0.008168446,0.007040927,0.007925856,0.008162989,0.009641486,0.009060585,0.010188155,0.00839016,0.009472241,0.009339236,0.011799373,0.014532733,0.015433018,0.013763148,0.013738047,0.011846285,0.016156324,0.013311416,0.013308205,0.014309323
7,CT,0.020826825,0.027127807,0.026486011,0.024517411,0.032840069,0.031337033,0.031916585,0.030076685,0.029774714,0.027292798,0.026080493,0.024317473,0.02946865,0.031269662,0.030137972,0.029724789,0.033352604,0.035960574,0.031715176,0.027117727,0.031979612,0.037032656,0.027842507,0.025540305,0.023255895,0.021132624,0.01975677,0.021991084,0.018584792,0.019059043,0.018477058,0.017585467,0.024945741,0.027170798,0.02590363,0.02776369,0.033512127,0.030799569,0.027824337,0.033519086,0.031250162,0.025341767,0.027171003,0.029484263,0.027321255,0.024038437,0.021878698,0.018489406,0.017206904,0.015423447,0.01311779,0.012238659,0.005948859,0.012143399,0.012564806,0.014860933,0.013376903,0.016900866,0.012122093,0.011305718,0.013359748,0.01659369,0.014989891,0.012671007,0.013494002,0.013371475,0.016796381,0.020110083,0.015914024,0.034604985,0.039397854,0.029189341
8,DE,0,0,0,0,0,0,0,0,0.002293594,0.005129881,0.006337696,0.005323593,0.005578953,0.00590658,0.005898266,0.005279949,0.006375663,0.005714009,0.004598832,0.004742174,0.003597165,0.003616639,0.003967084,0.00342581,0.003901726,0.002641484,0.003143401,0.003165098,0.003901923,0.004130357,0.003044215,0.002327147,0.002580971,0.002264968,0.002891877,0.004678072,0.004404272,0.005132407,0.005522317,0.006511465,0.005415905,0.006015513,0.00589152,0.004701241,0.006035694,0.006660322,0.005663214,0.005617644,0.006602865,0.007558046,0.007389425,0.005008385,0.010016384,0.00733792,0.007203934,0.006432223,0.00622672,0.005711413,0.006190798,0.005312881,0.003747214,0.008327467,0.006289608,0.006899895,0.005998328,0.008243769,0.006980873,0.005517544,0.005259709,0.004857385,0.004678863,0.003748561
9,FL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.006312279,0.027227311,0.031387054,0.027138405,0.024851853,0.021168851,0.02385751,0.025925242,0.027880472,0.028456258,0.027412868,0.028242001,0.023559867,0.025754807,0.026454697,0.029126826,0.028880456,0.030393709,0.032128232,0.028597179,0.031811198,0.031241587,0.03698541,0.032501062,0.034369179,0.040130757,0.040891516,0.041180993,0.036369085,0.050224065,0.048515597,0.043227153,0.047680579,0.046140294,0.05068268,0.04615884,0.044295628,0.046764618,0.047181367,0.045534723,0.048026765,0.046164569,0.043959535,0.04602774,0.049857138,0.053427956,0.050096889,0.05217485,0.047411048,0.038147752
10,GA,0.024905127,0.031688876,0.02807954,0.017546654,0.017006534,0.015640139,0.020691423,0.022078803,0.019935119,0.02098055,0.020030104,0.019305035,0.019027327,0.023887433,0.024219057,0.024955469,0.029097091,0.029016008,0.026355698,0.023027802,0.022668879,0.023858194,0.02013842,0.021034862,0.022051476,0.017969166,0.018251963,0.018627486,0.018980944,0.018645603,0.017994673,0.017833991,0.019117881,0.018158825,0.020369564,0.023722216,0.022716459,0.021935488,0.022166881,0.021998821,0.021985903,0.020462775,0.017174589,0.019454594,0.020294091,0.022469323,0.024539765,0.023644908,0.023794491,0.025781144,0.021905806,0.021821661,0.022611826,0.017056472,0.016365093,0.018410236,0.018764446,0.019222872,0.018913628,0.017687378,0.018015553,0.016325698,0.014159421,0.017765485,0.020300562,0.020582083,0.021525089,0.021783243,0.020731058,0.021295177,0.01880018,0.019601667
11,HI,0,0,0,0,0,0.004206649,0.003917499,0.004208614,0.004509041,0.005621706,0.004787596,0.004600987,0.005585071,0.004054213,0.004161295,0.003922766,0.004883215,0.004726868,0.0044471,0.00432359,0.003900005,0.003760627,0.003064424,0.002375855,0.003020358,0.004743229,0.004861195,0.00300911,0.002700149,0.003288058,0.003772821,0.003729276,0.00308548,0.001674662,0.002383927,0.002763114,0.002372108,0.003750182,0.003612325,0.003691464,0.004356098,0.005716989,0.003101335,0.002195756,0.00266342,0.001626689,0.002235902,0.002199697,0.001986418,0.001703655,0.002314463,0.001909241,0.00209528,0.00107816,0.001922622,0.003208112,0.003119585,0.001905814,0.002111774,0.002001066,0.002101057,0.00165249,0.001923861,0.002755577,0.002711134,0.001486238,0.002373438,0.004142837,0.003030935,0.003190817,0.000834452,0.002143253
12,IA,0.004527274,0.004307918,0.003442501,0.00285448,0.002926664,0.003086407,0.003571541,0.003901431,0.00315711,0.002675726,0.003226479,0.003600395,0.003430731,0.003098795,0.002960048,0.003051847,0.003824613,0.005377626,0.007579453,0.007580749,0.006493677,0.008282667,0.008403614,0.008716692,0.009878763,0.009577092,0.010701807,0.010016995,0.010146954,0.01072552,0.010401663,0.009606394,0.010506932,0.010529022,0.008515878,0.008757887,0.007529504,0.007305806,0.007314156,0.008492769,0.009174608,0.009919453,0.008824123,0.006904064,0.006783587,0.007589849,0.006922199,0.007195846,0.006331608,0.007623443,0.00659876,0.005262176,0.003515087,0.004933366,0.002971514,0.004819444,0.006003396,0.006143328,0.006964397,0.006730688,0.005055451,0.006094577,0.010206512,0.009549604,0.008360625,0.009529295,0.00826915,0.009682906,0.009148416,0.008971791,0.011853879,0.008885803
13,ID,0.005628364,0.005092102,0.004851014,0.004343451,0.003769149,0.003618826,0.004080961,0.0041783,0.003721717,0.004699659,0.004896926,0.004338006,0.003943888,0.003594443,0.003581912,0.00423018,0.004168155,0.004302011,0.003180812,0.00315495,0.002976235,0.003669211,0.002919944,0.002953736,0.003836716,0.004239924,0.004365918,0.003382891,0.003103472,0.003236192,0.003198179,0.003597059,0.002937927,0.002365633,0.001635831,0.002420823,0.002317289,0.002310284,0.002839396,0.003001014,0.003341989,0.002933261,0.003119778,0.002935651,0.003505389,0.004452964,0.00521001,0.004501518,0.003785758,0.003125111,0.003869994,0.004480826,0.003055709,0.003293702,0.003433255,0.003633535,0.004177493,0.003557165,0.003814526,0.003621406,0.002587137,0.004145019,0.004520771,0.00446424,0.004086801,0.004465606,0.004146939,0.004855595,0.004970861,0.004773412,0.004699037,0.003935247
