"","state","state_name","fips","year","cit","cit_flag","property","payroll","sales","throwback","throwout","sal","ui","ui_rate","ui_base","pinc","pr","property_taxes_state","property_taxes_local","total_revenue_state","total_revenue_local","general_revenue_state","general_revenue_local","fa1","fa2","fa3","fa4","fa5","fa6","fa7","fa8","fa9","fa10","fa11","fa12","fa13","fa14","fa15","fa16","fa17","fa18","ti1","ti2","ti3","ti4","ti5","ti6","ti7","ti8","ti9","ti10","ti11","ti12","ti13","ti14","ti15","ue","gdp","bal"
"1","AK","Alaska",2,1976,9.4,0,33.33,33.33,33.34,1,0,0,41000,4.1,10000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.6,7470,0.150460358799098
"2","AK","Alaska",2,1977,9.4,0,33.33,33.33,33.34,1,0,0,48000,4.8,10000,14.5,0.277756975852331,409767,126557,1391605,539306,1220263,500294,0,1,0,1,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,9.6,7544,0.212633617087651
"3","AK","Alaska",2,1978,9.4,0,33.33,33.33,33.34,1,0,0,48000,4.8,10000,14.5,0.165305983586496,173197,152349,1317890,651464,1147198,601952,1,1,0,1,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,10.6,9130,0.0222184301664928
"4","AK","Alaska",2,1979,9.4,0,33.33,33.33,33.34,1,0,0,51000,5.1,10000,0,0.133145945654133,162151,173270,1699416,819782,1508307,770072,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,9,10891,0.158913711046265
"5","AK","Alaska",2,1980,9.4,0,33.33,33.33,33.34,1,0,0,51000,5.1,10000,0,0.0868583136455583,169016,190986,3229513,915191,3011436,854770,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,9.4,15282,0.588765878985673
"6","AK","Alaska",2,1981,9.4,0,33.33,33.33,33.34,1,0,0,67830,5.1,13300,0,0.0545091271151986,143179,199916,5133651,1160616,4867003,1091842,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,9.1,21824,1.01850553593314
"7","AK","Alaska",2,1982,9.4,0,33.33,33.33,33.34,1,0,0,74460,5.1,14600,0,0.048642149256851,142719,218460,5888850,1536377,5582926,1455096,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,9.8,23461,0.794896803758742
"8","AK","Alaska",2,1983,9.4,0,33.33,33.33,33.34,1,0,0,76760,3.8,20200,0,0.0577990616065967,152580,248875,5246838,1698863,4870752,1606345,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,10,22591,0.361390731982227
"9","AK","Alaska",2,1984,9.4,0,33.33,33.33,33.34,1,0,0,87740,4.1,21400,0,0.0591762787534296,131050,305642,5462672,1916839,5024981,1812441,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,9.9,23787,0.314134542451404
"10","AK","Alaska",2,1985,9.4,0,33.33,33.33,33.34,1,0,0,117720,5.4,21800,0,0.0676816399082555,120548,437728,5917595,2330964,5453073,2205704,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,9.6,26142,0.195535808626832
