"Abbreviation","State","EffectiveYear","Year","Revenue","GDPDEF","RealRev","population","RealRevPerCapita"
"AK","Alaska",NA,1981,894843,46.244,1935046.70876222,418.491,4623.86696192324
"AK","Alaska",NA,2016,67457,105.73675,63797.1187879332,742.575,85.913367387716
"AK","Alaska",NA,1972,6455,23.74125,27188.9643552888,324.464,83.796551713869
"AK","Alaska",NA,1961,1450,16.803,8629.41141462834,238,36.2580311539006
"AK","Alaska",NA,1950,0,13.079,0,135,0
"AK","Alaska",NA,2019,332520,112.31475,296060.846861165,733.603,403.570932590468
"AK","Alaska",NA,1996,326270,73.133,446132.388935228,604.918,737.508867210478
"AK","Alaska",NA,1959,1398,16.4025,8523.0909922268,224,38.0495133581554
"AK","Alaska",NA,1990,185140,63.6315,290956.523105695,553.12,526.027847674456
"AK","Alaska",NA,2012,663144,99.9985,663153.94730921,730.81,907.423197971032
"AK","Alaska",NA,1980,565329,42.247,1338151.82143111,405.315,3301.51072975614
"AK","Alaska",NA,1988,181387,59.01325,307366.565983063,541.983,567.114772941334
"AK","Alaska",NA,1954,0,14.56225,0,215,0
"AK","Alaska",NA,1967,3450,18.81325,18338.139343282,278,65.9645300118058
"AK","Alaska",NA,1983,266302,51.012,522037.951854466,488.417,1068.83657172962
"AK","Alaska",NA,1984,304621,52.85775,576303.38029901,513.702,1121.86322089268
"AK","Alaska",NA,2011,720733,98.161,734235.592546938,722.349,1016.4554703432
"AK","Alaska",NA,1958,1125,16.1795,6953.24330170895,224,31.0412647397721
"AK","Alaska",NA,1951,0,14.013,0,158,0
"AK","Alaska",NA,1976,31103,31.4675,98841.6620322555,400.969,246.506991892778
"AK","Alaska",NA,1969,4307,20.577,20931.136706031,296,70.7132996825372
"AK","Alaska",NA,1985,204600,54.5315,375195.987640171,532.495,704.60001998173
"AK","Alaska",NA,1994,176070,70.3425,250303.870348651,600.624,416.739707951482
"AK","Alaska",NA,1987,141068,57.00375,247471.438282569,539.309,458.867621869038
"AK","Alaska",NA,1960,1692,16.62725,10176.066397029,229,44.4369711660655
"AK","Alaska",NA,1997,331337,74.39475,445376.85791,608.846,731.509869342987
"AK","Alaska",NA,2017,87775,107.743,81467.009457691,740.983,109.944505417386
"AK","Alaska",NA,2014,408938,103.6485,394543.095172627,737.075,535.282156052813
"AK","Alaska",NA,1952,0,14.255,0,189,0
"AK","Alaska",NA,2020,194663,113.7685,171104.479710992,732.923,233.454919153843
"AK","Alaska",NA,1989,459686,61.33125,749513.502496688,547.159,1369.82760494973
"AK","Alaska",NA,1982,703663,49.1005,1433107.60582886,449.606,3187.47437940966
"AK","Alaska",NA,2006,821664,90.201,910925.599494462,675.302,1348.91589169655
"AK","Alaska",NA,2013,630941,101.7475,620104.670876434,737.626,840.676265311193
"AK","Alaska",NA,1965,1877,17.78375,10554.5793210093,271,38.9467871623959
