"Year","State","Revenue","GDPDEF","RealRev","population","RealRevPerCapita"
1950,"AK",0,13.079,0,135,0
1950,"AL",885,13.079,6766.57236791804,3058,2.21274439761872
1950,"AR",7809,13.079,59706.3995718327,1908,31.2926622493882
1950,"AZ",2897,13.079,22150.0114687667,756,29.2989569692681
1950,"CA",74546,13.079,569967.122868721,10677,53.3827032751448
1950,"CO",6003,13.079,45898.0044345898,1325,34.6400033468602
1950,"CT",12200,13.079,93279.3026989831,2016,46.2694953864003
1950,"DE",0,13.079,0,321,0
1950,"FL",0,13.079,0,2810,0
1950,"GA",14589,13.079,111545.22517012,3458,32.2571501359514
1950,"HI",0,13.079,0,498,0
1950,"IA",2652,13.079,20276.7795703035,2625,7.72448745535371
1950,"ID",3297,13.079,25208.349262176,590,42.7260156986034
1950,"IL",0,13.079,0,8738,0
1950,"IN",0,13.079,0,3967,0
1950,"KS",3456,13.079,26424.0385350562,1916,13.7912518450189
1950,"KY",8305,13.079,63498.7384356602,2936,21.6276357069687
1950,"LA",0,13.079,0,2697,0
1950,"MA",19450,13.079,148711.675204526,4686,31.7353126770222
1950,"MD",10463,13.079,79998.4708311033,2355,33.969626679874
1950,"ME",0,13.079,0,917,0
1950,"MI",0,13.079,0,6407,0
1950,"MN",15568,13.079,119030.506919489,2997,39.7165521920217
1950,"MO",0,13.079,0,3964,0
1950,"MS",7637,13.079,58391.3143206667,2176,26.8342437135417
1950,"MT",1678,13.079,12829.7270433519,593,21.6352901236963
1950,"NC",30015,13.079,229490.022172949,4068,56.4134764436944
1950,"ND",1306,13.079,9985.4728954813,619,16.1316201865611
1950,"NE",0,13.079,0,1327,0
1950,"NH",0,13.079,0,532,0
1950,"NJ",0,13.079,0,4872,0
1950,"NM",1255,13.079,9595.53482682162,689,13.9267559170125
1950,"NV",0,13.079,0,162,0
1950,"NY",180664,13.079,1381328.84777124,14865,92.9249140781191
1950,"OH",0,13.079,0,7980,0
1950,"OK",7893,13.079,60348.6505084487,2229,27.0743160648043
1950,"OR",17017,13.079,130109.335576114,1532,84.9277647363668
1950,"PA",64214,13.079,490970.257664959,10507,46.7279202117597
1950,"RI",4382,13.079,33504.0905267987,786,42.6260693725174
1950,"SC",14487,13.079,110765.349032801,2113,52.4208940051117
1950,"SD",143,13.079,1093.35576114382,655,1.66924543686079
1950,"TN",10443,13.079,79845.5539414328,3315,24.0861399521668
1950,"TX",0,13.079,0,7776,0
1950,"UT",2584,13.079,19756.862145424,696,28.386296185954
1950,"VA",18458,13.079,141126.997476871,3315,42.5722465993578
1950,"VT",1172,13.079,8960.9297346892,379,23.6436140756971
1950,"WA",0,13.079,0,2387,0
1950,"WI",40315,13.079,308242.220353238,3438,89.6574230230477
1950,"WV",0,13.079,0,2006,0
1950,"WY",0,13.079,0,290,0
1951,"AK",0,14.013,0,158,0
1951,"AL",903,14.013,6444.01627060587,3059,2.10657609369267
1951,"AR",7879,14.013,56226.3612359952,1901,29.5772547269833
1951,"AZ",5378,14.013,38378.6483979162,785,48.8899979591289
1951,"CA",98428,14.013,702404.909726682,11134,63.0864837189404
1951,"CO",6535,14.013,46635.2672518376,1326,35.1698848053074
1951,"CT",18646,14.013,133062.1565689,2028,65.6125032391026
1951,"DE",0,14.013,0,331,0
1951,"FL",0,14.013,0,2980,0
1951,"GA",21781,14.013,155434.239634625,3531,44.0198922782852
1951,"HI",0,14.013,0,514,0
1951,"IA",2961,14.013,21130.3789338471,2617,8.07427548102679
1951,"ID",3500,14.013,24976.8072504103,589,42.4054452468766
1951,"IL",0,14.013,0,8790,0
1951,"IN",0,14.013,0,4096,0
1951,"KS",3644,14.013,26004.4244629986,1950,13.3356022887172
1951,"KY",9400,14.013,67080.5680439592,2941,22.8087616606458
1951,"LA",0,14.013,0,2769,0
1951,"MA",26309,14.013,187747.091986013,4654,40.3410167567712
1951,"MD",12283,14.013,87654.3209876543,2441,35.9091851649546
1951,"ME",0,14.013,0,916,0
1951,"MI",0,14.013,0,6497,0
1951,"MN",19154,14.013,136687.361735531,3010,45.4110836330668
1951,"MO",0,14.013,0,4015,0
1951,"MS",8841,14.013,63091.4151145365,2163,29.1684767057497
1951,"MT",2615,14.013,18661.243131378,596,31.3108106231175
1951,"NC",39101,14.013,279033.754370941,4120,67.7266394104226
1951,"ND",1351,14.013,9641.04759865839,604,15.9619993355271
1951,"NE",0,14.013,0,1316,0
1951,"NH",0,14.013,0,529,0
1951,"NJ",0,14.013,0,5006,0
1951,"NM",1303,14.013,9298.50852779562,717,12.9686311405797
1951,"NV",0,14.013,0,168,0
1951,"NY",167280,14.013,1193748.66195675,14890,80.1711660145568
1951,"OH",0,14.013,0,8061,0
1951,"OK",8289,14.013,59152.2157996146,2210,26.7657085066129
1951,"OR",14538,14.013,103746.521087562,1556,66.6751420871221
1951,"PA",91495,14.013,652929.422678941,10461,62.4155838523029
1951,"RI",6678,14.013,47655.7482337829,784,60.7853931553353
1951,"SC",13552,14.013,96710.1976735888,2167,44.6286099093626
1951,"SD",150,14.013,1070.43459644616,655,1.63425129228421
1951,"TN",12201,14.013,87069.1500749304,3372,25.8212188834313
1951,"TX",0,14.013,0,8111,0
1951,"UT",2485,14.013,17733.5331477913,706,25.11831890622
1951,"VA",25466,14.013,181731.249553986,3434,52.9211559563151
1951,"VT",1360,14.013,9705.27367444516,378,25.6753271810719
1951,"WA",0,14.013,0,2424,0
1951,"WI",53833,14.013,384164.70420324,3439,111.708259436825
1951,"WV",0,14.013,0,1984,0
1951,"WY",0,14.013,0,291,0
1952,"AK",0,14.255,0,189,0
1952,"AL",1093,14.255,7667.48509294984,3068,2.49918027801494
1952,"AR",8661,14.255,60757.6289021396,1838,33.0563813395754
1952,"AZ",6257,14.255,43893.3707471063,842,52.1298939989386
1952,"CA",119386,14.255,837502.63065591,11635,71.9813176326523
1952,"CO",6121,14.255,42939.3195370046,1365,31.4573769501865
1952,"CT",22189,14.255,155657.663977552,2081,74.7994540978145
1952,"DE",0,14.255,0,341,0
1952,"FL",0,14.255,0,3157,0
1952,"GA",23524,14.255,165022.799017888,3584,46.0443077616875
1952,"HI",0,14.255,0,517,0
1952,"IA",2884,14.255,20231.4977200982,2626,7.70430225441668
1952,"ID",4064,14.255,28509.2949842161,587,48.5677938402319
1952,"IL",0,14.255,0,8956,0
1952,"IN",0,14.255,0,4148,0
1952,"KS",3790,14.255,26587.1623991582,1977,13.4482359125737
1952,"KY",10853,14.255,76134.6895826026,2920,26.0735238296584
1952,"LA",0,14.255,0,2842,0
1952,"MA",29114,14.255,204237.10978604,4650,43.921959093772
1952,"MD",14627,14.255,102609.610662925,2500,41.04384426517
1952,"ME",0,14.255,0,915,0
1952,"MI",0,14.255,0,6650,0
1952,"MN",21696,14.255,152199.228340933,3030,50.2307684293508
1952,"MO",0,14.255,0,3972,0
1952,"MS",10042,14.255,70445.4577341284,2152,32.7348781292418
1952,"MT",2284,14.255,16022.4482637671,602,26.6153625643972
1952,"NC",42564,14.255,298589.968432129,4109,72.6673079659598
1952,"ND",1391,14.255,9757.97965626096,608,16.0493086451661
1952,"NE",0,14.255,0,1311,0
1952,"NH",0,14.255,0,535,0
1952,"NJ",0,14.255,0,5125,0
1952,"NM",1271,14.255,8916.16976499474,735,12.1308432176799
1952,"NV",0,14.255,0,181,0
1952,"NY",218129,14.255,1530192.91476675,15192,100.723598918296
1952,"OH",0,14.255,0,8275,0
1952,"OK",8850,14.255,62083.4794808839,2219,27.9781340607859
1952,"OR",22071,14.255,154829.88425114,1582,97.8697119160177
1952,"PA",127854,14.255,896906.348649597,10503,85.3952536084544
1952,"RI",7983,14.255,56001.4030164854,802,69.8271858060915
1952,"SC",17520,14.255,122904.244124868,2178,56.429864152832
1952,"SD",161,14.255,1129.42827078218,651,1.73491285834436
1952,"TN",16791,14.255,117790.249035426,3352,35.1402890917142
1952,"TX",0,14.255,0,8314,0
1952,"UT",3227,14.255,22637.6709926342,724,31.2675013710417
1952,"VA",22425,14.255,157313.223430375,3504,44.895326321454
1952,"VT",2912,14.255,20427.9200280603,375,54.4744534081608
1952,"WA",0,14.255,0,2448,0
1952,"WI",58029,14.255,407078.218169064,3469,117.347425243316
1952,"WV",0,14.255,0,1957,0
1952,"WY",0,14.255,0,293,0
1953,"AK",0,14.4295,0,205,0
1953,"AL",1076,14.4295,7456.9458401192,3053,2.44249781857819
1953,"AR",8425,14.4295,58387.3315083683,1780,32.8018716339148
1953,"AZ",3444,14.4295,23867.7708860321,894,26.6977302975751
1953,"CA",119107,14.4295,825440.936969403,12251,67.3774334315079
1953,"CO",5515,14.4295,38220.3125541426,1431,26.7088138044323
1953,"CT",19858,14.4295,137620.846183166,2168,63.4782500844862
1953,"DE",0,14.4295,0,351,0
1953,"FL",0,14.4295,0,3310,0
1953,"GA",14212,14.4295,98492.6712637305,3558,27.6820323956522
1953,"HI",0,14.4295,0,510,0
1953,"IA",2312,14.4295,16022.7312103677,2629,6.09461057830647
1953,"ID",3518,14.4295,24380.6091687169,596,40.907062363619
1953,"IL",0,14.4295,0,9065,0
1953,"IN",0,14.4295,0,4182,0
1953,"KS",3289,14.4295,22793.5825912194,1994,11.4310845492575
1953,"KY",9765,14.4295,67673.8625732007,2903,23.3116991295903
1953,"LA",0,14.4295,0,2866,0
1953,"MA",24653,14.4295,170851.380851727,4806,35.5496006765974
1953,"MD",16304,14.4295,112990.74812017,2567,44.0166529490339
1953,"ME",0,14.4295,0,913,0
1953,"MI",0,14.4295,0,6822,0
1953,"MN",16222,14.4295,112422.467860979,3050,36.8598255281898
1953,"MO",0,14.4295,0,4020,0
1953,"MS",8889,14.4295,61602.9661457431,2105,29.2650670526095
1953,"MT",1610,14.4295,11157.6977719256,616,18.1131457336455
1953,"NC",38429,14.4295,266322.464395856,4120,64.6413748533631
1953,"ND",967,14.4295,6701.54891021865,609,11.0041854026579
1953,"NE",0,14.4295,0,1318,0
1953,"NH",0,14.4295,0,547,0
1953,"NJ",0,14.4295,0,5229,0
1953,"NM",1080,14.4295,7484.66682837243,756,9.90035294758258
1953,"NV",0,14.4295,0,195,0
1953,"NY",225720,14.4295,1564295.36712984,15527,100.746787346547
1953,"OH",0,14.4295,0,8591,0
1953,"OK",8538,14.4295,59170.4494265221,2182,27.1175295263621
1953,"OR",18606,14.4295,128944.176859905,1601,80.5397731792036
1953,"PA",142467,14.4295,987331.508368273,10662,92.6028426531864
1953,"RI",7683,14.4295,53245.0881873939,815,65.3313965489496
1953,"SC",14717,14.4295,101992.446030701,2181,46.7640742919308
1953,"SD",151,14.4295,1046.46730655948,648,1.61491868296216
1953,"TN",16275,14.4295,112789.770955335,3319,33.9830584378834
1953,"TX",0,14.4295,0,8336,0
1953,"UT",2997,14.4295,20769.9504487335,739,28.1054809861076
1953,"VA",20634,14.4295,142998.717904293,3557,40.2020573247942
1953,"VT",2321,14.4295,16085.1034339374,379,42.4409061581462
1953,"WA",0,14.4295,0,2466,0
1953,"WI",51171,14.4295,354627.672476524,3506,101.14879420323
1953,"WV",0,14.4295,0,1929,0
1953,"WY",0,14.4295,0,290,0
1954,"AK",0,14.56225,0,215,0
1954,"AL",1036,14.56225,7114.28522378066,3014,2.3604131465762
1954,"AR",8114,14.56225,55719.4114920428,1734,32.1334553010627
1954,"AZ",5032,14.56225,34555.0996583632,933,37.0365484012467
1954,"CA",125841,14.56225,864159.041356933,12746,67.7984498161724
1954,"CO",6153,14.56225,42253.0858898865,1493,28.300794299991
1954,"CT",25337,14.56225,173990.969802057,2249,77.3637037803722
1954,"DE",0,14.56225,0,368,0
1954,"FL",0,14.56225,0,3505,0
1954,"GA",13121,14.56225,90102.8343834229,3602,25.0146680686904
1954,"HI",0,14.56225,0,505,0
1954,"IA",2258,14.56225,15505.8455939158,2626,5.9047393731591
1954,"ID",2908,14.56225,19969.441535477,600,33.2824025591283
1954,"IL",0,14.56225,0,9252,0
1954,"IN",0,14.56225,0,4264,0
1954,"KS",3550,14.56225,24378.1009116036,2042,11.938345206466
1954,"KY",8343,14.56225,57291.9706776082,2902,19.7422366221944
1954,"LA",0,14.56225,0,2883,0
1954,"MA",26066,14.56225,178997.064327285,4910,36.455613915944
1954,"MD",13961,14.56225,95871.1737540559,2685,35.7062099642666
1954,"ME",0,14.56225,0,927,0
1954,"MI",0,14.56225,0,7066,0
1954,"MN",14505,14.56225,99606.8602036086,3113,31.9970639908797
1954,"MO",0,14.56225,0,4066,0
1954,"MS",10940,14.56225,75125.7532318151,2064,36.3981362557244
1954,"MT",1812,14.56225,12443.1320709368,624,19.9409167803474
1954,"NC",37907,14.56225,260310.048241171,4131,63.0138097896807
1954,"ND",940,14.56225,6455.04643856547,611,10.5647241220384
1954,"NE",0,14.56225,0,1340,0
1954,"NH",0,14.56225,0,554,0
1954,"NJ",0,14.56225,0,5360,0
1954,"NM",1052,14.56225,7224.15835464986,763,9.468097450393
1954,"NV",0,14.56225,0,213,0
1954,"NY",204449,14.56225,1403965.73331731,15814,88.7799249599918
1954,"OH",0,14.56225,0,8873,0
1954,"OK",7844,14.56225,53865.302408625,2209,24.3844737024106
1954,"OR",14811,14.56225,101708.183831482,1626,62.5511585679471
1954,"PA",121797,14.56225,836388.607529743,10817,77.3216795349675
1954,"RI",7095,14.56225,48721.8664698106,816,59.7081696933953
1954,"SC",14305,14.56225,98233.4460677436,2176,45.1440469061322
1954,"SD",148,14.56225,1016.3264605401,655,1.55164345120626
1954,"TN",16266,14.56225,111699.7716699,3359,33.2538766507592
1954,"TX",0,14.56225,0,8382,0
1954,"UT",3982,14.56225,27344.675445072,750,36.459567260096
1954,"VA",21958,14.56225,150787.137976618,3555,42.4155099793581
1954,"VT",2142,14.56225,14709.2653951141,377,39.0166190851833
1954,"WA",0,14.56225,0,2516,0
1954,"WI",47854,14.56225,328616.800288417,3608,91.0800444258362
1954,"WV",0,14.56225,0,1905,0
1954,"WY",0,14.56225,0,293,0
1955,"AK",0,14.807,0,222,0
1955,"AL",1098,14.807,7415.41162963463,3050,2.43128250151955
1955,"AR",7469,14.807,50442.3583440265,1725,29.2419468661023
1955,"AZ",5235,14.807,35354.8997095968,987,35.8205670816584
