Year,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,Florida,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming
1985,0.333333333,0.333333333,0.333333333,0.333333333,0.333333333,0.333333333,0.5,0.333333333,0.5,0.333333333,0.333333333,0.333333333,0.333333333,0.333333333,1,0.333333333,0.333333333,0.333333333,0.333333333,0.333333333,0.5,0.333333333,0.333333333,0.333333333,0.333333333,0.333333333,0.333333333,NA,0.333333333,0.333333333,0.333333333,0.5,0.333333333,0.333333333,0.5,0.333333333,0.333333333,0.333333333,0.333333333,0.333333333,NA,0.333333333,NA,0.333333333,0.333333333,0.333333333,NA,0.333333333,0.5,NA
1986,0.333333333,0.333333333,0.333333333,0.333333333,0.333333333,0.333333333,0.5,0.333333333,0.5,0.333333333,0.333333333,0.333333333,0.333333333,0.333333333,1,0.333333333,0.5,0.333333333,0.333333333,0.333333333,0.5,0.333333333,0.333333333,0.333333333,0.333333333,0.333333333,0.333333333,,0.333333333,0.333333333,0.333333333,0.5,0.333333333,0.333333333,0.5,0.333333333,0.333333333,0.333333333,0.333333333,0.333333333,,0.333333333,,0.333333333,0.333333333,0.333333333,,0.5,0.5,
1987,0.333333333,0.333333333,0.333333333,0.333333333,0.333333333,0.333333333,0.5,0.333333333,0.5,0.333333333,0.333333333,0.333333333,0.5,0.333333333,1,0.333333333,0.5,0.333333333,0.333333333,0.333333333,0.5,0.333333333,0.7,0.333333333,0.333333333,0.333333333,0.333333333,,0.333333333,0.333333333,0.333333333,0.5,0.333333333,0.333333333,0.5,0.333333333,0.333333333,0.333333333,0.333333333,0.333333333,,0.333333333,,0.333333333,0.333333333,0.333333333,,0.5,0.5,
1988,0.333333333,0.333333333,0.333333333,0.333333333,0.333333333,0.333333333,0.5,0.333333333,0.5,0.333333333,0.333333333,0.333333333,0.5,0.333333333,1,0.333333333,0.5,0.333333333,0.333333333,0.333333333,0.5,0.333333333,0.7,0.333333333,0.333333333,0.333333333,0.466666667,,0.333333333,0.333333333,0.333333333,0.5,0.333333333,0.333333333,0.5,0.333333333,0.333333333,0.333333333,0.333333333,0.333333333,,0.333333333,,0.333333333,0.333333333,0.333333333,,0.5,0.5,
1989,0.333333333,0.333333333,0.333333333,0.333333333,0.333333333,0.333333333,0.5,0.333333333,0.5,0.333333333,0.333333333,0.333333333,0.5,0.333333333,1,0.333333333,0.5,0.333333333,0.333333333,0.333333333,0.5,0.333333333,0.7,0.333333333,0.333333333,0.333333333,0.6,,0.333333333,0.333333333,0.333333333,0.5,0.5,0.333333333,0.5,0.333333333,0.333333333,0.333333333,0.333333333,0.333333333,,0.333333333,,0.333333333,0.333333333,0.333333333,,0.5,0.5,
1990,0.333333333,0.333333333,0.333333333,0.333333333,0.333333333,0.333333333,0.5,0.333333333,0.5,0.333333333,0.333333333,0.333333333,0.5,0.333333333,1,0.333333333,0.5,0.333333333,0.333333333,0.333333333,0.5,0.333333333,0.7,0.333333333,0.333333333,0.333333333,0.733333333,,0.333333333,0.333333333,0.333333333,0.5,0.5,0.333333333,0.5,0.333333333,0.333333333,0.333333333,0.333333333,0.333333333,,0.333333333,,0.333333333,0.333333333,0.333333333,,0.5,0.5,
1991,0.333333333,0.333333333,0.333333333,0.333333333,0.333333333,0.333333333,0.5,0.333333333,0.5,0.333333333,0.333333333,0.333333333,0.5,0.333333333,1,0.333333333,0.5,0.333333333,0.5,0.333333333,0.5,0.4,0.7,0.333333333,0.333333333,0.333333333,0.866666667,,0.333333333,0.333333333,0.333333333,0.5,0.5,0.333333333,0.5,0.333333333,0.5,0.333333333,0.333333333,0.333333333,,0.333333333,,0.333333333,0.333333333,0.333333333,,0.5,0.5,
1992,0.333333333,0.333333333,0.5,0.333333333,0.333333333,0.333333333,0.5,0.333333333,0.5,0.333333333,0.333333333,0.333333333,0.5,0.333333333,1,0.333333333,0.5,0.333333333,0.5,0.5,0.5,0.4,0.7,0.333333333,0.333333333,0.333333333,1,,0.5,0.333333333,0.333333333,0.5,0.5,0.333333333,0.5,0.333333333,0.5,0.333333333,0.333333333,0.333333333,,0.333333333,,0.333333333,0.333333333,0.333333333,,0.5,0.5,
1993,0.333333333,0.333333333,0.5,0.333333333,0.5,0.333333333,0.5,0.333333333,0.5,0.333333333,0.333333333,0.333333333,0.5,0.333333333,1,0.333333333,0.5,0.333333333,0.5,0.5,0.5,0.5,0.7,0.333333333,0.333333333,0.333333333,1,,0.5,0.333333333,0.333333333,0.5,0.5,0.333333333,0.5,0.333333333,0.5,0.333333333,0.333333333,0.333333333,,0.333333333,,0.333333333,0.333333333,0.333333333,,0.5,0.5,
1994,0.333333333,0.333333333,0.5,0.333333333,0.5,0.333333333,0.5,0.333333333,0.5,0.333333333,0.333333333,0.333333333,0.5,0.333333333,1,0.333333333,0.5,0.333333333,0.5,0.5,0.5,0.5,0.7,0.333333333,0.333333333,0.333333333,1,,0.5,0.333333333,0.333333333,0.5,0.5,0.333333333,0.5,0.333333333,0.5,0.6,0.333333333,0.333333333,,0.333333333,,0.333333333,0.333333333,0.333333333,,0.5,0.5,
