Data Collection on Fixed Factors and Adoption Drivers,,,,,,,,,,,,,
Fellow: Jaros,,,,,,,,,,,,,
Local Area Unemployment Statistics - LAUS,,,,,,,,,,,,,
,,,,,,,,,,,,,
State/Region/Division:,States,,,,,,,,,,,,
Area: ,Statewide,,,,,,,,,,,,
Measure:,05 Employment,,,,,,,,,,,,
Seasonal:,Seasonally Adjusted,,,,,,,,,,,,
Code:,LAST0XXXXXXXXXXXXXX,,,,,,,,,,,,
Reference Link:,https://www.bls.gov/lau/data.htm,,,,,,,,,,,,
,,,,,,,,,,,,,
State,Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
Alabama,1975,0,0,0,0,0,0,0,0,0,0,0,0
Alabama,1976,1387606,1387267,1388303,1392012,1396244,1400036,1402922,1405216,1407784,1410640,1413890,1417615
Alabama,1977,1421845,1426532,1431490,1436852,1442572,1448365,1454156,1460000,1466428,1473550,1480792,1487498
Alabama,1978,1493599,1499063,1503777,1507751,1511281,1514811,1518283,1521361,1523811,1525835,1527824,1529624
Alabama,1979,1530840,1531741,1532857,1534208,1535905,1537704,1539516,1541423,1543273,1544853,1545791,1545849
Alabama,1980,1544837,1542399,1538590,1534273,1530174,1527020,1525098,1523962,1522970,1521620,1520302,1519752
Alabama,1981,1520021,1520733,1521340,1520663,1517706,1512333,1505000,1496959,1489709,1484248,1480413,1477971
Alabama,1982,1476927,1476669,1476398,1476091,1476086,1476457,1477091,1477542,1477316,1476472,1475606,1474738
Alabama,1983,1473896,1474404,1477356,1483041,1491018,1500403,1510508,1520495,1529455,1536688,1541917,1545982
Alabama,1984,1550278,1555125,1560316,1565604,1570522,1574699,1578030,1580952,1584212,1588463,1594104,1600558
Alabama,1985,1606303,1610313,1612530,1613390,1613844,1614965,1617206,1620860,1625716,1630884,1635384,1638806
Alabama,1986,1641754,1645001,1648807,1653201,1657762,1661857,1665074,1667002,1667663,1667912,1668535,1670366
