"State","Effective_Year","Point_Estimate","CI_Lower","CI_Upper","T_Statistic","P_Value_Two_Tail","P_Value_Left_Tail","P_Value_Right_Tail","Controls","Periods","Dimensions"
"Iowa",1978,-0.0474446732439214,-667.629365301229,667.534475954742,-0.000139296102372889,0.9998888947828,0.4999444473914,0.5000555526086,"NM 0.072; NH 0.07; MA 0.07; WV 0.069; HI 0.069; FL 0.069; MS 0.068; VT 0.068; ID 0.068; KS 0.068; VA 0.068; MT 0.068; OK 0.068; TN 0.066","1976 1"," 1;  15;  14.792;  45;  2;  1"
"Nebraska",1988,56.5017704958738,-221.669771127729,334.673312119476,0.398112148804068,0.690660665824136,0.654669667087932,0.345330332912068,"HI 0.073; MS 0.073; ID 0.073; NH 0.072; MT 0.072; TN 0.072; KS 0.071; FL 0.071; VA 0.07; WV 0.07; NM 0.069; VT 0.069; MA 0.065","1987 1"," 1;  15;  14.43;  35;  12;  1"
"Michigan",1991,5.83888396472424,-325.277781836483,336.955549765932,0.034562478282897,0.972437805599145,0.513781097200428,0.486218902799572,"WV 0.076; NH 0.075; TN 0.074; MS 0.073; VT 0.072; FL 0.072; KS 0.072; ID 0.071; VA 0.071; MT 0.07; MA 0.068; NM 0.067; HI 0.064","1989 0.578; 1987 0.422"," 1;  15;  14.29;  32;  15;  1.952"
"Illinois",1999,36.9892463456318,-459.369640770472,533.348133461735,0.146061498482811,0.883912035773866,0.558043982113067,0.441956017886933,"MS 0.078; WV 0.077; TN 0.074; NH 0.073; VA 0.072; FL 0.072; KS 0.07; VT 0.07; NM 0.07; ID 0.07; MT 0.068; HI 0.062; MA 0.06","1987 0.534; 1994 0.338; 1998 0.128"," 1;  15;  14.509;  24;  23;  2.407"
"Oregon",2004,14.5690403130806,-592.009762037554,621.147842663715,0.0470760252468095,0.962465150710727,0.518767424644636,0.481232575355364,"ID 0.079; MS 0.078; NM 0.076; MT 0.075; KS 0.074; WV 0.072; FL 0.071; TN 0.07; HI 0.069; MA 0.066; VA 0.066; NH 0.064; OK 0.063","2001 0.764; 1977 0.138"," 1;  15;  14.398;  19;  28;  1.645"
"Georgia",2006,-121.771234214546,-570.952157106378,327.409688677285,-0.531348521045685,0.595334403589623,0.297667201794812,0.702332798205188,"MA 0.083; HI 0.08; NM 0.077; ID 0.075; FL 0.075; KS 0.074; VA 0.073; OK 0.073; MS 0.072; TN 0.071; WV 0.067; MT 0.066; NH 0.057","2005 0.823; 1982 0.177"," 1;  15;  14.144;  17;  30;  1.412"
"Wisconsin",2006,-30.5408111353885,-537.684242585097,476.60262031432,-0.118033649088675,0.906072557524196,0.453036278762098,0.546963721237902,"MS 0.085; KS 0.08; MA 0.079; NM 0.078; VA 0.076; FL 0.075; ID 0.075; WV 0.075; TN 0.071; OK 0.066; NH 0.064; MT 0.064; VT 0.053","2005 0.823; 1982 0.177"," 1;  15;  13.939;  17;  30;  1.412"
"Arizona",2007,-154.887272199918,-595.558476523277,285.783932123441,-0.688901499652056,0.491098022449964,0.245549011224982,0.754450988775018,"HI 0.1; TN 0.09; FL 0.088; VA 0.073; WV 0.072; MT 0.07; ID 0.068; NM 0.067; NH 0.065; MS 0.063; KS 0.061; MA 0.058; AK 0.056","2006 0.858; 1982 0.142"," 1;  15;  13.904;  16;  31;  1.322"
"Indiana",2007,110.783938539786,-393.59387021401,615.161747293581,0.430503713227344,0.666952783683461,0.66652360815827,0.33347639184173,"TN 0.081; FL 0.079; HI 0.078; VA 0.076; WV 0.073; MA 0.07; NH 0.069; KS 0.069; ID 0.069; MT 0.067; MS 0.067; NM 0.065; OK 0.063","2006 0.858; 1982 0.142"," 1;  15;  14.356;  16;  31;  1.322"
"Maine",2007,-36.3477568491292,-496.611621152455,423.916107454197,-0.154784263874653,0.877032985781675,0.438516492890837,0.561483507109163,"VT 0.124; MA 0.104; HI 0.089; VA 0.082; KS 0.073; FL 0.071; ID 0.067; TN 0.063; NM 0.058; NH 0.057; MS 0.057; OK 0.053; MT 0.051","2006 0.858; 1982 0.142"," 1;  15;  12.897;  16;  31;  1.322"
"Minnesota",2007,95.4194143281844,-441.591062663468,632.429891319837,0.348265183076025,0.727738639078615,0.636130680460693,0.363869319539307,"VT 0.154; MA 0.116; KS 0.094; ID 0.076; MS 0.074; VA 0.073; HI 0.062; FL 0.059; NM 0.055; MT 0.053; WV 0.05; TN 0.046","2006 0.858; 1982 0.142"," 1;  15;  11.878;  16;  31;  1.322"
"Pennsylvania",2007,43.7875152873497,-484.265642897602,571.840673472302,0.162528201248151,0.87093364233074,0.56453317883463,0.43546682116537,"MS 0.077; TN 0.076; NH 0.075; MT 0.074; WV 0.074; ID 0.073; KS 0.073; FL 0.072; NM 0.071; VA 0.07; MA 0.067; VT 0.062; HI 0.062","2006 0.858; 1982 0.142"," 1;  15;  14.279;  16;  31;  1.322"
"South Carolina",2007,-79.8892864512359,-572.523399209907,412.744826307435,-0.317848474941337,0.750688235501963,0.375344117750981,0.624655882249019,"MA 0.084; HI 0.083; TN 0.083; FL 0.081; VA 0.079; NM 0.078; ID 0.075; OK 0.072; KS 0.071; MS 0.068; WV 0.067; MT 0.061","2006 0.858; 1982 0.142"," 1;  15;  13.737;  16;  31;  1.322"
"Colorado",2009,69.4559509899518,-1671.52599494901,1810.43789692891,0.0781936103690522,0.937694873158121,0.53115256342094,0.46884743657906,"NM 0.083; WV 0.08; MS 0.08; TN 0.08; NH 0.078; FL 0.078; ID 0.077; OK 0.076; VA 0.073; KS 0.072; MT 0.069; MA 0.065","2007 0.546; 2005 0.454"," 1;  15;  13.651;  14;  33;  1.985"
"California",2011,234.381760730705,-1054.78165127214,1523.54517273355,0.35634602002742,0.721681535649415,0.639159232175292,0.360840767824708,"VT 0.096; MA 0.081; VA 0.075; ID 0.071; NM 0.071; KS 0.07; MS 0.069; NH 0.068; WV 0.068; OK 0.068; FL 0.067; HI 0.065; TN 0.065","2005 0.721; 2007 0.144; 2010 0.134"," 1;  15;  13.877;  12;  35;  1.789"
"Utah",2011,5.23507507613902,-1106.35358133158,1116.82373148386,0.00923070516245798,0.992637518894039,0.503681240552981,0.496318759447019,"NM 0.082; FL 0.08; ID 0.076; TN 0.076; OK 0.076; MS 0.075; VA 0.075; KS 0.072; WV 0.072; MA 0.07; NH 0.07; MT 0.066; HI 0.063","2005 0.721; 2007 0.144; 2010 0.134"," 1;  15;  13.977;  12;  35;  1.789"
"New Jersey",2012,-12.0966809618044,-1074.40074138819,1050.20737946458,-0.0223189344448332,0.98219947370174,0.49109973685087,0.50890026314913,"VT 0.152; MA 0.102; HI 0.096; KS 0.074; MT 0.069; VA 0.068; ID 0.066; OK 0.057; MS 0.055; FL 0.055; WV 0.054; TN 0.053","2005 0.822; 2007 0.13"," 1;  15;  12.207;  11;  36;  1.438"
"New York",2015,232.587441566283,-559.919696742734,1025.0945798753,0.575226850880629,0.565310180580784,0.717344909709608,0.282655090290392,"VT 0.145; MA 0.093; HI 0.089; WV 0.072; KS 0.071; MT 0.07; VA 0.064; MS 0.062; TN 0.055; NH 0.055; ID 0.053; OK 0.05; FL 0.047","2005 0.925"," 1;  15;  12.964;  8;  39;  1.162"
"Rhode Island",2015,-67.014544461989,-964.824608852493,830.795519928515,-0.146298768921316,0.883724798258479,0.44186239912924,0.55813760087076,"VT 0.082; MA 0.082; VA 0.074; KS 0.074; ID 0.073; FL 0.071; HI 0.071; NH 0.07; TN 0.069; OK 0.069; NM 0.068; MS 0.068; WV 0.066","2005 0.925"," 1;  15;  13.927;  8;  39;  1.162"
"Connecticut",2016,-77.2944209771564,-250.116224409475,95.5273824551623,-0.876608518754154,0.380979621817824,0.190489810908912,0.809510189091088,"VT 0.283; MA 0.173; HI 0.126; KS 0.101; ID 0.065; MS 0.063; MT 0.059; VA 0.049","2015 1"," 1;  15;  6.573;  7;  40;  1"
"Louisiana",2016,12.2529699196749,-158.623577019185,183.129516858535,0.140544863954653,0.888267194555528,0.555866402722236,0.444133597277764,"FL 0.092; VA 0.081; TN 0.081; NH 0.08; NM 0.08; OK 0.078; ID 0.073; MS 0.071; WV 0.066; KS 0.063; MT 0.062; MA 0.046; AK 0.045","2015 1"," 1;  15;  14.182;  7;  40;  1"
"North Carolina",2016,6.42272002891269,-171.799972077839,184.645412135665,0.0706337173334166,0.943708079184535,0.528145960407732,0.471854039592268,"FL 0.087; ID 0.084; TN 0.08; NM 0.078; VA 0.076; MA 0.076; KS 0.076; HI 0.075; OK 0.072; MS 0.07; NH 0.068; MT 0.067","2015 1"," 1;  15;  13.519;  7;  40;  1"
"North Dakota",2016,-1102.40104474841,-1270.93654231795,-933.865547178872,-12.8204804261805,3.61790901013404e-34,1.80895450506702e-34,1,"VT 0.556; MA 0.114; WV 0.096; HI 0.09; AK 0.063","2015 1"," 1;  15;  2.887;  7;  40;  1"
"Delaware",2017,206.88851012378,65.2011851330271,348.575835114533,2.86194604823737,0.00432760210210172,0.997836198948949,0.00216380105105086,"FL 0.083; NM 0.079; ID 0.079; TN 0.078; KS 0.076; MA 0.076; VA 0.076; MS 0.073; OK 0.072; WV 0.07; NH 0.068; MT 0.067; HI 0.064","2016 0.862; 2007 0.082"," 1;  15;  13.73;  6;  41;  1.329"
