"","State_Acronym","year","real_totRev_capita","treatment"
"1","AZ",1976,762.346781250509,0
"2","AZ",1977,789.339435255379,0
"3","AZ",1978,797.164106578195,0
"4","AZ",1979,792.205787873277,0
"5","AZ",1980,746.655327901178,0
"6","AZ",1981,699.101121379182,0
"7","AZ",1982,666.215953843687,0
"8","AZ",1983,696.747599033943,0
"9","AZ",1984,792.597289454726,0
"10","AZ",1985,859.854991802262,0
"11","AZ",1986,881.370012323096,0
"12","AZ",1987,888.573044643931,0
"13","AZ",1988,890.005708774856,0
"14","AZ",1989,904.05733092755,0
"15","AZ",1990,910.208414229221,0
"16","AZ",1991,919.280854013875,0
"17","AZ",1992,889.582058202149,0
"18","AZ",1993,915.32156542666,0
"19","AZ",1994,920.310318494482,0
"20","AZ",1995,948.163786984786,0
"21","AZ",1996,921.646040947265,0
"22","AZ",1997,903.291544839226,0
"23","AZ",1998,913.456781806792,0
"24","AZ",1999,947.496318964927,0
"25","AZ",2000,911.574914810395,0
"26","AZ",2001,895.179632686298,0
"27","AZ",2002,873.242774715394,0
"28","AZ",2003,857.254285229417,0
"29","AZ",2004,902.595855035659,0
"30","AZ",2005,965.336796082074,0
"31","AZ",2006,1098.79544345209,0
"32","AZ",2007,1126.42777939026,1
"33","AZ",2008,972.745005520225,1
"34","AZ",2009,818.200004306966,1
"35","AZ",2010,767.268090672561,1
"36","AZ",2011,842.319839849922,1
"37","AZ",2012,863.379046822931,1
"38","AZ",2013,871.616975886632,1
"39","IN",1976,624.692335394328,0
"40","IN",1977,657.82898051647,0
"41","IN",1978,688.246254073155,0
"42","IN",1979,668.166167277647,0
"43","IN",1980,595.832894161991,0
"44","IN",1981,563.824057781911,0
"45","IN",1982,580.618028798555,0
"46","IN",1983,588.687483617074,0
"47","IN",1984,712.979343714717,0
"48","IN",1985,738.165821760269,0
"49","IN",1986,745.79959414935,0
"50","IN",1987,769.989375420573,0
"51","IN",1988,817.615958802599,0
"52","IN",1989,861.767428001053,0
"53","IN",1990,840.384147250896,0
"54","IN",1991,810.27551219313,0
"55","IN",1992,878.623479334395,0
"56","IN",1993,839.301264737009,0
"57","IN",1994,877.922775416717,0
"58","IN",1995,911.521144836242,0
"59","IN",1996,921.57925139354,0
"60","IN",1997,965.590816323917,0
"61","IN",1998,946.661591370844,0
"62","IN",1999,983.355400589276,0
"63","IN",2000,963.218956721656,0
"64","IN",2001,932.14383371337,0
"65","IN",2002,921.081046200534,0
"66","IN",2003,983.743120059619,0
"67","IN",2004,1015.5696821875,0
"68","IN",2005,1048.2655633095,0
"69","IN",2006,1067.28511988502,0
"70","IN",2007,1073.41631972342,1
"71","IN",2008,1092.87041900738,1
"72","IN",2009,1075.32262119933,1
"73","IN",2010,974.717552255368,1
"74","IN",2011,1027.35746810251,1
"75","IN",2012,1085.01657555776,1
"76","IN",2013,1102.86556882018,1
"77","ME",1976,856.708369253354,0
"78","ME",1977,700.484790345944,0
"79","ME",1978,726.395714804643,0
"80","ME",1979,680.230800743171,0
"81","ME",1980,666.815546731884,0
"82","ME",1981,654.722132698887,0
"83","ME",1982,666.404375982986,0
"84","ME",1983,684.14036939742,0
"85","ME",1984,766.444030893806,0
"86","ME",1985,803.325044011794,0
"87","ME",1986,858.804668499674,0
"88","ME",1987,957.49640977489,0
"89","ME",1988,1057.14334585792,0
"90","ME",1989,1051.34442293515,0
"91","ME",1990,969.903215394738,0
"92","ME",1991,926.047845407365,0
"93","ME",1992,963.508993895333,0
"94","ME",1993,985.838481884933,0
"95","ME",1994,962.020415455054,0
"96","ME",1995,961.141502340077,0
"97","ME",1996,973.688910696323,0
"98","ME",1997,1010.46794668933,0
"99","ME",1998,1165.38226049814,0
"100","ME",1999,1217.0071054662,0
"101","ME",2000,1210.0669538247,0
"102","ME",2001,1172.14943451642,0
"103","ME",2002,1126.70236787172,0
"104","ME",2003,1122.00209725197,0
"105","ME",2004,1199.05585132743,0
"106","ME",2005,1248.47849921309,0
"107","ME",2006,1348.58250342672,0
"108","ME",2007,1343.28542687221,1
"109","ME",2008,1321.54049936139,1
"110","ME",2009,1223.13965637737,1
"111","ME",2010,1205.50109770226,1
"112","ME",2011,1230.08624628366,1
"113","ME",2012,1238.71838494349,1
"114","ME",2013,1255.09949639904,1
"115","MN",1976,983.591971236067,0
"116","MN",1977,1028.13190504575,0
"117","MN",1978,1053.99294961361,0
"118","MN",1979,1065.71319536835,0
"119","MN",1980,951.434823205012,0
"120","MN",1981,902.654491487448,0
"121","MN",1982,952.975836746273,0
"122","MN",1983,1047.17527393389,0
"123","MN",1984,1175.30708717745,0
"124","MN",1985,1161.18286322346,0
"125","MN",1986,1062.82255462601,0
"126","MN",1987,1152.83517043948,0
"127","MN",1988,1218.42326512544,0
"128","MN",1989,1189.8667254532,0
"129","MN",1990,1189.22938079162,0
