"year","sum_weight","syn_state","State_Acronym","year_effective","State_Name","real_NCI_cap","Post","real_NCI_cap_76","syn_state_76","syn_state_76_shift"
1976,0.931,719.3743590813,"AZ",2007,"Arizona",727.51511295629,0,100,100,96.1988992677682
1977,0.931,758.923819358085,"AZ",2007,"Arizona",754.101577928906,0,103.654420987157,105.497757847151,101.696657114919
1978,0.931,722.51562600615,"AZ",2007,"Arizona",758.235726241844,0,104.222676991646,100.436666512393,96.6355657801612
1979,0.931,711.937153145069,"AZ",2007,"Arizona",745.508362470855,0,102.473247523539,98.9661563770873,95.1650556448555
1980,0.931,714.403518751326,"AZ",2007,"Arizona",694.453255806054,0,95.455509231157,99.3090050726409,95.5079043404091
1981,0.931,771.736670602598,"AZ",2007,"Arizona",649.574566877254,0,89.2867454309889,107.278868208226,103.477767475994
1982,0.931,798.378292819657,"AZ",2007,"Arizona",625.064755386975,0,85.9177691645465,110.982311607443,107.181210875212
1983,0.931,772.14437725422,"AZ",2007,"Arizona",642.494529935635,0,88.3135646934989,107.33554337971,103.534442647478
1984,0.931,787.185269870597,"AZ",2007,"Arizona",730.664976662384,0,100.432961961889,109.426373060599,105.625272328367
1985,0.931,800.340451329771,"AZ",2007,"Arizona",800.797401855359,0,110.072957605139,111.255070635527,107.453969903295
1986,0.931,816.355333091212,"AZ",2007,"Arizona",834.258091730852,0,114.672269602869,113.481294236531,109.6801935043
1987,0.931,766.776792066563,"AZ",2007,"Arizona",837.620169012872,0,115.134401209779,106.589397076343,102.788296344111
1988,0.931,816.649784536022,"AZ",2007,"Arizona",854.584930017082,0,117.466278679001,113.522225837873,109.721125105641
1989,0.931,808.819465082418,"AZ",2007,"Arizona",859.522858841173,0,118.145017681965,112.433735630409,108.632634898177
1990,0.931,843.137426272473,"AZ",2007,"Arizona",872.809844933876,0,119.971369582575,117.204264459638,113.403163727406
1991,0.931,852.122269501281,"AZ",2007,"Arizona",881.749488964776,0,121.200161104798,118.453244648518,114.652143916286
