"State","Year","Revenue"
"AK","...1",1
"AK","1950",0
"AK","1951",0
"AK","1952",0
"AK","1953",0
"AK","1954",0
"AK","1955",0
"AK","1956",0
"AK","1957",0.001076152
"AK","1958",0.001098932
"AK","1959",0.001389032
"AK","1960",0.001433991
"AK","1961",0.001145114
"AK","1962",0.001388811
"AK","1963",0.001466347
"AK","1964",0.001040766
"AK","1965",0.000973045
"AK","1966",0.002014633
"AK","1967",0.001549425
"AK","1968",0.001535195
"AK","1969",0.001354503
"AK","1970",0.001418159
"AK","1971",0.001766992
"AK","1972",0.001461784
"AK","1973",0.001283688
"AK","1974",0.001370185
"AK","1975",0.002611373
"AK","1976",0.00427668
"AK","1977",0.003899362
"AK","1978",0.003120048
"AK","1979",0.021190311
"AK","1980",0.042437877
"AK","1981",0.063268865
"AK","1982",0.050255508
"AK","1983",0.020247249
"AK","1984",0.019638552
"AK","1985",0.011604432
"AK","1986",0.009657234
"AK","1987",0.006889049
"AK","1988",0.008394665
"AK","1989",0.01926145
"AK","1990",0.008511746
"AK","1991",0.012460119
"AK","1992",0.009153944
"AK","1993",0.036050782
"AK","1994",0.006853064
"AK","1995",0.018160091
"AK","1996",0.011129537
"AK","1997",0.010786461
"AK","1998",0.008870061
"AK","1999",0.006884664
"AK","2000",0.013481267
"AK","2001",0.012637239
"AK","2002",0.010718128
"AK","2003",0.007295362
"AK","2004",0.011233041
"AK","2005",0.015215279
"AK","2006",0.017309437
"AK","2007",0.015378532
"AK","2008",0.026022889
"AK","2009",0.016093745
"AK","2010",0.016920124
"AK","2011",0.017551155
"AK","2012",0.015896591
"AK","2013",0.014059458
"AK","2014",0.008795951
"AK","2015",0.004687156
"AK","2016",0.001480138
"AK","2017",0.001967309
"AK","2018",0.004052524
"AK","2019",0.005570077
"AK","2020",0.003718878
"AK","2021",0.001399386
"AL","...1",2
"AL","1950",0.001510798
"AL","1951",0.001313762
"AL","1952",0.001304665
"AL","1953",0.001328469
"AL","1954",0.001342792
"AL","1955",0.001483746
"AL","1956",0.001266273
"AL","1957",0.001325739
"AL","1958",0.008728941
"AL","1959",0.007518461
"AL","1960",0.008006448
"AL","1961",0.007634353
"AL","1962",0.007376148
"AL","1963",0.006802866
"AL","1964",0.009301996
"AL","1965",0.010002094
"AL","1966",0.011233849
"AL","1967",0.013450353
"AL","1968",0.012488898
"AL","1969",0.009127404
"AL","1970",0.008239021
"AL","1971",0.009861278
"AL","1972",0.007452266
"AL","1973",0.007546368
"AL","1974",0.007856822
"AL","1975",0.008755966
"AL","1976",0.008292247
"AL","1977",0.008270719
"AL","1978",0.007744339
"AL","1979",0.008296005
"AL","1980",0.008200232
"AL","1981",0.0070064
"AL","1982",0.008800211
"AL","1983",0.010166658
"AL","1984",0.01442915
"AL","1985",0.011343418
"AL","1986",0.008515976
"AL","1987",0.007945398
"AL","1988",0.008222039
"AL","1989",0.009043017
"AL","1990",0.008267759
"AL","1991",0.008265171
"AL","1992",0.007540946
"AL","1993",0.007832343
"AL","1994",0.008490178
"AL","1995",0.00812653
"AL","1996",0.007423194
"AL","1997",0.007377337
"AL","1998",0.007842193
"AL","1999",0.007574168
"AL","2000",0.007474905
"AL","2001",0.006360024
"AL","2002",0.012842186
"AL","2003",0.008540267
"AL","2004",0.009661274
"AL","2005",0.010268751
"AL","2006",0.011771186
"AL","2007",0.009560269
"AL","2008",0.010525537
"AL","2009",0.012576444
"AL","2010",0.011267795
"AL","2011",0.00733423
"AL","2012",0.009906316
"AL","2013",0.008516728
"AL","2014",0.008741532
"AL","2015",0.010976428
"AL","2016",0.010394688
"AL","2017",0.011657342
"AL","2018",0.01192128
"AL","2019",0.011462714
"AL","2020",0.014409752
"AL","2021",0.012699414
"AR","...1",3
"AR","1950",0.013330875
"AR","1951",0.011463048
"AR","1952",0.010338246
"AR","1953",0.010401812
"AR","1954",0.010516806
"AR","1955",0.010092984
"AR","1956",0.009704738
"AR","1957",0.00987938
"AR","1958",0.009059109
"AR","1959",0.008295445
"AR","1960",0.007510653
"AR","1961",0.008553603
"AR","1962",0.007907659
"AR","1963",0.00705534
"AR","1964",0.006524849
"AR","1965",0.007136355
"AR","1966",0.010231685
"AR","1967",0.011286548
"AR","1968",0.007795929
"AR","1969",0.007040457
"AR","1970",0.007016692
"AR","1971",0.007705839
"AR","1972",0.007148813
"AR","1973",0.006972358
"AR","1974",0.007634194
"AR","1975",0.008200569
"AR","1976",0.00772712
"AR","1977",0.007326292
"AR","1978",0.007778515
"AR","1979",0.00689407
"AR","1980",0.006284207
"AR","1981",0.0057046
"AR","1982",0.006549629
"AR","1983",0.006608704
"AR","1984",0.00684923
"AR","1985",0.007386397
"AR","1986",0.006150442
"AR","1987",0.005646297
"AR","1988",0.005377876
"AR","1989",0.004679162
"AR","1990",0.005990496
"AR","1991",0.006004853
"AR","1992",0.005744526
"AR","1993",0.00636181
"AR","1994",0.007172656
"AR","1995",0.00658985
"AR","1996",0.00780473
"AR","1997",0.007486915
"AR","1998",0.008133843
"AR","1999",0.006897503
"AR","2000",0.007286418
"AR","2001",0.006385649
"AR","2002",0.007040283
"AR","2003",0.0062314
"AR","2004",0.006015077
"AR","2005",0.00716733
"AR","2006",0.007763424
"AR","2007",0.006859678
"AR","2008",0.006869753
"AR","2009",0.008814575
"AR","2010",0.010139555
"AR","2011",0.009177565
"AR","2012",0.009686497
"AR","2013",0.008977369
"AR","2014",0.008571287
"AR","2015",0.009803199
"AR","2016",0.009877363
"AR","2017",0.008897752
"AR","2018",0.008066117
"AR","2019",0.008943666
"AR","2020",0.008960417
"AR","2021",0.006924399
"AZ","...1",4
"AZ","1950",0.004945517
"AZ","1951",0.007824378
"AZ","1952",0.007468699
"AZ","1953",0.004252088
"AZ","1954",0.006522131
"AZ","1955",0.007074143
"AZ","1956",0.009536797
"AZ","1957",0
"AZ","1958",0.004229668
"AZ","1959",0.005303759
"AZ","1960",0.005791051
"AZ","1961",0.004796841
"AZ","1962",0.004262794
"AZ","1963",0.004650851
"AZ","1964",0.005412693
"AZ","1965",0.004808719
"AZ","1966",0.006566084
"AZ","1967",0.006470307
"AZ","1968",0.005848039
"AZ","1969",0.005685955
"AZ","1970",0.005593984
"AZ","1971",0.007881954
"AZ","1972",0.006369346
"AZ","1973",0.006895491
"AZ","1974",0.0065435
"AZ","1975",0.007460442
"AZ","1976",0.006393639
"AZ","1977",0.005645201
"AZ","1978",0.005945264
"AZ","1979",0.007367703
"AZ","1980",0.008840258
"AZ","1981",0.008944747
"AZ","1982",0.008196071
"AZ","1983",0.012197602
"AZ","1984",0.012723757
"AZ","1985",0.011474039
"AZ","1986",0.009280727
