"year","sum_weight","syn_state","State_Acronym","year_effective","State_Name","real_ci_cap","Post","real_ci_cap_76","syn_state_76","syn_state_76_shift"
1976,0.922,734.292235943862,"CA",2011,"California",1143.08259351504,0,100,100,106.872129309505
1977,0.922,775.593722560012,"CA",2011,"California",1346.56339415049,0,117.801058452805,105.624666119895,112.496795429399
1978,0.922,816.764949168742,"CA",2011,"California",1549.43901785852,0,135.549174368399,111.231592707619,118.103722017123
1979,0.922,849.799112978382,"CA",2011,"California",1562.71710089138,0,136.710777485111,115.730368834153,122.602498143658
1980,0.922,804.548447086505,"CA",2011,"California",1331.66821753102,0,116.497987554519,109.567881519588,116.440010829093
1981,0.922,761.808876954625,"CA",2011,"California",1288.69292027304,0,112.738390697582,103.747369189515,110.61949849902
1982,0.922,728.661233062179,"CA",2011,"California",1149.8788867397,0,100.594558369029,99.2331387142552,106.10526802376
1983,0.922,615.362128445458,"CA",2011,"California",1053.25076825512,0,92.1412655769972,83.8034366051099,90.6755659146146
1984,0.922,672.490116289253,"CA",2011,"California",1248.67216676233,0,109.237265430016,91.5834436714194,98.4555729809241
1985,0.922,751.150514118944,"CA",2011,"California",1339.34225773794,0,117.169333636635,102.295854068702,109.167983378207
1986,0.922,750.664704296124,"CA",2011,"California",1344.25439386884,0,117.599060776106,102.229693785502,109.101823095006
1987,0.922,810.545786698073,"CA",2011,"California",1570.99125794286,0,137.434623434513,110.384632578362,117.256761887867
1988,0.922,804.827304440773,"CA",2011,"California",1526.97038652986,0,133.583556883177,109.605857864784,116.477987174289
1989,0.922,866.425824079666,"CA",2011,"California",1502.57787487006,0,131.449633070656,117.994686811029,124.866816120534
1990,0.922,749.288860654211,"CA",2011,"California",1353.77643364917,0,118.432074928745,102.042323747448,108.914453056953
1991,0.922,684.497779250646,"CA",2011,"California",1152.64241024097,0,100.836318983437,93.2187139866445,100.090843296149
1992,0.922,621.004490756346,"CA",2011,"California",1121.56869424255,0,98.1179050932502,84.5718448810921,91.4439741905968
1993,0.922,693.0612277989,"CA",2011,"California",1129.52652605483,0,98.8140780432563,94.384932030234,101.257061339739
1994,0.922,736.035770126273,"CA",2011,"California",1073.47170181869,0,93.9102482977811,100.237444180541,107.109573490045
1995,0.922,809.613843170713,"CA",2011,"California",1287.72226985439,0,112.653475537107,110.257715326383,117.129844635887
1996,0.922,823.963459890268,"CA",2011,"California",1257.41110127454,0,110.001771386259,112.211925927712,119.084055237217
1997,0.922,845.889141932443,"CA",2011,"California",1269.63656224317,0,111.071288238146,115.197887234247,122.070016543752
1998,0.922,861.115637059411,"CA",2011,"California",1186.51103339921,0,103.799239016546,117.271516013312,124.143645322816
1999,0.922,803.408562199494,"CA",2011,"California",1118.36110550007,0,97.8372964337642,109.412645656915,116.284774966419
2000,0.922,812.943205025308,"CA",2011,"California",1283.1468780225,0,112.25320771238,110.711126337915,117.583255647419
2001,0.922,797.608719416187,"CA",2011,"California",1278.12667554676,0,111.814026632708,108.622790814469,115.494920123973
2002,0.922,636.750164264445,"CA",2011,"California",961.648118554703,0,84.1276145757398,86.7161782591864,93.588307568691
2003,0.922,636.33950693004,"CA",2011,"California",1186.50077855546,0,103.798341894693,86.660252659772,93.5323819692767
2004,0.922,679.023978572825,"CA",2011,"California",1165.87842187801,0,101.994241579068,92.473261371204,99.3453906807086
2005,0.922,877.974533855699,"CA",2011,"California",1401.67062062087,0,122.621989747098,119.56745432929,126.439583638795
2006,0.922,1089.30000218714,"CA",2011,"California",1607.05225938404,0,140.589338732057,148.346931761705,155.21906107121
2007,0.922,1162.99574928864,"CA",2011,"California",1679.31088013834,0,146.910721033234,158.383228415009,165.255357724513
2008,0.922,1059.55406615136,"CA",2011,"California",1700.78870654423,0,148.78966018669,144.295964778846,151.168094088351
2009,0.922,865.523655756965,"CA",2011,"California",1360.35028232767,0,119.007173238858,117.871824511997,124.743953821501
2010,0.922,763.439728412294,"CA",2011,"California",1267.01100017728,0,110.841596868443,103.969467609986,110.84159691949
2011,0.922,869.245494814006,"CA",2011,"California",1284.58161901196,1,112.378722788683,118.378685251475,125.25081456098
2012,0.922,884.866699425528,"CA",2011,"California",1032.16773559983,1,90.2968640635021,120.506067763078,127.378197072582
2013,0.922,954.482465853941,"CA",2011,"California",947.224658376141,1,82.8658107253103,129.986729960047,136.858859269552
2014,0.922,913.22396859342,"CA",2011,"California",1096.99794763015,1,95.9683887982952,124.367918369661,131.240047679165
2015,0.922,952.482961446561,"CA",2011,"California",1104.99322570255,1,96.667837649827,129.714426330851,136.586555640356
2016,0.922,871.05038956895,"CA",2011,"California",1192.15335656946,1,104.292844920639,118.624485856002,125.496615165507
2017,0.922,853.277182059239,"CA",2011,"California",1186.36541659557,1,103.786500059233,116.2040316227,123.076160932205
2018,0.922,948.603011487597,"CA",2011,"California",1426.53820891387,1,124.797474566312,129.186033169513,136.058162479018
2019,0.922,1114.26378563692,"CA",2011,"California",1547.47289053887,1,135.37717215869,151.746638612438,158.618767921943
2020,0.922,941.707022480741,"CA",2011,"California",1086.31018727484,1,95.033394212957,128.246899038809,135.119028348314
2021,0.922,1341.22657030967,"CA",2011,"California",2783.20217949329,1,243.482159144318,182.655692741412,189.527822050917
2022,0.922,1683.71701758109,"CA",2011,"California",4554.96347675016,1,398.480696197412,229.297946398253,236.170075707758
