"year","sum_weight","syn_state","State_Acronym","year_effective","State_Name","real_NCI_cap","Post","real_NCI_cap_76","syn_state_76","syn_state_76_shift"
1976,0.934,611.078105725677,"CA",2011,"California",759.29067298764,0,100,100,101.690301117944
1977,0.934,620.899687765889,"CA",2011,"California",808.201025650104,0,106.441584810994,101.607254776138,103.297555894082
1978,0.934,639.501026884474,"CA",2011,"California",869.189886508431,0,114.473931714236,104.65127467217,106.341575790114
1979,0.934,632.44593953118,"CA",2011,"California",827.815525388107,0,109.024851066698,103.496743477682,105.187044595626
1980,0.934,592.178948512447,"CA",2011,"California",859.659088313259,0,113.218707788243,96.9072436017346,98.5975447196785
1981,0.934,596.307564995265,"CA",2011,"California",805.116233331039,0,106.03531190013,97.5828718797131,99.273172997657
1982,0.934,604.375912747049,"CA",2011,"California",800.572037719533,0,105.436832849462,98.9032182767097,100.593519394654
1983,0.934,608.654027200937,"CA",2011,"California",780.170041234204,0,102.749851801077,99.6033111803505,101.293612298294
1984,0.934,656.029214838709,"CA",2011,"California",834.14983847331,0,109.859091932621,107.356033327303,109.046334445247
1985,0.934,684.129841056779,"CA",2011,"California",889.062846071163,0,117.091237611664,111.95456597882,113.644867096764
1986,0.934,711.431341970672,"CA",2011,"California",910.487438744077,0,119.91289648818,116.422325608577,118.112626726521
1987,0.934,734.132387414434,"CA",2011,"California",985.292420464204,0,129.764852317663,120.137242774003,121.827543891947
1988,0.934,770.059622242821,"CA",2011,"California",929.275622674619,0,122.387335408471,126.0165623719,127.706863489844
1989,0.934,776.47584073623,"CA",2011,"California",997.803416770737,0,131.412573901982,127.066545742813,128.756846860756
1990,0.934,781.026076630885,"CA",2011,"California",983.292591627737,0,129.501471124187,127.811170014574,129.501471132518
1991,0.934,786.923218798489,"CA",2011,"California",976.098935113219,0,128.554053123356,128.776209035339,130.466510153283
1992,0.934,809.795039673138,"CA",2011,"California",1003.13062406158,0,132.114177053497,132.519072780635,134.209373898579
1993,0.934,835.339684283538,"CA",2011,"California",992.9448416555,0,130.772690483406,136.699331305863,138.389632423807
1994,0.934,851.90457739393,"CA",2011,"California",970.910312987556,0,127.870701896974,139.410096583687,141.100397701631
1995,0.934,843.11190358894,"CA",2011,"California",990.103658790455,0,130.398501392703,137.971217703458,139.661518821402
1996,0.934,852.98986648367,"CA",2011,"California",1041.14123081205,0,137.120244966976,139.587698935918,141.278000053862
1997,0.934,879.05631194579,"CA",2011,"California",1080.32990028428,0,142.281465941551,143.853347666888,145.543648784832
1998,0.934,916.53085102263,"CA",2011,"California",1166.17827769492,0,153.58785761272,149.985876180953,151.676177298897
1999,0.934,963.472321823914,"CA",2011,"California",1212.03867885916,0,159.627758114038,157.667622648623,159.357923766567
2000,0.934,982.881630003948,"CA",2011,"California",1318.516346296,0,173.651065817512,160.84386280486,162.534163922804
2001,0.934,995.110147259355,"CA",2011,"California",1368.32909681879,0,180.211498112405,162.845000980296,164.53530209824
2002,0.934,941.451025882248,"CA",2011,"California",1154.42703537083,0,152.040197047122,154.063943227722,155.754244345666
2003,0.934,942.9848137743,"CA",2011,"California",1116.06859056974,0,146.98831821261,154.314940257019,156.005241374963
2004,0.934,985.683008373634,"CA",2011,"California",1172.54655346051,0,154.426571427093,161.30229493382,162.992596051764
2005,0.934,1045.59930565869,"CA",2011,"California",1282.86536113252,0,168.955764474853,171.107309501296,172.79761061924
2006,0.934,1085.80483388914,"CA",2011,"California",1391.24398885879,0,183.22943219947,177.686751286844,179.377052404787
2007,0.934,1106.35275566803,"CA",2011,"California",1378.07559485129,0,181.495130109905,181.049320095375,182.739621213319
2008,0.934,1072.79050121222,"CA",2011,"California",1338.82202070235,0,176.325361068164,175.557018188082,177.247319306026
2009,0.934,1009.54387100933,"CA",2011,"California",1153.55557779625,0,151.925424456653,165.20701061781,166.897311735754
2010,0.934,969.735391985641,"CA",2011,"California",1205.257649449,0,158.734683873645,158.692544029874,160.382845147818
2011,0.934,993.982320260068,"CA",2011,"California",1294.02457359022,1,170.425453601125,162.660437503268,164.350738621212
2012,0.934,1020.84525838588,"CA",2011,"California",1230.84850857273,1,162.105047824388,167.056428437015,168.746729554959
2013,0.934,1043.54249719912,"CA",2011,"California",1410.78926536566,1,185.803581626325,170.77072266562,172.461023783564
2014,0.934,1045.09986818068,"CA",2011,"California",1414.67766994208,1,186.315691772643,171.02557895436,172.715880072304
2015,0.934,1098.8479458166,"CA",2011,"California",1542.43214198555,1,203.141194388234,179.82119397187,181.511495089814
2016,0.934,1088.55494633164,"CA",2011,"California",1546.27833462841,1,203.64774514405,178.136793992798,179.827095110742
2017,0.934,1081.09304272273,"CA",2011,"California",1544.61755759071,1,203.429017705826,176.915689270015,178.605990387959
2018,0.934,1141.30652165406,"CA",2011,"California",1675.73814217163,1,220.697843630552,186.769336188001,188.459637305945
2019,0.934,1194.35020542232,"CA",2011,"California",1724.23238013491,1,227.084625358354,195.449680528806,197.13998164675
2020,0.934,1150.16777712922,"CA",2011,"California",1595.86843900595,1,210.178854525707,188.219438129494,189.909739247438
2021,0.934,1232.3780915837,"CA",2011,"California",2134.2900535675,1,281.089986943938,201.672761638253,203.363062756197
2022,0.934,1288.556548605,"CA",2011,"California",2055.2651906753,1,270.682264881286,210.866096581024,212.556397698968
