"","State_Acronym","year","BUSLICTAX","CORPINCTX","CORPLICTAX","PROPTAX","SLGRTAX","SVRNCTAX","TLINCTAX","TLSLTAX","TOTLTAX","INCTAX","SALESTAX","state","sales","Log_CORPINCTX","group","type","year_pass_intro","year_effective","Post","treatment","rel_year","Log_INCTAX","Log_SALESTAX","Log_TOTLTAX","Diff_Log_CIT"
"1","AK",1977,7547,35772,"715","409767","65942","23758",246110,65942,773474,"NA","NA",2,33.34,10.4849207434661,"c","Never",0,0,"NA",0,"inf","NA","NA","13.558647334984935",0.139861186928496
"2","AK",1978,10229,33504,"797","173197","68609","107715",179332,68609,563485,"NA","NA",2,33.34,10.4194201136703,"c","Never",0,0,"NA",0,"inf","NA","NA","13.241895992764277",-0.0655006297958067
"3","AK",1979,13658,256986,"646","162151","74546","173685",373035,74546,816710,"NA","NA",2,33.34,12.4567768876854,"c","Never",0,0,"NA",0,"inf","NA","NA","13.613039353669594",2.03735677401512
"4","AK",1980,17455,565329,"671","169016","54422","506469",665810,54422,1437607,"NA","NA",2,33.34,13.2451631415422,"c","Never",0,0,"NA",0,"inf","NA","NA","14.17849048366612",0.788386253856775
"5","AK",1981,24011,894843,"857","143179","53310","1170180",902015,53310,2316823,"NA","NA",2,33.34,13.7044035628749,"c","Never",0,0,"NA",0,"inf","NA","NA","14.655707408610445",0.459240421332709
"6","AK",1982,29438,703663,"1055","142719","65216","1571553",705151,65216,2539193,"NA","NA",2,33.34,13.4640548273482,"c","Never",0,0,"NA",0,"inf","NA","NA","14.747356871976695",-0.240348735526664
"7","AK",1983,28041,266302,"934","152580","74614","1494034",267842,74614,2046086,"NA","NA",2,33.34,12.4923862821005,"c","Never",0,0,"NA",0,"inf","NA","NA","14.53143925784592",-0.971668545247683
"8","AK",1984,26616,304621,"960","131050","88255","1393039",305772,88255,1973252,"NA","NA",2,33.34,12.6268236599426,"c","Never",0,0,"NA",0,"inf","NA","NA","14.495193501126451",0.134437377842129
"9","AK",1985,27709,204600,"981","120548","112908","1389262",205868,112908,1885811,"NA","NA",2,33.34,12.2288121324997,"c","Never",0,0,"NA",0,"inf","NA","NA","14.449868525064895",-0.398011527442987
"10","AK",1986,31505,177751,"946","113509","67254","1432911",178307,67254,1856488,"NA","NA",2,33.34,12.0881389735287,"c","Never",0,0,"NA",0,"inf","NA","NA","14.43419708880246",-0.140673158970959
"11","AK",1987,37630,141068,"896","102491","81725","666870",141495,81725,1062391,"NA","NA",2,33.34,11.8569973226093,"c","Never",0,0,"NA",0,"inf","NA","NA","13.876032586282882",-0.231141650919414
"12","AK",1988,37772,181387,"892","96225","81710","818655",181836,81710,1251021,"NA","NA",2,33.34,12.108388149266,"c","Never",0,0,"NA",0,"inf","NA","NA","14.039470575878898",0.25139082665673
"13","AK",1989,44982,459686,"929","89713","80954","698850",459686,80954,1410330,"NA","NA",2,33.34,13.0382989266862,"c","Never",0,0,"NA",0,"inf","NA","NA","14.159334277523858",0.929910777420217
"14","AK",1990,37795,185140,"881","89841","90904","1103812",185140,90904,1546441,"NA","NA",2,33.34,12.1288675746212,"c","Never",0,0,"NA",0,"inf","NA","NA","14.251466719716719",-0.909431352065035
"15","AK",1991,41951,253649,"912","85007","96674","1284746",253649,96674,1806131,"NA","NA",2,33.34,12.4437067005467,"c","Never",0,0,"NA",0,"inf","NA","NA","14.406697546319601",0.31483912592549
"16","AK",1992,41568,200025,"930","69048","101286","1150605",200025,101286,1602937,"NA","NA",2,33.34,12.2061976377183,"c","Never",0,0,"NA",0,"inf","NA","NA","14.28734812950933",-0.237509062828368
"17","AK",1993,23198,872260,"962","66918","99239","1124980",872260,99239,2227283,"NA","NA",2,33.34,13.6788428235863,"c","Never",0,0,"NA",0,"inf","NA","NA","14.616293014950847",1.47264518586802
"18","AK",1994,27641,176070,"1001","61612","99654","827522",176070,99654,1240275,"NA","NA",2,33.34,12.0786369222205,"c","Never",0,0,"NA",0,"inf","NA","NA","14.030843687186508",-1.60020590136585
"19","AK",1995,28029,528005,"1095","57294","101039","1159882",528005,101039,1922463,"NA","NA",2,33.34,13.1768610323405,"c","Never",0,0,"NA",0,"inf","NA","NA","14.469117734403001",1.09822411012004
"20","AK",1996,27429,326270,"1361","56168","99124","956961",326270,99124,1519082,"NA","NA",2,33.34,12.6954805384221,"c","Never",0,0,"NA",0,"inf","NA","NA","14.233616763004363",-0.481380493918431
"21","AK",1997,30519,331337,"1188","53567","96014","1058602",331337,96014,1619110,"NA","NA",2,33.34,12.7108912633078,"c","Never",0,0,"NA",0,"inf","NA","NA","14.297387173526538",0.0154107248856601
"22","AK",1998,35594,275758,"1395","48516","116803","645358",275758,116803,1186235,"NA","NA",2,33.34,12.527278948481,"c","Never",0,0,"NA",0,"inf","NA","NA","13.98629498393697",-0.183612314826808
"23","AK",1999,30211,211811,"1422","48704","132004","426022",211811,132004,905135,"NA","NA",2,33.34,12.2634496465893,"c","Never",0,0,"NA",0,"inf","NA","NA","13.715839382827854",-0.263829301891645
"24","AK",2000,33704,438438,"1639","44608","137735","708390",438438,137735,1423287,"NA","NA",2,33.34,12.9909736896917,"c","Never",0,0,"NA",0,"inf","NA","NA","14.168479543313639",0.72752404310236
"25","AK",2001,11881,400442,"1278","45116","134637","772403",400442,134637,1428698,"NA","NA",2,33.34,12.900324216027,"c","Never",0,0,"NA",0,"inf","NA","NA","14.172274097978258",-0.0906494736646746
"26","AK",2002,11137,269273,"1281","49652","142050","551293",269273,142050,1089504,"NA","NA",2,33.34,12.5034810138402,"c","Never",0,0,"NA",0,"inf","NA","NA","13.901233104768975",-0.396843202186822
"27","AK",2003,9053,207075,"1290","48741","152132","640856",207075,152132,1120133,"NA","NA",2,33.34,12.2408363254665,"c","Never",0,0,"NA",0,"inf","NA","NA","13.928957986221054",-0.262644688373705
"28","AK",2004,9090,339564,"1319","47368","172876","697394",339564,172876,1343191,"NA","NA",2,33.34,12.735417720733,"c","Never",0,0,"NA",0,"inf","NA","NA","14.110558684306106",0.49458139526658
"29","AK",2005,14849,588694,"1019","42912","198797","925699",588694,198797,1858311,"NA","NA",2,33.34,13.2856618030161,"c","Never",0,0,"NA",0,"inf","NA","NA","14.435178568632912",0.550244082283006
"30","AK",2006,37307,821664,"1343","54507","208898","1274642",821664,208898,2484422,"NA","NA",2,33.34,13.6190868313494,"c","Never",0,0,"NA",0,"inf","NA","NA","14.72555059488488",0.333425028333394
"31","AK",2007,38720,813762,"1405","65780","235797","2436660",813762,235797,3688447,"NA","NA",2,33.34,13.60942321894,"c","Never",0,0,"NA",0,"inf","NA","NA","15.120716060218577",-0.00966361240947933
"32","AK",2008,40339,1297513,"878","81518","277033","6939040",1297513,277033,8732385,"NA","NA",2,33.34,14.0759599132398,"c","Never",0,0,"NA",0,"inf","NA","NA","15.982549086380876",0.466536694299844
"33","AK",2009,40005,632123,"889","111251","250267","3829564",632123,250267,4955884,"NA","NA",2,33.34,13.3568392744461,"c","Never",0,0,"NA",0,"inf","NA","NA","15.416086115484688",-0.719120638793713
"34","AK",2010,43543,643068,"228","118870","263005","3355049",643068,263005,4522927,"NA","NA",2,33.34,13.374005751905,"c","Never",0,0,"NA",0,"inf","NA","NA","15.324669908599466",0.0171664774588969
"35","AK",2011,41889,720733,"0","184254","256014","4238789",720733,256014,5537679,"NA","NA",2,33.34,13.4880240286807,"c","Never",0,0,"NA",0,"inf","NA","NA","15.527086017869518",0.114018276775692
"36","AK",2012,38936,663144,"0","215407","248432","5787360",663144,248432,7049398,"NA","NA",2,33.34,13.4047474401548,"c","Never",0,0,"NA",0,"inf","NA","NA","15.76845278107159",-0.0832765885258784
"37","AK",2013,40522,630941,"0","99598","249586","4016966",630941,249586,5132811,"NA","NA",2,33.34,13.3549676347746,"c","Never",0,0,"NA",0,"inf","NA","NA","15.451164020291781",-0.0497798053802558
"38","AK",2014,43060,408938,"0","128076","257696","2456212",408938,257696,3392869,"NA","NA",2,33.34,12.9213188342921,"c","Never",0,0,"NA",0,"inf","NA","NA","15.037186434120347",-0.433648800482475
"39","AK",2015,44663,227852,"NA","127821","255971","635820",227852,255971,1363350,"NA","NA",2,33.34,12.3364515743581,"c","Never",0,0,"NA",0,"inf","NA","NA","14.125455464215026",-0.58486725993394
"40","AK",2016,46957,67457,"NA","111736","260846","336801",67457,260846,896921,"NA","NA",2,33.34,11.1192456368293,"c","Never",0,0,"NA",0,"inf","NA","NA","13.706723065813483",-1.21720593752886
"41","AK",2017,50612,87775,"NA","120805","263120","598175",87775,263120,1208929,"NA","NA",2,33.34,11.3825320010366,"c","Never",0,0,"NA",0,"inf","NA","NA","14.005245401652461",0.263286364207355
"42","AK",2018,65553,196321,"NA","122341","252970","931084",196321,252970,1656352,"NA","NA",2,33.34,12.1875063536563,"c","Never",0,0,"NA",0,"inf","NA","NA","14.320128151726058",0.804974352619665
"43","AK",2019,68759,332520,"NA","121501","278823","888310",332520,278823,1780911,"NA","NA",2,33.34,12.714455287645,"c","Never",0,0,"NA",0,"inf","NA","NA","14.392635589097276",0.526948933988727
"44","AL",1977,15413,75874,"36671","34095","908556","13757",337769,453802,1403674,"261895","NA",1,33.34,11.2368293487033,"c","Step-wise",2021,2021,"0",0,"-44","12.475698939057358","NA","14.154603642874562",0.229625886490004
"45","AL",1978,16276,83161,"38504","53877","996419","17056",401119,500834,1588761,"317958","NA",1,33.34,11.3285337669117,"c","Step-wise",2021,2021,"0",0,"-43","12.669674577567882","NA","14.278465025143973",0.0917044182083906
"46","AL",1979,16747,100610,"40929","43417","1095639","22281",463539,548337,1747350,"362929","NA",1,33.34,11.5190069352861,"c","Step-wise",2021,2021,"0",0,"-42","12.80196250182982","NA","14.373610912496034",0.190473168374423
"47","AL",1980,17543,109238,"45087","44287","1146256","32410",505808,569167,1856789,"396570","NA",1,33.34,11.6012842671081,"c","Step-wise",2021,2021,"0",0,"-41","12.890607849241555","NA","14.4343592097542",0.082277331821972
"48","AL",1981,17575,99095,"50731","46192","1284001","60669",614965,688828,2148415,"515870","NA",1,33.34,11.5038342649584,"c","Step-wise",2021,2021,"0",0,"-40","13.153610074737498","NA","14.580240918929116",-0.0974500021496212
"49","AL",1982,12803,123218,"54950","45681","1341497","63470",604187,712044,2192251,"480969","NA",1,33.34,11.7217104233055,"c","Step-wise",2021,2021,"0",0,"-39","13.083558097946518","NA","14.600439427793853",0.217876158347078
"50","AL",1983,11659,133717,"54595","53285","1385526","77144",690107,725873,2341219,"556390","NA",1,33.34,11.8034809053437,"c","Step-wise",2021,2021,"0",0,"-38","13.22922476618839","NA","14.666182291862599",0.0817704820381646
