"year","sum_weight","syn_state","State_Acronym","year_effective","State_Name","real_NCI_cap","Post","real_NCI_cap_76","syn_state_76","syn_state_76_shift"
1976,0.911,547.264175593528,"CO",2009,"Colorado",597.448047773923,0,100,100,88.213808585823
1977,0.911,557.37356102377,"CO",2009,"Colorado",610.033593803497,0,102.106550699507,101.847258761142,90.0610673469647
1978,0.911,581.271018595953,"CO",2009,"Colorado",624.138093561788,0,104.467341702314,106.213972066698,94.4277806525206
1979,0.911,574.93686635736,"CO",2009,"Colorado",642.264353333874,0,107.501289145882,105.056550747876,93.2703593336989
1980,0.911,538.549646933725,"CO",2009,"Colorado",575.876206430344,0,96.3893360395176,98.4076193822933,86.6214279681163
1981,0.911,542.543162934276,"CO",2009,"Colorado",495.883629690106,0,83.0002929188164,99.1373430109631,87.351151596786
1982,0.911,558.125788613251,"CO",2009,"Colorado",541.101066004647,0,90.5687227568617,101.984711132963,90.198519718786
1983,0.911,552.579447652253,"CO",2009,"Colorado",543.362742622664,0,90.9472789554206,100.971244290376,89.1850528761988
1984,0.911,598.713443565604,"CO",2009,"Colorado",620.928629250634,0,103.930146154833,109.401175934141,97.6149845199643
1985,0.911,623.346914218228,"CO",2009,"Colorado",633.172941361922,0,105.979581608997,113.902378781177,102.116187367
1986,0.911,637.145780920734,"CO",2009,"Colorado",627.757630729692,0,105.073174658232,116.423805784423,104.637614370246
1987,0.911,646.273287580687,"CO",2009,"Colorado",653.848793887084,0,109.440276242145,118.091648677675,106.305457263498
1988,0.911,677.335953438605,"CO",2009,"Colorado",668.257305466763,0,111.851952308937,123.767639769954,111.981448355777
1989,0.911,681.588385178631,"CO",2009,"Colorado",672.731503319762,0,112.600837148325,124.544674322858,112.75848290868
1990,0.911,693.279615569186,"CO",2009,"Colorado",682.253422000532,0,114.19460228259,126.68097903856,114.894787624383
1991,0.911,689.348575074619,"CO",2009,"Colorado",675.729572972527,0,113.102649760139,125.962671378406,114.176479964229
1992,0.911,720.36133529574,"CO",2009,"Colorado",702.096853812316,0,117.515967526936,131.62954335801,119.843351943833
1993,0.911,752.936690778552,"CO",2009,"Colorado",709.53299963783,0,118.760618982945,137.58194385042,125.795752436243
1994,0.911,763.099740138786,"CO",2009,"Colorado",741.085296123598,0,124.041797254985,139.439008466282,127.652817052105
1995,0.911,769.304975378551,"CO",2009,"Colorado",762.065759216678,0,127.553477169457,140.572873154763,128.786681740586
1996,0.911,771.171879217467,"CO",2009,"Colorado",771.471614194538,0,129.127815727078,140.914007093759,129.127815679582
1997,0.911,801.076128560919,"CO",2009,"Colorado",811.117685871694,0,135.763718518104,146.37832408674,134.592132672563
1998,0.911,833.897716045987,"CO",2009,"Colorado",869.816660010502,0,145.588668881155,152.375717840766,140.589526426589
1999,0.911,843.383219686836,"CO",2009,"Colorado",927.432585658899,0,155.232340136434,154.108976486933,142.322785072755
2000,0.911,862.58516819793,"CO",2009,"Colorado",904.590662620088,0,151.409091717777,157.617693002182,145.831501588005
2001,0.911,871.88868266859,"CO",2009,"Colorado",922.043873253187,0,154.330385158793,159.317697293632,147.531505879455
2002,0.911,826.83049868438,"CO",2009,"Colorado",831.61105294535,0,139.193868997298,151.084345652198,139.298154238021
2003,0.911,828.319634428537,"CO",2009,"Colorado",772.403674832256,0,129.283822703951,151.356451119826,139.570259705649
2004,0.911,860.940279489247,"CO",2009,"Colorado",788.209755522543,0,131.92942189022,157.317127245818,145.530935831641
2005,0.911,886.095772029976,"CO",2009,"Colorado",810.58582477303,0,135.674696367869,161.913717642667,150.12752622849
2006,0.911,921.485841308946,"CO",2009,"Colorado",848.628799741444,0,142.042275123907,168.380442646289,156.594251232112
2007,0.911,936.42649185593,"CO",2009,"Colorado",877.224451824744,0,146.828574483298,171.110504509151,159.324313094974
2008,0.911,914.171273998838,"CO",2009,"Colorado",865.964964855972,0,144.943977653377,167.043872917021,155.257681502844
2009,0.911,859.859536923143,"CO",2009,"Colorado",783.080712485377,1,131.07093000021,157.119646282455,145.333454868278
2010,0.911,811.069895934833,"CO",2009,"Colorado",746.403273579811,1,124.931912717916,148.204456294841,136.418264880664
2011,0.911,836.156347919572,"CO",2009,"Colorado",788.477755656836,1,131.974279369509,152.788431110575,141.002239696398
2012,0.911,857.191617871519,"CO",2009,"Colorado",819.396274165737,1,137.149376789963,156.63214515035,144.845953736172
2013,0.911,869.558097592252,"CO",2009,"Colorado",863.538274734448,1,144.537801730539,158.891836223189,147.105644809012
2014,0.911,868.935663782133,"CO",2009,"Colorado",871.071663112089,1,145.798729505884,158.778100693278,146.991909279101
2015,0.911,915.524027318864,"CO",2009,"Colorado",934.327791688355,1,156.386449862819,167.291057618735,155.504866204558
2016,0.911,888.824138777502,"CO",2009,"Colorado",921.547123263787,1,154.247239855825,162.412264207417,150.62607279324
2017,0.911,883.631936948356,"CO",2009,"Colorado",930.852120688968,1,155.804697020486,161.463508184146,149.677316769969
2018,0.911,934.051565972681,"CO",2009,"Colorado",988.550781420533,1,165.46221635569,170.676541171303,158.890349757126
2019,0.911,981.886063531018,"CO",2009,"Colorado",1023.99151647023,1,171.394235914838,179.417200562439,167.631009148262
2020,0.911,955.490366572697,"CO",2009,"Colorado",960.267163406734,1,160.728144812702,174.593991199302,162.807799785125
2021,0.911,1027.58586488389,"CO",2009,"Colorado",1113.80216815911,1,186.426614382474,187.767793089952,175.981601675774
2022,0.911,1072.03881017331,"CO",2009,"Colorado",1181.84763425297,1,197.815967205267,195.890551215168,184.104359800991
