"year","sum_weight","syn_state","State_Acronym","year_effective","State_Name","real_NCI_cap","Post","real_NCI_cap_76","syn_state_76","syn_state_76_shift"
1976,0.919,671.579717143416,"CT",2016,"Connecticut",638.47227160906,0,100,100,155.882371613649
1977,0.919,683.893933315441,"CT",2016,"Connecticut",671.354130806703,0,105.150084139876,101.833619428592,157.715991042241
1978,0.919,682.729961803882,"CT",2016,"Connecticut",670.153125500753,0,104.961978037331,101.660300985249,157.542672598898
1979,0.919,680.252316047945,"CT",2016,"Connecticut",661.572056456468,0,103.6179777689,101.291372964839,157.173744578487
1980,0.919,632.302089250012,"CT",2016,"Connecticut",621.200920153534,0,97.2948940426184,94.1514570957455,150.033828709394
1981,0.919,628.083544542046,"CT",2016,"Connecticut",641.031382982943,0,100.400817934886,93.5233046068779,149.405676220527
1982,0.919,633.772132707269,"CT",2016,"Connecticut",658.036285914888,0,103.064191692542,94.3703504630898,150.252722076739
1983,0.919,655.925774740161,"CT",2016,"Connecticut",692.243015765951,0,108.421782205417,97.6690864831595,153.551458096808
1984,0.919,706.719027271772,"CT",2016,"Connecticut",812.401311980713,0,127.241439934944,105.23233641984,161.114708033489
1985,0.919,736.271607958778,"CT",2016,"Connecticut",882.49681697363,0,138.220069408744,109.632794017444,165.515165631093
1986,0.919,782.808005031163,"CT",2016,"Connecticut",911.344573757307,0,142.738316804356,116.562186892847,172.444558506496
1987,0.919,830.290916765113,"CT",2016,"Connecticut",989.468042443404,0,154.974317044305,123.632518310228,179.514889923877
1988,0.919,872.838608141497,"CT",2016,"Connecticut",974.562513214481,0,152.639755326949,129.967982334866,185.850353948515
1989,0.919,874.566653276416,"CT",2016,"Connecticut",984.54673693038,0,154.203523114505,130.225292835884,186.107664449533
1990,0.919,879.304535252421,"CT",2016,"Connecticut",1067.34252918032,0,167.171320767061,130.93077602054,186.813147634189
1991,0.919,885.291802775237,"CT",2016,"Connecticut",997.392644096272,0,156.215498847377,131.822296024789,187.704667638438
1992,0.919,913.705774037631,"CT",2016,"Connecticut",1189.51733889288,0,186.306812650625,136.053211661023,191.935583274672
1993,0.919,925.341545469246,"CT",2016,"Connecticut",1260.74968071996,0,197.463497912392,137.785808869454,193.668180483103
1994,0.919,957.316983186859,"CT",2016,"Connecticut",1266.96476360641,0,198.436928265254,142.547036301042,198.429407914691
1995,0.919,925.003182667531,"CT",2016,"Connecticut",1361.49189291943,0,213.242133364419,137.7354257514,193.617797365049
1996,0.919,947.320351063777,"CT",2016,"Connecticut",1402.42371723407,0,219.653034218655,141.058511280423,196.940882894072
1997,0.919,970.858633013397,"CT",2016,"Connecticut",1564.11700171913,0,244.978062677223,144.563423854278,200.445795467927
1998,0.919,1014.53505222967,"CT",2016,"Connecticut",1660.70563154353,0,260.106147970728,151.066958446128,206.949330059777
1999,0.919,1129.52531202537,"CT",2016,"Connecticut",1673.24563894218,0,262.070212497297,168.189312927711,224.07168454136
