DATE,FCTAX,rate
1/1/29,1.220,
1/1/30,0.744,
1/1/31,0.423,
1/1/32,0.326,
1/1/33,0.462,
1/1/34,0.644,
1/1/35,0.820,
1/1/36,1.252,
1/1/37,1.337,
1/1/38,0.895,
1/1/39,1.285,
1/1/40,2.635,
1/1/41,7.333,
1/1/42,11.065,
1/1/43,13.616,
1/1/44,12.484,
1/1/45,10.234,
1/1/46,8.642,
1/1/47,10.589,
1/1/48,11.583,
1/1/49,9.405,
1/1/50,16.958,
1/1/51,21.421,
1/1/52,18.281,
1/1/53,19.135,
1/1/54,16.575,
1/1/55,20.821,
1/1/56,20.547,
1/1/57,19.861,
1/1/58,17.436,
1/1/59,21.573,
1/1/60,20.550,
1/1/61,20.804,
1/1/62,21.671,
1/1/63,23.698,
1/1/64,24.559,
1/1/65,27.602,
1/1/66,29.779,
1/1/67,28.119,
1/1/68,33.591,
1/1/69,33.045,
1/1/70,27.122,
1/1/71,30.099,
1/1/72,33.376,
1/1/73,38.919,
1/1/74,39.565,
1/1/75,38.177,
1/1/76,48.707,48
1/1/77,55.678,48
1/1/78,64.394,48
1/1/79,65.149,46
1/1/80,58.613,46
1/1/81,51.677,46
1/1/82,33.842,46
1/1/83,47.116,46
1/1/84,59.184,46
1/1/85,58.469,46
1/1/86,66.022,46
1/1/87,85.449,40
1/1/88,93.762,34
1/1/89,95.568,34
1/1/90,94.512,34
1/1/91,89.159,34
1/1/92,101.994,34
1/1/93,122.482,35
1/1/94,136.253,35
1/1/95,155.931,35
1/1/96,170.539,35
1/1/97,182.336,35
1/1/98,177.681,35
1/1/99,187.557,35
1/1/00,194.096,35
1/1/01,137.581,35
1/1/02,125.963,35
1/1/03,175.783,35
1/1/04,232.204,35
1/1/05,319.490,35
1/1/06,365.958,35
1/1/07,328.240,35
1/1/08,201.961,35
1/1/09,152.962,35
1/1/10,219.387,35
1/1/11,223.953,35
1/1/12,274.700,35
1/1/13,298.431,35
1/1/14,339.649,35
1/1/15,329.088,35
1/1/16,311.863,35
1/1/17,230.345,35
1/1/18,224.956,21
1/1/19,210.451,21
1/1/20,225.234,21
1/1/21,334.068,21
1/1/22,401.454,21
1/1/23,445.104,21
