"year","sum_weight","syn_state","State_Acronym","year_effective","State_Name","real_NCI_cap","Post","real_NCI_cap_76","syn_state_76","syn_state_76_shift"
1976,0.916,591.875761587379,"IL",1999,"Illinois",692.70719832756,0,100,100,89.1514515069321
1977,0.916,601.875021694008,"IL",1999,"Illinois",715.22610377605,0,103.250854834894,101.689418752309,90.8408702592412
1978,0.916,618.379171911977,"IL",1999,"Illinois",725.47741166281,0,104.730745315534,104.477867154674,93.6293186616063
1979,0.916,612.776337493234,"IL",1999,"Illinois",705.04168648401,0,101.780620756682,103.531243761326,92.6826952682582
1980,0.916,570.368926254913,"IL",1999,"Illinois",665.996656578446,0,96.144035775346,96.3663260555246,85.5177775624567
1981,0.916,566.406426233911,"IL",1999,"Illinois",623.677231342156,0,90.0347553552111,95.6968443368655,84.8482958437976
1982,0.916,571.917516543581,"IL",1999,"Illinois",607.005561157994,0,87.6280140618605,96.6279671615086,85.7794186684407
1983,0.916,576.765733226422,"IL",1999,"Illinois",599.874362946177,0,86.5985461670509,97.4470945861286,86.5985460930607
1984,0.916,627.133886940415,"IL",1999,"Illinois",686.27521396748,0,99.0714714130864,105.957014569827,95.1084660767595
1985,0.916,650.254640860208,"IL",1999,"Illinois",694.736273236534,0,100.292919564554,109.863367122225,99.0148186291574
1986,0.916,673.598767733811,"IL",1999,"Illinois",716.405393833337,0,103.42109849053,113.807459512661,102.958911019593
1987,0.916,699.094897812498,"IL",1999,"Illinois",739.320663292935,0,106.729172885444,118.115142261877,107.266593768809
1988,0.916,732.189148486378,"IL",1999,"Illinois",749.929432584015,0,108.260666901486,123.70656073543,112.858012242362
1989,0.916,737.002184927033,"IL",1999,"Illinois",755.404865641576,0,109.051106653055,124.519744304182,113.671195811114
1990,0.916,746.392082731478,"IL",1999,"Illinois",798.8237413728,0,115.319104998684,126.106208628935,115.257660135867
1991,0.916,744.586899986742,"IL",1999,"Illinois",786.071903812835,0,113.478235206836,125.801215104636,114.952666611568
1992,0.916,782.725531742061,"IL",1999,"Illinois",765.300488935249,0,110.479650100786,132.244903836378,121.396355343311
1993,0.916,808.240646284886,"IL",1999,"Illinois",790.98618499573,0,114.187666434743,136.555794093887,125.707245600819
1994,0.916,823.079483322269,"IL",1999,"Illinois",819.411306489438,0,118.291149343877,139.062880546893,128.214332053825
1995,0.916,816.623498029272,"IL",1999,"Illinois",834.131756382071,0,120.416210253908,137.972113579906,127.123565086838
1996,0.916,821.690951449933,"IL",1999,"Illinois",847.114871713142,0,122.29046756817,138.828282010772,127.979733517705
1997,0.916,846.154047160511,"IL",1999,"Illinois",867.042058503771,0,125.167178946186,142.961429082882,132.112880589815
1998,0.916,879.8688397706,"IL",1999,"Illinois",905.25368262597,0,130.68345251956,148.657690832083,137.809142339015
1999,0.916,916.094655653198,"IL",1999,"Illinois",945.633188604756,1,136.512683986517,154.778200951545,143.929652458477
2000,0.916,933.048824589003,"IL",1999,"Illinois",958.708447770431,1,138.400243289674,157.642681985594,146.794133492526
2001,0.916,940.694632960632,"IL",1999,"Illinois",946.48247215785,1,136.635287527399,158.934474768445,148.085926275377
2002,0.916,895.947879574907,"IL",1999,"Illinois",935.983055060089,1,135.119579718514,151.374314969754,140.525766476686
2003,0.916,901.683515674176,"IL",1999,"Illinois",905.443396362769,1,130.710839810649,152.343375788174,141.494827295106
2004,0.916,939.463600971355,"IL",1999,"Illinois",943.192473955121,1,136.160339640229,158.726486526795,147.877938033727
2005,0.916,993.388656207398,"IL",1999,"Illinois",983.817952472182,1,142.025079982923,167.837360587834,156.988812094766
2006,0.916,1031.4811772293,"IL",1999,"Illinois",1006.46148850113,1,145.29392663034,174.273258709382,163.424710216315
2007,0.916,1054.16421803015,"IL",1999,"Illinois",1030.59180691432,1,148.777406875882,178.105657714879,167.257109221811
2008,0.916,1023.39489829151,"IL",1999,"Illinois",1022.30348821983,1,147.580895750475,172.907046496857,162.058498003789
2009,0.916,963.200894088773,"IL",1999,"Illinois",936.318829675781,1,135.168052524412,162.73700607464,151.888457581572
2010,0.916,926.328132414138,"IL",1999,"Illinois",896.766096900601,1,129.458174978651,156.507191632544,145.658643139476
2011,0.916,947.240655884759,"IL",1999,"Illinois",969.953582796019,1,140.023603787838,160.04045398722,149.191905494153
2012,0.916,970.359967221017,"IL",1999,"Illinois",1107.66414791049,1,159.903657791457,163.946562808817,153.098014315749
2013,0.916,995.555499104032,"IL",1999,"Illinois",1140.17472383988,1,164.596921555408,168.20345817744,157.354909684372
2014,0.916,993.138379793807,"IL",1999,"Illinois",1220.07383691494,1,176.131248507397,167.795075292535,156.946526799467
2015,0.916,1044.1705091818,"IL",1999,"Illinois",1206.29391944806,1,174.141963929418,176.417176871949,165.568628378881
2016,0.916,1034.05295435968,"IL",1999,"Illinois",1117.08016714145,1,161.262965050526,174.707771709794,163.859223216726
2017,0.916,1030.13929997158,"IL",1999,"Illinois",1120.51782524526,1,161.75922928917,174.046542674564,163.197994181496
2018,0.916,1085.90843099233,"IL",1999,"Illinois",1228.56991310505,1,177.357751741465,183.468981409203,172.620432916135
2019,0.916,1131.29384004129,"IL",1999,"Illinois",1285.55179482962,1,185.583721077736,191.13704487699,180.288496383922
2020,0.916,1092.52371815995,"IL",1999,"Illinois",1262.51775663444,1,182.258501092901,184.586663125021,173.738114631953
2021,0.916,1175.88215403139,"IL",1999,"Illinois",1448.29256311614,1,209.077163715467,198.670435646451,187.821887153383
2022,0.916,1232.78223709294,"IL",1999,"Illinois",1437.71483766987,1,207.550151224214,208.283953677488,197.43540518442
