"","State_Acronym","year","real_totRev_capita","treatment"
"1","IN",1976,624.692335394328,0
"2","IN",1977,657.82898051647,0
"3","IN",1978,688.246254073155,0
"4","IN",1979,668.166167277647,0
"5","IN",1980,595.832894161991,0
"6","IN",1981,563.824057781911,0
"7","IN",1982,580.618028798555,0
"8","IN",1983,588.687483617074,0
"9","IN",1984,712.979343714717,0
"10","IN",1985,738.165821760269,0
"11","IN",1986,745.79959414935,0
"12","IN",1987,769.989375420573,0
"13","IN",1988,817.615958802599,0
"14","IN",1989,861.767428001053,0
"15","IN",1990,840.384147250896,0
"16","IN",1991,810.27551219313,0
"17","IN",1992,878.623479334395,0
"18","IN",1993,839.301264737009,0
"19","IN",1994,877.922775416717,0
"20","IN",1995,911.521144836242,0
"21","IN",1996,921.57925139354,0
"22","IN",1997,965.590816323917,0
"23","IN",1998,946.661591370844,0
"24","IN",1999,983.355400589276,0
"25","IN",2000,963.218956721656,0
"26","IN",2001,932.14383371337,0
"27","IN",2002,921.081046200534,0
"28","IN",2003,983.743120059619,0
"29","IN",2004,1015.5696821875,0
"30","IN",2005,1048.2655633095,0
"31","IN",2006,1067.28511988502,0
"32","IN",2007,1073.41631972342,1
"33","IN",2008,1092.87041900738,1
"34","IN",2009,1075.32262119933,1
"35","IN",2010,974.717552255368,1
"36","IN",2011,1027.35746810251,1
"37","IN",2012,1085.01657555776,1
"38","IN",2013,1102.86556882018,1
"39","AL",1976,584.981629255374,0
"40","AL",1977,612.710795482106,0
"41","AL",1978,635.922309827456,0
"42","AL",1979,622.520381987441,0
"43","AL",1980,577.736436340843,0
"44","AL",1981,603.157879645441,0
"45","AL",1982,578.753820581973,0
"46","AL",1983,597.498866563139,0
"47","AL",1984,658.618819211571,0
"48","AL",1985,688.122798312981,0
"49","AL",1986,685.087469390981,0
"50","AL",1987,708.348877303926,0
"51","AL",1988,708.804402754001,0
"52","AL",1989,732.882664704247,0
"53","AL",1990,721.834114177855,0
"54","AL",1991,707.57034212306,0
"55","AL",1992,726.300937114913,0
"56","AL",1993,765.761003252237,0
"57","AL",1994,759.909912975262,0
"58","AL",1995,781.636814594906,0
"59","AL",1996,781.053234889296,0
"60","AL",1997,790.902892990762,0
"61","AL",1998,808.512990960617,0
"62","AL",1999,828.581935879483,0
"63","AL",2000,839.798973128144,0
"64","AL",2001,852.825284387553,0
"65","AL",2002,807.695207544944,0
"66","AL",2003,774.320917396904,0
"67","AL",2004,820.027270233812,0
"68","AL",2005,871.069558450199,0
"69","AL",2006,914.021915269274,0
"70","AL",2007,915.31982212542,0
"71","AL",2008,892.90588275357,0
"72","AL",2009,813.756113370168,0
"73","AL",2010,806.883563254842,0
"74","AL",2011,799.534156126817,0
"75","AL",2012,818.29650645859,0
"76","AL",2013,823.28233727551,0
"77","AK",1976,2624.59972789729,0
"78","AK",1977,3163.72295971009,0
"79","AK",1978,2135.16154406747,0
"80","AK",1979,2793.13848334158,0
