"year","sum_weight","syn_state","State_Acronym","year_effective","State_Name","real_NCI_cap","Post","real_NCI_cap_76","syn_state_76","syn_state_76_shift"
1976,0.926,599.014657281847,"IN",2007,"Indiana",596.813634343898,0,100,100,100.000000003458
1977,0.926,609.978387866631,"IN",2007,"Indiana",631.612538488379,0,105.830782365208,101.830294209249,101.830294212707
1978,0.926,631.980748249049,"IN",2007,"Indiana",634.394097267975,0,106.29685060151,105.503386363999,105.503386367456
1979,0.926,627.158895284219,"IN",2007,"Indiana",636.398342704471,0,106.632674939488,104.698422260664,104.698422264122
1980,0.926,591.625389717482,"IN",2007,"Indiana",556.227019846898,0,93.1994491812141,98.7664295899042,98.766429593362
1981,0.926,591.318026398784,"IN",2007,"Indiana",532.735770495634,0,89.2633378058282,98.715118104457,98.7151181079148
1982,0.926,598.211271998117,"IN",2007,"Indiana",556.768140957274,0,93.2901175371693,99.8658821993813,99.8658822028391
1983,0.926,599.442374353909,"IN",2007,"Indiana",562.904009119917,0,94.3182220926874,100.07140344011,100.071403443568
1984,0.926,643.569577473849,"IN",2007,"Indiana",690.067247709738,0,115.625248486214,107.438035054798,107.438035058256
1985,0.926,670.854455843631,"IN",2007,"Indiana",707.804461733706,0,118.597233877176,111.992995110966,111.992995114424
1986,0.926,691.782589060433,"IN",2007,"Indiana",715.091307135484,0,119.818192143283,115.486754898376,115.486754901834
1987,0.926,708.187246687358,"IN",2007,"Indiana",732.077834773227,0,122.664395155454,118.225361947052,118.22536195051
1988,0.926,751.402695542238,"IN",2007,"Indiana",777.422615189873,0,130.262207572474,125.439784554168,125.439784557626
1989,0.926,758.001423723888,"IN",2007,"Indiana",820.592602250564,0,137.495619240113,126.541381668935,126.541381672393
1990,0.926,766.229281345205,"IN",2007,"Indiana",793.420791170925,0,132.942805846446,127.914946993472,127.91494699693
1991,0.926,769.756758649371,"IN",2007,"Indiana",769.594823268848,0,128.950610204289,128.503826958476,128.503826961933
1992,0.926,798.71492149826,"IN",2007,"Indiana",793.816492074676,0,133.009108102457,133.338126503046,133.338126506504
1993,0.926,826.24253203206,"IN",2007,"Indiana",759.655559401839,0,127.285222000158,137.933608466495,137.933608469953
1994,0.926,841.541471898784,"IN",2007,"Indiana",784.135536783166,0,131.387001177545,140.487626082048,140.487626085506
1995,0.926,838.901499599245,"IN",2007,"Indiana",812.46919848193,0,136.134490187228,140.046906933118,140.046906936576
1996,0.926,844.456297547154,"IN",2007,"Indiana",823.883362023911,0,138.047007409548,140.974229475293,140.974229478751
1997,0.926,869.065088044841,"IN",2007,"Indiana",869.649146363802,0,145.715361767806,145.082441219119,145.082441222576
1998,0.926,901.918668197226,"IN",2007,"Indiana",850.267580773081,0,142.467854593807,150.567044935072,150.56704493853
1999,0.926,909.295033799439,"IN",2007,"Indiana",883.401892105421,0,148.019723623872,151.798461480985,151.798461484443
2000,0.926,925.218214514136,"IN",2007,"Indiana",875.077301197463,0,146.624884359331,154.456690377578,154.456690381036
2001,0.926,935.716488208267,"IN",2007,"Indiana",856.121256390934,0,143.448675955955,156.209280830335,156.209280833792
2002,0.926,887.520962403181,"IN",2007,"Indiana",857.0233841293,0,143.599833316721,148.163480077514,148.163480080972
2003,0.926,892.215073789492,"IN",2007,"Indiana",919.791541379584,0,154.117045665478,148.947118896573,148.947118900031
2004,0.926,925.960362344874,"IN",2007,"Indiana",960.806749170012,0,160.989410073761,154.580585147384,154.580585150841
2005,0.926,960.235561964889,"IN",2007,"Indiana",981.001431717158,0,164.373160273996,160.302515187551,160.302515191009
2006,0.926,1000.54546533205,"IN",2007,"Indiana",985.519572558071,0,165.130204111622,167.031883639081,167.031883642538
2007,0.926,1016.06366633051,"IN",2007,"Indiana",998.791150859227,1,167.353943238452,169.622504888463,169.622504891921
2008,0.926,990.30739778355,"IN",2007,"Indiana",1027.12133018142,1,172.100848753326,165.322732214479,165.322732217937
2009,0.926,925.621947595037,"IN",2007,"Indiana",1014.78028683652,1,170.03302680109,154.52408991046,154.524089913918
2010,0.926,881.808821438228,"IN",2007,"Indiana",932.51129795273,1,156.24832347838,147.209890562548,147.209890566006
2011,0.926,900.657506433435,"IN",2007,"Indiana",980.867387684428,1,164.350700325862,150.356505552027,150.356505555485
2012,0.926,930.613433717269,"IN",2007,"Indiana",1032.09568629159,1,172.93433442187,155.357372712734,155.357372716192
2013,0.926,952.684228680438,"IN",2007,"Indiana",1051.80365666672,1,176.236532837091,159.04188939273,159.041889396188
2014,0.926,947.329671483488,"IN",2007,"Indiana",1037.19102300598,1,173.788091176269,158.14799520636,158.147995209818
2015,0.926,1001.32798442952,"IN",2007,"Indiana",1055.01131017524,1,176.773996012182,167.162518021387,167.162518024845
2016,0.926,985.877474357357,"IN",2007,"Indiana",1043.46054234555,1,174.83858985438,164.583197150964,164.583197154422
2017,0.926,979.366286643588,"IN",2007,"Indiana",1049.90519718988,1,175.918433623603,163.496214113969,163.496214117427
2018,0.926,1040.23247164553,"IN",2007,"Indiana",1269.77114337937,1,212.758400664771,173.657265143694,173.657265147151
2019,0.926,1088.93782047079,"IN",2007,"Indiana",1291.02394064222,1,216.319444856768,181.788176171193,181.78817617465
2020,0.926,1051.61100404719,"IN",2007,"Indiana",1230.28360006175,1,206.142006359197,175.556806709721,175.556806713179
2021,0.926,1118.00089961933,"IN",2007,"Indiana",1368.15345717318,1,229.242996212251,186.639990529194,186.639990532652
2022,0.926,1189.66666911032,"IN",2007,"Indiana",1386.31837053163,1,232.286645404083,198.603933083821,198.603933087278
