"state","year","sales"
"Alaska",1976,33.34
"Alaska",1977,33.34
"Alaska",1978,33.34
"Alaska",1979,33.34
"Alaska",1980,33.34
"Alaska",1981,33.34
"Alaska",1982,33.34
"Alaska",1983,33.34
"Alaska",1984,33.34
"Alabama",1976,33.34
"Alabama",1977,33.34
"Alabama",1978,33.34
"Alabama",1979,33.34
"Alabama",1980,33.34
"Alabama",1981,33.34
"Alabama",1982,33.34
"Alabama",1983,33.34
"Alabama",1984,33.34
"Arkansas",1976,33.34
"Arkansas",1977,33.34
"Arkansas",1978,33.34
"Arkansas",1979,33.34
"Arkansas",1980,33.34
"Arkansas",1981,33.34
"Arkansas",1982,33.34
"Arkansas",1983,33.34
"Arkansas",1984,33.34
"Arizona",1976,33.34
"Arizona",1977,33.34
"Arizona",1978,33.34
"Arizona",1979,33.34
"Arizona",1980,33.34
"Arizona",1981,33.34
"Arizona",1982,33.34
"Arizona",1983,33.34
"Arizona",1984,33.34
"California",1976,33.34
"California",1977,33.34
"California",1978,33.34
"California",1979,33.34
"California",1980,33.34
"California",1981,33.34
"California",1982,33.34
"California",1983,33.34
"California",1984,33.34
"Colorado",1976,33.34
"Colorado",1977,33.34
"Colorado",1978,33.34
"Colorado",1979,33.34
"Colorado",1980,33.34
"Colorado",1981,33.34
"Colorado",1982,33.34
"Colorado",1983,33.34
"Colorado",1984,33.34
"Connecticut",1976,33.34
"Connecticut",1977,33.34
"Connecticut",1978,33.34
"Connecticut",1979,33.34
"Connecticut",1980,33.34
"Connecticut",1981,33.34
"Connecticut",1982,33.34
"Connecticut",1983,50
"Connecticut",1984,50
"Delaware",1976,33.34
"Delaware",1977,33.34
"Delaware",1978,33.34
"Delaware",1979,33.34
"Delaware",1980,33.34
"Delaware",1981,33.34
"Delaware",1982,33.34
"Delaware",1983,33.34
"Delaware",1984,33.34
"Florida",1976,50
"Florida",1977,50
"Florida",1978,50
"Florida",1979,50
"Florida",1980,50
"Florida",1981,50
"Florida",1982,50
"Florida",1983,50
"Florida",1984,50
"Georgia",1976,33.34
"Georgia",1977,33.34
"Georgia",1978,33.34
"Georgia",1979,33.34
"Georgia",1980,33.34
"Georgia",1981,33.34
"Georgia",1982,33.34
"Georgia",1983,33.34
"Georgia",1984,33.34
"Hawaii",1976,33.34
"Hawaii",1977,33.34
"Hawaii",1978,33.34
"Hawaii",1979,33.34
"Hawaii",1980,33.34
"Hawaii",1981,33.34
"Hawaii",1982,33.34
"Hawaii",1983,33.34
"Hawaii",1984,33.34
"Iowa",1976,100
"Iowa",1977,100
"Iowa",1978,100
"Iowa",1979,100
"Iowa",1980,100
"Iowa",1981,100
"Iowa",1982,100
"Iowa",1983,100
"Iowa",1984,100
"Idaho",1976,33.34
"Idaho",1977,33.34
"Idaho",1978,33.34
"Idaho",1979,33.34
"Idaho",1980,33.34
"Idaho",1981,33.34
"Idaho",1982,33.34
"Idaho",1983,33.34
"Idaho",1984,33.34
"Illinois",1976,33.34
"Illinois",1977,33.34
"Illinois",1978,33.34
"Illinois",1979,33.34
"Illinois",1980,33.34
"Illinois",1981,33.34
"Illinois",1982,33.34
"Illinois",1983,33.34
"Illinois",1984,33.34
"Indiana",1976,33.34
"Indiana",1977,33.34
"Indiana",1978,33.34
"Indiana",1979,33.34
"Indiana",1980,33.34
"Indiana",1981,33.34
"Indiana",1982,33.34
