"year","sum_weight","syn_state","State_Acronym","year_effective","State_Name","real_ci_cap","Post","real_ci_cap_76","syn_state_76","syn_state_76_shift"
1976,0.925,809.305900606192,"LA",2016,"Louisiana",975.813254951413,0,100,100,68.0393920950857
1977,0.925,865.943641838253,"LA",2016,"Louisiana",978.805098593292,0,100.306600020721,106.998310674572,75.0377027696573
1978,0.925,884.998120738962,"LA",2016,"Louisiana",880.965846086384,0,90.2801680153697,109.352733011841,77.3921251069264
1979,0.925,908.835837659076,"LA",2016,"Louisiana",890.841106304088,0,91.2921710976804,112.298185022293,80.3375771173787
1980,0.925,866.071245459411,"LA",2016,"Louisiana",895.653040840649,0,91.7852915294991,107.014077719031,75.0534698141163
1981,0.925,826.600186499445,"LA",2016,"Louisiana",855.944087258753,0,87.7159725916381,102.136928185041,70.1763202801266
1982,0.925,742.172856402425,"LA",2016,"Louisiana",868.852561820169,0,89.0388153072824,91.7048616408848,59.7442537359705
1983,0.925,644.868720111395,"LA",2016,"Louisiana",917.632118493897,0,94.0376771721129,79.6817025093194,47.7210946044051
1984,0.925,675.835005316279,"LA",2016,"Louisiana",716.575129761126,0,73.4336335487475,83.5079794685866,51.5473715636723
1985,0.925,774.569611357996,"LA",2016,"Louisiana",773.744585545178,0,79.2922807329261,95.7078912655675,63.7472833606532
1986,0.925,768.463890491794,"LA",2016,"Louisiana",682.753406598582,0,69.967629885554,94.9534520774152,62.9928441725009
1987,0.925,768.839801130627,"LA",2016,"Louisiana",484.272681479596,0,49.6275982133189,94.9999006005942,63.03929269568
1988,0.925,812.691854671452,"LA",2016,"Louisiana",541.746948930822,0,55.5174820778384,100.418377533479,68.4577696285651
1989,0.925,871.311204752029,"LA",2016,"Louisiana",816.768307006491,0,83.7012925231436,107.661541093348,75.7009331884341
1990,0.925,781.411037793957,"LA",2016,"Louisiana",893.055492393664,0,91.5190983379428,96.5532362001387,64.5926282952244
1991,0.925,720.310831242284,"LA",2016,"Louisiana",706.910416945723,0,72.4432070745873,89.0035313844557,57.0429234795414
1992,0.925,660.21121513364,"LA",2016,"Louisiana",484.105798519801,0,49.6104962771699,81.5774621980544,49.6168542931401
