"year","sum_weight","syn_state","State_Acronym","year_effective","State_Name","real_NCI_cap","Post","real_NCI_cap_76","syn_state_76","syn_state_76_shift"
1976,0.949,628.748744594048,"ME",2007,"Maine",804.001020315584,0,100,100,79.707551142706
1977,0.949,640.323893974343,"ME",2007,"Maine",647.850714113128,0,80.5783447711093,101.840981708483,81.5485328511894
1978,0.949,655.769296971763,"ME",2007,"Maine",679.14382478689,0,84.4705177762479,104.297511940984,84.0050630836898
1979,0.949,648.626347444652,"ME",2007,"Maine",629.628377793636,0,78.3118879061243,103.161454081859,82.8690052245648
1980,0.949,608.032558049584,"ME",2007,"Maine",618.25936458195,0,76.8978333310165,96.7051724997338,76.4127236424398
1981,0.949,610.677538602793,"ME",2007,"Maine",616.667979235425,0,76.699900081392,97.1258461910851,76.8333973337911
1982,0.949,615.217654267605,"ME",2007,"Maine",633.502563579037,0,78.7937511982729,97.8479336232824,77.5554847659884
1983,0.949,624.533269137905,"ME",2007,"Maine",655.160185735307,0,81.4874818788346,99.3295453084579,79.0370964511639
1984,0.949,671.924570548254,"ME",2007,"Maine",723.132801092865,0,89.9417765426495,106.866944280276,86.5744954229817
1985,0.949,700.478977579172,"ME",2007,"Maine",760.540594817532,0,94.5944813004102,111.408409734708,91.1159608774145
1986,0.949,732.674429618882,"ME",2007,"Maine",818.358902543043,0,101.785803980923,116.528968990934,96.2365201336396
1987,0.949,762.284033854734,"ME",2007,"Maine",906.714500347983,0,112.775292249266,121.238259385616,100.945810528322
1988,0.949,812.538891494168,"ME",2007,"Maine",997.666160874663,0,124.087673481193,129.231095645174,108.93864678788
1989,0.949,815.464142035822,"ME",2007,"Maine",987.663778040921,0,122.843597593103,129.696345169218,109.403896311924
1990,0.949,816.164300520134,"ME",2007,"Maine",934.075301845791,0,116.178372693999,129.807702605767,109.515253748473
1991,0.949,819.633843054025,"ME",2007,"Maine",880.849978860773,0,109.558316047289,130.359519617526,110.067070760232
1992,0.949,851.643128082267,"ME",2007,"Maine",923.179753360736,0,114.823206691749,135.450469747201,115.158020889907
1993,0.949,874.283276043539,"ME",2007,"Maine",943.959623712761,0,117.407764400876,139.051295698097,118.758846840803
1994,0.949,893.828473381204,"ME",2007,"Maine",911.888267155752,0,113.41879476693,142.159881998382,121.867433141088
1995,0.949,878.396018778391,"ME",2007,"Maine",927.581136979491,0,115.370641770504,139.705411156809,119.412962299515
1996,0.949,890.462943443967,"ME",2007,"Maine",937.20594393543,0,116.567755544335,141.624607778564,121.33215892127
1997,0.949,916.35824302046,"ME",2007,"Maine",961.860193968931,0,119.634200662007,145.743152713904,125.45070385661
1998,0.949,954.848448420938,"ME",2007,"Maine",1112.70248960589,0,138.395656409632,151.864867585133,131.572418727839
1999,0.949,1007.60580748371,"ME",2007,"Maine",1146.35588002679,0,142.581396174948,160.255716794198,139.963267936904
2000,0.949,1025.14874206386,"ME",2007,"Maine",1141.83687199568,0,142.019331212725,163.045851125435,142.753402268141
2001,0.949,1040.00143213967,"ME",2007,"Maine",1129.8636774087,0,140.530129795757,165.408112712996,145.115663855702
2002,0.949,978.180955665904,"ME",2007,"Maine",1093.51847116247,0,136.009587491972,155.575810540579,135.283361683285
2003,0.949,982.172441497808,"ME",2007,"Maine",1084.07006316415,0,134.834413859156,156.210640568666,135.918191711372
2004,0.949,1030.10585599199,"ME",2007,"Maine",1154.07763138246,0,143.541811791416,163.834260481439,143.541811624145
2005,0.949,1105.18152871401,"ME",2007,"Maine",1195.72827628571,0,148.722233687759,175.774749169093,155.482300311799
2006,0.949,1150.47567587527,"ME",2007,"Maine",1278.12272250645,0,158.970286132817,182.978604055596,162.686155198302
2007,0.949,1176.71332937054,"ME",2007,"Maine",1276.46687462778,1,158.764335165488,187.151599027095,166.859150169801
2008,0.949,1140.46617913981,"ME",2007,"Maine",1257.12894498039,1,156.359123087549,181.386633205313,161.094184348019
2009,0.949,1068.3187500452,"ME",2007,"Maine",1172.97738427554,1,145.892524342211,169.911870080147,149.619421222853
2010,0.949,1023.67466534308,"ME",2007,"Maine",1144.95165809135,1,142.406741927011,162.81140505561,142.518956198316
2011,0.949,1046.83481649366,"ME",2007,"Maine",1160.14674037488,1,144.296675135997,166.49493545622,146.202486598926
2012,0.949,1076.0222036768,"ME",2007,"Maine",1162.59475825436,1,144.601154585354,171.137073899294,150.844625042
2013,0.949,1106.42305359874,"ME",2007,"Maine",1199.52900454377,1,149.194960483127,175.972208789555,155.679759932261
2014,0.949,1107.71732354954,"ME",2007,"Maine",1162.71236688723,1,144.615782506202,176.178057304072,155.885608446778
2015,0.949,1165.79536334337,"ME",2007,"Maine",1236.4686629723,1,153.789439531677,185.415139730587,165.122690873293
2016,0.949,1161.68975016937,"ME",2007,"Maine",1248.62071451683,1,155.300886810657,184.762158200318,164.469709343024
2017,0.949,1157.13922123431,"ME",2007,"Maine",1239.18824711221,1,154.127695836233,184.038414578691,163.745965721398
2018,0.949,1222.33854981338,"ME",2007,"Maine",1255.48763450601,1,156.154980252787,194.408109809044,174.11566095175
2019,0.949,1274.07209485133,"ME",2007,"Maine",1285.13386111704,1,159.842317191663,202.636125448479,182.343676591185
2020,0.949,1227.54758017057,"ME",2007,"Maine",1312.49090423075,1,163.24493017628,195.236585476307,174.944136619013
2021,0.949,1322.2080104085,"ME",2007,"Maine",1383.243006886,1,172.04493177671,210.291952354066,189.999503496772
2022,0.949,1388.24361217324,"ME",2007,"Maine",1481.43106337329,1,184.257361115264,220.794653525641,200.502204668347
