"year","sum_weight","syn_state","State_Acronym","year_effective","State_Name","real_ci_cap","Post","real_ci_cap_76","syn_state_76","syn_state_76_shift"
1976,0.939,746.590389425567,"MD",2018,"Maryland",660.87989609978,0,100,100,92.8823906565659
1977,0.939,789.147686690646,"MD",2018,"Maryland",651.858705385024,0,98.6349727434599,105.700220344093,98.5826110006588
1978,0.939,831.600735314159,"MD",2018,"Maryland",664.094681382204,0,100.486440168841,111.386477390099,104.268868046665
1979,0.939,865.760277193622,"MD",2018,"Maryland",683.448766600403,0,103.414973073597,115.961883444514,108.84427410108
1980,0.939,819.161781620051,"MD",2018,"Maryland",680.15868413234,0,102.917139429772,109.720375887817,102.602766544383
1981,0.939,773.998222010931,"MD",2018,"Maryland",576.499405446592,0,87.2320990317357,103.671066889362,96.5534575459283
1982,0.939,741.946843252232,"MD",2018,"Maryland",514.521636439222,0,77.8540305849369,99.3780329563433,92.2604236129092
1983,0.939,627.669408323515,"MD",2018,"Maryland",493.550326051663,0,74.6807898022588,84.0714556755075,76.9538463320734
1984,0.939,687.854083464119,"MD",2018,"Maryland",624.799747092639,0,94.5405891115662,92.1327267544067,85.0151174109725
1985,0.939,766.961411876393,"MD",2018,"Maryland",740.458928175748,0,112.041375830254,102.728540674961,95.6109313315268
1986,0.939,765.680008754729,"MD",2018,"Maryland",727.200439216829,0,110.035188467442,102.556906651832,95.439297308398
1987,0.939,829.259009002972,"MD",2018,"Maryland",745.039790277215,0,112.734521760173,111.072821288392,103.955211944958
1988,0.939,823.924839450983,"MD",2018,"Maryland",811.648770628877,0,122.813354653223,110.35835059234,103.240741248906
1989,0.939,885.795519120051,"MD",2018,"Maryland",806.860869140422,0,122.088880884735,118.645448918997,111.527839575563
1990,0.939,765.536704091168,"MD",2018,"Maryland",666.531542869285,0,100.855170024517,102.537712102104,95.4201027586703
1991,0.939,699.866508212924,"MD",2018,"Maryland",551.824452073689,0,83.4984473472884,93.7416980081149,86.6240886646807
1992,0.939,633.858538060028,"MD",2018,"Maryland",450.582528064275,0,68.1791851626011,84.9004416662427,77.7828323228085
1993,0.939,708.921209274768,"MD",2018,"Maryland",520.870463630437,0,78.8146933662808,94.9545050827961,87.836895739362
1994,0.939,752.784273779786,"MD",2018,"Maryland",618.863750340352,0,93.6423931175107,100.82962283495,93.7120134915162
1995,0.939,828.445416460762,"MD",2018,"Maryland",682.484260396954,0,103.269030337384,110.963846868987,103.846237525553
1996,0.939,842.928830803484,"MD",2018,"Maryland",595.134286162227,0,90.051806640578,112.903788039924,105.78617869649
1997,0.939,865.528229018082,"MD",2018,"Maryland",600.324485958966,0,90.8371535436037,115.930802388714,108.813193045279
1998,0.939,882.670831272048,"MD",2018,"Maryland",646.996982555894,0,97.8993288151422,118.226921183808,111.109311840374
1999,0.939,823.880089783615,"MD",2018,"Maryland",671.457943113721,0,101.600600514007,110.352356721001,103.234747377567
2000,0.939,834.288304368761,"MD",2018,"Maryland",673.405750412619,0,101.895329905897,111.746456448585,104.628847105151
2001,0.939,819.737504060477,"MD",2018,"Maryland",752.460853154251,0,113.857428194584,109.797489449494,102.67988010606
2002,0.939,656.703774467227,"MD",2018,"Maryland",524.617873411374,0,79.3817267717532,87.960384136809,80.8427747933749
2003,0.939,658.651387543716,"MD",2018,"Maryland",535.399898249892,0,81.013191868838,88.221251823304,81.1036424798699
2004,0.939,699.938574101088,"MD",2018,"Maryland",776.71759751494,0,117.527799241403,93.7513506756532,86.633741332219
2005,0.939,901.840239986625,"MD",2018,"Maryland",1055.61539383226,0,159.728779777087,120.794515005813,113.676905662379
2006,0.939,1115.23643386017,"MD",2018,"Maryland",1066.39807249029,0,161.360343805841,149.377282329906,142.259672986472
2007,0.939,1189.62151393265,"MD",2018,"Maryland",953.076499666781,0,144.213268597126,159.340587661188,152.222978317754
2008,0.939,1086.07733792895,"MD",2018,"Maryland",728.193697708724,0,110.185481810871,145.471647279653,138.354037936218
2009,0.939,889.462086049838,"MD",2018,"Maryland",738.485915758854,0,111.742832565655,119.136557160105,112.01894781667
2010,0.939,787.159379298144,"MD",2018,"Maryland",855.971682722839,0,129.520006248398,105.433901969163,98.3162926257287
2011,0.939,893.363844829192,"MD",2018,"Maryland",715.85570129498,0,108.318577326931,119.6591675278,112.541558184366
2012,0.939,908.402079021939,"MD",2018,"Maryland",789.311418158417,0,119.433413365512,121.673422520329,114.555813176895
2013,0.939,979.285872151414,"MD",2018,"Maryland",836.077253924164,0,126.509712106288,131.167757584568,124.050148241134
2014,0.939,938.91602023356,"MD",2018,"Maryland",844.284663402552,0,127.751603337482,125.760528602032,118.642919258598
2015,0.939,979.868125871843,"MD",2018,"Maryland",857.041653744145,0,129.681907227323,131.245745960614,124.12813661718
2016,0.939,898.440564016405,"MD",2018,"Maryland",949.206094876786,0,143.627624395685,120.339154741554,113.22154539812
2017,0.939,880.48008236957,"MD",2018,"Maryland",821.901501482249,0,124.364730465058,117.933487336613,110.815877993179
2018,0.939,980.275200035733,"MD",2018,"Maryland",825.409384909259,1,124.895520317755,131.300270391903,124.182661048469
2019,0.939,1148.68974614717,"MD",2018,"Maryland",1018.75910210189,1,154.151928075609,153.858094400463,146.740485057029
2020,0.939,973.250063352124,"MD",2018,"Maryland",1005.50419767516,1,152.146283100636,130.359307745838,123.241698402404
2021,0.939,1382.4163934223,"MD",2018,"Maryland",1333.42595789285,1,201.76524747721,185.163968489595,178.046359146161
2022,0.939,1726.31000453419,"MD",2018,"Maryland",1439.25092879336,1,217.777986179816,231.22585409416,224.108244750726
