"year","sum_weight","syn_state","State_Acronym","year_effective","State_Name","real_NCI_cap","Post","real_NCI_cap_76","syn_state_76","syn_state_76_shift"
1976,0.925,598.319110868298,"MI",1991,"Michigan",661.270253515522,0,100,100,103.488001052838
1977,0.925,608.431680766019,"MI",1991,"Michigan",729.500036801243,0,110.317987679468,101.690163278095,105.178164330934
1978,0.925,624.714475227325,"MI",1991,"Michigan",754.786683179759,0,114.141938060434,104.411586372483,107.899587425321
1979,0.925,619.147724560404,"MI",1991,"Michigan",747.131256866332,0,112.984253093852,103.481188100758,106.969189153596
1980,0.925,576.468639660072,"MI",1991,"Michigan",660.442932270692,0,99.8748890880194,96.3480238536061,99.8360249064445
1981,0.925,572.081150817796,"MI",1991,"Michigan",625.122063504947,0,94.5335224413317,95.6147213796289,99.1027224324673
1982,0.925,577.897690034402,"MI",1991,"Michigan",610.118539974314,0,92.2646280746383,96.5868680336385,100.074869086477
1983,0.925,583.404779061381,"MI",1991,"Michigan",667.851848861915,0,100.995295843326,97.5072947636132,100.995295816452
1984,0.925,634.247776744808,"MI",1991,"Michigan",774.140006449439,0,117.068626984787,106.004933692385,109.492934745224
1985,0.925,658.051758985148,"MI",1991,"Michigan",793.571326267888,0,120.007110867155,109.983409694229,113.471410747067
1986,0.925,682.42414336675,"MI",1991,"Michigan",786.141888617134,0,118.883600833057,114.056885526587,117.544886579426
1987,0.925,708.696075882679,"MI",1991,"Michigan",795.036999145213,0,120.228755931262,118.4478421313,121.935843184138
1988,0.925,741.982064401685,"MI",1991,"Michigan",794.071439738252,0,120.082740077407,124.011092228844,127.499093281683
1989,0.925,746.82229881485,"MI",1991,"Michigan",807.205659905384,0,122.068950722344,124.820064284933,128.308065337772
1990,0.925,756.342446921559,"MI",1991,"Michigan",782.971409442994,0,118.404147968319,126.411213210946,129.899214263784
1991,0.925,754.865700670893,"MI",1991,"Michigan",743.203123061336,1,112.390224588243,126.164397385771,129.65239843861
1992,0.925,793.991722071794,"MI",1991,"Michigan",718.726525481238,1,108.688773109067,132.703720748537,136.191721801375
1993,0.925,818.877580149883,"MI",1991,"Michigan",800.485525091309,1,121.052704372482,136.863015951723,140.351017004561
1994,0.925,833.584286603578,"MI",1991,"Michigan",857.284907151836,1,129.64213989579,139.321019747114,142.809020799952
1995,0.925,826.690532754952,"MI",1991,"Michigan",1059.19553762342,1,160.175893591523,138.168832941879,141.656833994717
1996,0.925,831.934953770008,"MI",1991,"Michigan",1080.39820797375,1,163.382248366687,139.045358682039,142.533359734877
1997,0.925,856.728984075919,"MI",1991,"Michigan",1122.34712262495,1,169.725935297739,143.189306260435,146.677307313273
1998,0.925,891.082808250736,"MI",1991,"Michigan",1134.64050915304,1,171.584991631021,148.931028955029,152.419030007867
1999,0.925,927.819616453646,"MI",1991,"Michigan",1183.16064307518,1,178.922405292711,155.071031427889,158.559032480728
2000,0.925,945.721695957056,"MI",1991,"Michigan",1188.80649147556,1,179.776193644805,158.06309355297,161.551094605808
2001,0.925,953.955220333598,"MI",1991,"Michigan",1139.45390169373,1,172.312892593615,159.439202760746,162.927203813584
2002,0.925,907.656539684121,"MI",1991,"Michigan",1098.81911370489,1,166.167933286462,151.701077768835,155.189078821674
2003,0.925,913.608581322996,"MI",1991,"Michigan",1131.4897260879,1,171.108517292672,152.695871605562,156.1838726584
2004,0.925,952.109953472214,"MI",1991,"Michigan",1169.81582338123,1,176.904346923534,159.130794283085,162.618795335923
2005,0.925,1007.21168594653,"MI",1991,"Michigan",1101.2806698252,1,166.540179899284,168.340216391356,171.828217444194
2006,0.925,1045.40845265961,"MI",1991,"Michigan",1078.86261373987,1,163.150029508252,174.724228872195,178.212229925034
2007,0.925,1068.48512939911,"MI",1991,"Michigan",1063.92855926695,1,160.8916405374,178.581146747677,182.069147800516
2008,0.925,1038.09178608415,"MI",1991,"Michigan",1074.12038900574,1,162.432890833268,173.501358594019,176.989359646858
2009,0.925,976.432449648623,"MI",1991,"Michigan",1038.22472874696,1,157.004601859441,163.195932055654,166.683933108493
2010,0.925,939.822447566218,"MI",1991,"Michigan",1001.77736345619,1,151.492881787805,157.077123310055,160.565124362893
2011,0.925,961.119288974763,"MI",1991,"Michigan",1038.78348229478,1,157.089098862723,160.636568599649,164.124569652487
2012,0.925,984.29064928693,"MI",1991,"Michigan",1017.15341248426,1,153.81811098817,164.509311403826,167.997312456664
2013,0.925,1010.1973740096,"MI",1991,"Michigan",1046.96502246477,1,158.326344924601,168.839229043441,172.327230096279
2014,0.925,1007.70756167145,"MI",1991,"Michigan",1030.06445146604,1,155.77057125886,168.423094527105,171.911095579944
2015,0.925,1059.80823330084,"MI",1991,"Michigan",1094.50931544521,1,165.516187916582,177.130934655057,180.618935707895
2016,0.925,1050.44552491573,"MI",1991,"Michigan",1111.00122640488,1,168.010162335058,175.566099399916,179.054100452754
2017,0.925,1046.30320409286,"MI",1991,"Michigan",1145.38926146419,1,173.210462042552,174.873773056394,178.361774109233
2018,0.925,1103.4264606726,"MI",1991,"Michigan",1159.3778748186,1,175.325877529645,184.42106237778,187.909063430619
2019,0.925,1148.42073312638,"MI",1991,"Michigan",1141.05284597405,1,172.554691505909,191.941175246727,195.429176299566
2020,0.925,1108.93297127725,"MI",1991,"Michigan",1041.5763931067,1,157.511454291094,185.341392433201,188.829393486039
2021,0.925,1193.87114188883,"MI",1991,"Michigan",1210.83754200514,1,183.107819468356,199.53752440838,203.025525461218
2022,0.925,1252.61625206445,"MI",1991,"Michigan",1200.92667239,1,181.609057114772,209.355882055417,212.843883108255
