"year","sum_weight","syn_state","State_Acronym","year_effective","State_Name","real_ci_cap","Post","real_ci_cap_76","syn_state_76","syn_state_76_shift"
1976,0.923,786.777869172281,"MN",2007,"Minnesota",725.637017512558,0,100,100,112.105000110211
1977,0.923,840.983025968642,"MN",2007,"Minnesota",889.655886531441,0,122.60343188956,106.889512138081,118.994512248292
1978,0.923,865.28496181994,"MN",2007,"Minnesota",932.177040805886,0,128.463269969514,109.978304642739,122.083304752949
1979,0.923,902.363329057043,"MN",2007,"Minnesota",1010.96874500144,0,139.321550665508,114.690990229092,126.795990339303
1980,0.923,861.544854439856,"MN",2007,"Minnesota",943.778182341431,0,130.062022686859,109.502934461824,121.607934572034
1981,0.923,790.88243922388,"MN",2007,"Minnesota",739.604477382063,0,101.92485492504,100.521693633289,112.6266937435
1982,0.923,732.972808690988,"MN",2007,"Minnesota",679.933324959972,0,93.7015764838933,93.1613403745205,105.266340484731
1983,0.923,651.749055894871,"MN",2007,"Minnesota",513.084367428906,0,70.7081302422704,82.8377463871136,94.9427464973243
1984,0.923,707.180408915931,"MN",2007,"Minnesota",589.328985032138,0,81.2153970661976,89.8831088957688,101.98810900598
1985,0.923,804.433168782298,"MN",2007,"Minnesota",709.384162818925,0,97.7601949319859,102.244000537101,114.349000647312
1986,0.923,798.946632867954,"MN",2007,"Minnesota",664.133552464946,0,91.5242106503273,101.546658106751,113.651658216961
1987,0.923,850.561649029798,"MN",2007,"Minnesota",925.486403687446,0,127.54123361291,108.106961616068,120.211961726279
1988,0.923,876.429891473611,"MN",2007,"Minnesota",853.229074129871,0,117.583454749138,111.394832749382,123.499832859592
1989,0.923,926.055740689337,"MN",2007,"Minnesota",954.590870868603,0,131.55211873574,117.702311792728,129.807311902938
1990,0.923,818.54544792095,"MN",2007,"Minnesota",884.546414348431,0,121.899295791249,104.037680772858,116.142680883068
1991,0.923,745.575232183591,"MN",2007,"Minnesota",775.474616550033,0,106.868116955818,94.7631169351475,106.868117045358
1992,0.923,671.06327666913,"MN",2007,"Minnesota",687.717429944993,0,94.7743035908571,85.292596927658,97.3975970378687
1993,0.923,751.70055351936,"MN",2007,"Minnesota",795.749980411072,0,109.662263804961,95.5416494251645,107.646649535375
1994,0.923,815.651988811064,"MN",2007,"Minnesota",832.120384758198,0,114.674467354306,103.669920160459,115.77492027067
1995,0.923,888.72284543938,"MN",2007,"Minnesota",967.904360211222,0,133.386850016161,112.957275523567,125.062275633777
1996,0.923,898.458165730678,"MN",2007,"Minnesota",983.846226780502,0,135.58379782678,114.194641325625,126.299641435835
1997,0.923,921.389850750305,"MN",2007,"Minnesota",948.329381191788,0,130.689223165958,117.109274021604,129.214274131815
1998,0.923,940.414156017283,"MN",2007,"Minnesota",997.604105187139,0,137.479770341219,119.527276104834,131.632276215045
