"year","sum_weight","syn_state","State_Acronym","year_effective","State_Name","real_NCI_cap","Post","real_NCI_cap_76","syn_state_76","syn_state_76_shift"
1976,0.912,621.316731528939,"MN",2007,"Minnesota",896.51552913456,0,100,100,99.8429091157179
1977,0.912,632.672935718283,"MN",2007,"Minnesota",921.373198661975,0,102.772698154087,101.827764103728,101.670673219446
1978,0.912,644.74876862393,"MN",2007,"Minnesota",942.131704716908,0,105.088163461751,103.771351374577,103.614260490294
1979,0.912,639.525775509724,"MN",2007,"Minnesota",944.396945968181,0,105.34083518663,102.930718433411,102.773627549129
1980,0.912,594.161184525061,"MN",2007,"Minnesota",838.18144132404,0,93.4932429037975,95.6293552666683,95.4722643823862
1981,0.912,592.901067166948,"MN",2007,"Minnesota",813.9019542016,0,90.7850369292867,95.4265412598715,95.2694503755893
1982,0.912,599.149808577935,"MN",2007,"Minnesota",871.383837751076,0,97.1967366357006,96.432266857444,96.2751759731619
1983,0.912,610.491409334396,"MN",2007,"Minnesota",985.605149842419,0,109.937320415839,98.2576805604601,98.100589676178
1984,0.912,662.438514000457,"MN",2007,"Minnesota",1104.58760897359,0,123.208976652071,106.618489473207,106.461398588925
1985,0.912,689.248776114712,"MN",2007,"Minnesota",1076.05676368519,0,120.026561583819,110.933561119239,110.776470234957
1986,0.912,720.575567753265,"MN",2007,"Minnesota",983.126528330214,0,109.660847624052,115.975561446747,115.818470562465
1987,0.912,754.997303146589,"MN",2007,"Minnesota",1064.91396208917,0,118.783660458974,121.515688349272,121.35859746499
1988,0.912,789.210942893112,"MN",2007,"Minnesota",1137.3665030831,0,126.865231679929,127.022322568236,126.865231683954
1989,0.912,792.924293158682,"MN",2007,"Minnesota",1099.18059272069,0,122.605862029158,127.619980747573,127.462889863291
1990,0.912,801.354786949862,"MN",2007,"Minnesota",1105.19747142852,0,123.27700251834,128.97685613228,128.819765247997
1991,0.912,800.21589785016,"MN",2007,"Minnesota",1093.24277642703,0,121.943540396046,128.793553632619,128.636462748337
1992,0.912,822.28608047481,"MN",2007,"Minnesota",1120.10106703262,0,124.939393756391,132.345716564131,132.188625679848
1993,0.912,847.642887600176,"MN",2007,"Minnesota",1167.42046870739,0,130.217540106008,136.426856800443,136.269765916161
1994,0.912,875.30287428101,"MN",2007,"Minnesota",1196.88951516204,0,133.504604913809,140.878690346397,140.721599462115
1995,0.912,861.00905363671,"MN",2007,"Minnesota",1234.15051877897,0,137.660807724139,138.578121261588,138.421030377306
1996,0.912,876.414032321704,"MN",2007,"Minnesota",1308.17116433423,0,145.91728997679,141.057529573527,140.900438689245
1997,0.912,903.07690869541,"MN",2007,"Minnesota",1398.76587339959,0,156.022492410128,145.348879704738,145.191788820456
1998,0.912,942.978266919148,"MN",2007,"Minnesota",1395.46603379815,0,155.65441851802,151.770943717975,151.613852833693
1999,0.912,1011.09944415865,"MN",2007,"Minnesota",1470.90465072422,0,164.069065501201,162.734945455361,162.577854571079
2000,0.912,1015.47090859615,"MN",2007,"Minnesota",1475.45245846487,0,164.576341459381,163.438526127773,163.281435243491
2001,0.912,1029.45784148192,"MN",2007,"Minnesota",1450.79437776707,0,161.825906035066,165.689702086184,165.532611201902
2002,0.912,967.566031106171,"MN",2007,"Minnesota",1405.47623858287,0,156.770986436747,155.72830764193,155.571216757648
2003,0.912,972.136534621561,"MN",2007,"Minnesota",1439.43632517666,0,160.558995176157,156.463923356663,156.306832472381
2004,0.912,1021.54771766363,"MN",2007,"Minnesota",1466.88096377721,0,163.620251530193,164.416579471439,164.259488587157
2005,0.912,1107.56970414409,"MN",2007,"Minnesota",1494.93654430389,0,166.749654157916,178.261689721212,178.10459883693
2006,0.912,1150.43041466411,"MN",2007,"Minnesota",1561.95538916963,0,174.22513480357,185.160057066727,185.002966182445
