Year,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,Florida,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming
1985,33.34,33.34,33.34,33.34,33.34,33.34,50,33.34,50,33.34,33.34,33.34,33.34,33.34,100,33.34,33.34,33.34,33.34,33.34,50,33.34,33.34,33.34,33.34,33.34,33.34,NA,33.34,33.34,33.34,50,33.34,33.34,50,33.34,33.34,33.34,33.34,33.34,NA,33.34,NA,33.34,33.34,33.34,NA,33.34,50,NA
1986,33.34,33.34,33.34,33.34,33.34,33.34,50,33.34,50,33.34,33.34,33.34,33.34,33.34,100,33.34,50,33.34,33.34,33.34,50,33.34,33.34,33.34,33.34,33.34,33.34,NA,33.34,33.34,33.34,50,33.34,33.34,50,33.34,33.34,33.34,33.34,33.34,NA,33.34,NA,33.34,33.34,33.34,NA,50,50,NA
1987,33.34,33.34,33.34,33.34,33.34,33.34,50,33.34,50,33.34,33.34,33.34,50,33.34,100,33.34,50,33.34,33.34,33.34,50,33.34,70,33.34,33.34,33.34,33.34,NA,33.34,33.34,33.34,50,33.34,33.34,50,33.34,33.34,33.34,33.34,33.34,NA,33.34,NA,33.34,33.34,33.34,NA,50,50,NA
1988,33.34,33.34,33.34,33.34,33.34,33.34,50,33.34,50,33.34,33.34,33.34,50,33.34,100,33.34,50,33.34,33.34,33.34,50,33.34,70,33.34,33.34,33.34,46.67,NA,33.34,33.34,33.34,50,33.34,33.34,50,33.34,33.34,33.34,33.34,33.34,NA,33.34,NA,33.34,33.34,33.34,NA,50,50,NA
1989,33.34,33.34,33.34,33.34,33.34,33.34,50,33.34,50,33.34,33.34,33.34,50,33.34,100,33.34,50,33.34,33.34,33.34,50,33.34,70,33.34,33.34,33.34,60,NA,33.34,33.34,33.34,50,50,33.34,50,33.34,33.34,33.34,33.34,33.34,NA,33.34,NA,33.34,33.34,33.34,NA,50,50,NA
1990,33.34,33.34,33.34,33.34,33.34,33.34,50,33.34,50,33.34,33.34,33.34,50,33.34,100,33.34,50,33.34,33.34,33.34,50,33.34,70,33.34,33.34,33.34,73.33,NA,33.34,33.34,33.34,50,50,33.34,50,33.34,33.34,33.34,33.34,33.34,NA,33.34,NA,33.34,33.34,33.34,NA,50,50,NA
1991,33.34,33.34,50,33.34,33.34,33.34,50,33.34,50,33.34,33.34,33.34,50,33.34,100,33.34,50,33.34,50,33.34,50,40,70,33.34,33.34,33.34,86.67,NA,33.34,33.34,33.34,50,50,33.34,50,33.34,50,33.34,33.34,33.34,NA,33.34,NA,33.34,33.34,33.34,NA,50,50,NA
1992,33.34,33.34,50,33.34,33.34,33.34,50,33.34,50,33.34,33.34,33.34,50,33.34,100,33.34,50,33.34,50,50,50,40,70,33.34,33.34,33.34,100,NA,50,33.34,33.34,50,50,33.34,50,33.34,50,33.34,33.34,33.34,NA,33.34,NA,33.34,33.34,33.34,NA,50,50,NA
1993,33.34,33.34,50,33.34,50,33.34,50,33.34,50,33.34,33.34,33.34,50,33.34,100,33.34,50,33.34,50,50,50,50,70,33.34,33.34,33.34,100,NA,50,33.34,33.34,50,50,33.34,50,33.34,50,33.34,33.34,33.34,NA,33.34,NA,33.34,33.34,33.34,NA,50,50,NA
1994,33.34,33.34,50,33.34,50,33.34,50,33.34,50,33.34,33.34,33.34,50,33.34,100,33.34,50,33.34,50,50,50,50,70,33.34,33.34,33.34,100,NA,50,33.34,33.34,50,50,33.34,50,33.34,50,33.34,33.34,50,NA,33.34,NA,33.34,33.34,33.34,NA,50,50,NA
