"State_Name","First_Sum_Weight"
"Iowa_control",0.961
"Nebraska_control",0.92
"Michigan_control",0.925
"Illinois_control",0.916
"Oregon_control",0.923
"Georgia_control",0.943
"Wisconsin_control",0.941
"Arizona_control",0.931
"Indiana_control",0.926
"Maine_control",0.949
"Minnesota_control",0.912
"Pennsylvania_control",0.926
"South Carolina_control",0.902
"Colorado_control",0.911
"California_control",0.934
"Utah_control",0.953
"New Jersey_control",0.901
"New York_control",0.926
"Rhode Island_control",0.937
"Connecticut_control",0.919
"Louisiana_control",0.918
"North Carolina_control",0.909
"North Dakota_control",0.919
"Delaware_control",0.961
"Kentucky_control",0.932
"Maryland_control",0.934
"Missouri_control",0.918
