"year","sum_weight","syn_state","State_Acronym","year_effective","State_Name","real_ci_cap","Post","real_ci_cap_76","syn_state_76","syn_state_76_shift"
1976,0.911,753.961808954091,"NE",1988,"Nebraska",782.364166640936,0,100,100,102.041764468344
1977,0.911,808.107311231886,"NE",1988,"Nebraska",1076.52306036094,0,137.59871761292,107.181464848055,109.223229316399
1978,0.911,849.551540363267,"NE",1988,"Nebraska",1049.08749199762,0,134.091965957727,112.678325383852,114.720089852196
1979,0.911,871.892871038552,"NE",1988,"Nebraska",998.357474041687,0,127.607770985744,115.641516676827,117.683281145171
1980,0.911,820.682752379903,"NE",1988,"Nebraska",949.635067742647,0,121.380184348151,108.849379721019,110.891144189363
1981,0.911,777.305512020716,"NE",1988,"Nebraska",913.396477428607,0,116.748250542999,103.096138662382,105.137903130727
1982,0.911,712.476376400114,"NE",1988,"Nebraska",769.308239995979,0,98.3312212903343,94.4976745424909,96.5394390108352
1983,0.911,602.768002592531,"NE",1988,"Nebraska",467.467367624474,0,59.7506107202654,79.9467553175805,81.9885197859248
1984,0.911,645.329401338726,"NE",1988,"Nebraska",579.089554858325,0,74.0179036246808,85.5917890899459,87.6335535582902
1985,0.911,721.954557880858,"NE",1988,"Nebraska",431.778914504831,0,55.1889941941826,95.7547914638231,97.7965559321675
1986,0.911,689.721991496177,"NE",1988,"Nebraska",475.485856564859,0,60.7755156535795,91.4796987466741,93.5214632150184
1987,0.911,732.91076291098,"NE",1988,"Nebraska",569.724199308177,0,72.8208452790311,97.207942657956,99.2497071263003
1988,0.911,767.91757939398,"NE",1988,"Nebraska",596.817969173861,1,76.2839090313001,101.850991691376,103.89275615972
1989,0.911,818.657947974637,"NE",1988,"Nebraska",620.837519448484,1,79.3540330603377,108.580824420045,110.622588888389
1990,0.911,746.30578373183,"NE",1988,"Nebraska",523.699224577218,1,66.9380381805713,98.9845606062087,101.026325074553
1991,0.911,698.24660014507,"NE",1988,"Nebraska",484.276360609506,1,61.899097793389,92.610340716553,94.6521051848973
1992,0.911,625.073921357385,"NE",1988,"Nebraska",590.132790546236,1,75.4294247754161,82.905249832813,84.9470143011573
1993,0.911,683.367896186465,"NE",1988,"Nebraska",564.779473740011,1,72.1888217560985,90.6369378489402,92.6787023172845
1994,0.911,743.50030645069,"NE",1988,"Nebraska",602.828812631893,1,77.0522013067298,98.6124625439698,100.654227012314
1995,0.911,805.043764574415,"NE",1988,"Nebraska",636.742661345005,1,81.3869919527176,106.775138344366,108.81690281271
