"year","sum_weight","syn_state","State_Acronym","year_effective","State_Name","real_NCI_cap","Post","real_NCI_cap_76","syn_state_76","syn_state_76_shift"
1976,0.92,600.442286337272,"NE",1988,"Nebraska",522.290680792556,0,100,100,107.080083296353
1977,0.92,610.452888446834,"NE",1988,"Nebraska",605.198228080936,0,115.873832395893,101.667204715149,108.747288011502
1978,0.92,627.027568291442,"NE",1988,"Nebraska",620.934173125953,0,118.88670350842,104.427616535195,111.507699831548
1979,0.92,621.530503322735,"NE",1988,"Nebraska",608.647530533449,0,116.534250546046,103.512113897591,110.592197193944
1980,0.92,579.441863560777,"NE",1988,"Nebraska",585.986773606353,0,112.19552543368,96.5025076923549,103.582590988708
1981,0.92,575.320188769123,"NE",1988,"Nebraska",522.578302878957,0,100.055069350647,95.8160678986493,102.896151195003
1982,0.92,579.680187103369,"NE",1988,"Nebraska",531.983480013367,0,101.855824654214,96.5421990245636,103.622282320917
1983,0.92,585.353575557923,"NE",1988,"Nebraska",592.804299969289,0,113.500838090722,97.4870672631352,104.567150559488
1984,0.92,635.477207334727,"NE",1988,"Nebraska",606.952305681846,0,116.20967557009,105.834852373768,112.914935670121
1985,0.92,658.89262496655,"NE",1988,"Nebraska",581.259687299795,0,111.290457340299,109.734547342731,116.814630639084
1986,0.92,683.176417313718,"NE",1988,"Nebraska",617.120921759747,0,118.156602147925,113.778864823317,120.85894811967
1987,0.92,709.849788459594,"NE",1988,"Nebraska",638.302239094313,0,122.212067449818,118.221152076033,125.301235372386
1988,0.92,745.917323030812,"NE",1988,"Nebraska",682.649752723516,1,130.703031439815,124.22797994141,131.308063237764
1989,0.92,750.89688108889,"NE",1988,"Nebraska",701.222864425938,1,134.259118573944,125.05729495992,132.137378256273
1990,0.92,759.824398655737,"NE",1988,"Nebraska",697.497737587978,1,133.545889911256,126.54411855146,133.624201847814
1991,0.92,758.997660991501,"NE",1988,"Nebraska",777.882655767688,1,148.936728985338,126.406430436708,133.486513733061
1992,0.92,797.761421367156,"NE",1988,"Nebraska",794.537573354289,1,152.125550497782,132.862298262426,139.942381558779
1993,0.92,822.132899401622,"NE",1988,"Nebraska",806.391243842996,1,154.395104775626,136.921219259335,144.001302555689
1994,0.92,837.833465627083,"NE",1988,"Nebraska",844.930881310282,1,161.774068039685,139.536052788339,146.616136084692
1995,0.92,829.920833306535,"NE",1988,"Nebraska",841.026349125446,1,161.026489664572,138.218252143615,145.298335439968
1996,0.92,835.739526420132,"NE",1988,"Nebraska",867.508780791531,1,166.096928912291,139.187319986769,146.267403283123
1997,0.92,859.809069230434,"NE",1988,"Nebraska",907.029232756716,1,173.663683100823,143.195955513945,150.276038810298
1998,0.92,893.721452113531,"NE",1988,"Nebraska",920.211413543371,1,176.187599623065,148.84385601242,155.923939308773
1999,0.92,928.409562460978,"NE",1988,"Nebraska",910.457770971258,1,174.320125641467,154.620949188027,161.70103248438
2000,0.92,945.313490548829,"NE",1988,"Nebraska",962.668367724994,1,184.31658904275,157.43619529452,164.516278590873
2001,0.92,953.808780176697,"NE",1988,"Nebraska",951.914066986616,1,182.257524783349,158.85103395948,165.931117255833
2002,0.92,906.924731695545,"NE",1988,"Nebraska",927.858129999384,1,177.651672549737,151.042781684786,158.12286498114
2003,0.92,912.924895995602,"NE",1988,"Nebraska",1011.56570407771,1,193.678681484934,152.042072447044,159.122155743397
2004,0.92,951.294095580104,"NE",1988,"Nebraska",1050.78499817069,1,201.187774703574,158.432228579877,165.51231187623
2005,0.92,1006.55252922118,"NE",1988,"Nebraska",1045.91802564167,1,200.255923397777,167.635183617929,174.715266914283
2006,0.92,1045.46316972064,"NE",1988,"Nebraska",1034.99068035299,1,198.163727291177,174.115513432276,181.195596728629
2007,0.92,1068.7698929267,"NE",1988,"Nebraska",1057.21744859689,1,202.419359080389,177.997106007681,185.077189304034
2008,0.92,1037.78379078436,"NE",1988,"Nebraska",1033.17055182018,1,197.815237724017,172.83655971582,179.916643012174
2009,0.92,975.187092910732,"NE",1988,"Nebraska",977.788251988997,1,187.211506532194,162.411461534367,169.49154483072
2010,0.92,937.886393647898,"NE",1988,"Nebraska",930.075035251214,1,178.076130678775,156.199257612093,163.279340908447
2011,0.92,958.285333687534,"NE",1988,"Nebraska",963.77880955537,1,184.529198968833,159.596576639051,166.676659935404
2012,0.92,983.00683980073,"NE",1988,"Nebraska",970.948453874687,1,185.901929630701,163.713792677248,170.793875973601
2013,0.92,1009.67929471073,"NE",1988,"Nebraska",1022.27955229782,1,195.730000532759,168.155927336467,175.236010632821
2014,0.92,1006.84028080779,"NE",1988,"Nebraska",1029.35194759056,1,197.084111481476,167.68310688935,174.763190185704
2015,0.92,1059.38102273954,"NE",1988,"Nebraska",1057.48253649105,1,202.470113938537,176.433446951549,183.513530247903
2016,0.92,1050.60686536001,"NE",1988,"Nebraska",1051.08917138378,1,201.246013003485,174.972164563686,182.052247860039
2017,0.92,1046.65921217322,"NE",1988,"Nebraska",1029.73422493863,1,197.157303931988,174.314707006712,181.394790303065
2018,0.92,1104.14851266509,"NE",1988,"Nebraska",1050.52797536499,1,201.138564021639,183.889199310137,190.96928260649
2019,0.92,1150.00981578731,"NE",1988,"Nebraska",1079.00474993461,1,206.590848662523,191.527119584203,198.607202880556
2020,0.92,1109.97570989527,"NE",1988,"Nebraska",1075.74963685597,1,205.96761083762,184.859683462032,191.939766758386
2021,0.92,1193.10914679851,"NE",1988,"Nebraska",1200.5118565471,1,229.855117216599,198.70505025163,205.785133547983
2022,0.92,1254.34571011096,"NE",1988,"Nebraska",1173.83125366418,1,224.746735263003,208.903626318948,215.983709615301
