"year","sum_weight","syn_state","State_Acronym","year_effective","State_Name","real_ci_cap","Post","real_ci_cap_76","syn_state_76","syn_state_76_shift"
1976,0.938,742.072122934114,"NJ",2012,"New Jersey",730.998516501954,0,100,100,150.658607362546
1977,0.938,786.070537541468,"NJ",2012,"New Jersey",997.90289391151,0,136.512300830209,105.929129157067,156.587736519614
1978,0.938,829.139726262922,"NJ",2012,"New Jersey",1107.86540240943,0,151.555082178675,111.733037886472,162.391645249019
1979,0.938,863.108881758607,"NJ",2012,"New Jersey",1071.6877337557,0,146.60600665567,116.31064624095,166.969253603497
1980,0.938,816.443284662227,"NJ",2012,"New Jersey",1090.70341884305,0,149.207336844183,110.022093463645,160.680700826192
1981,0.938,770.498142225761,"NJ",2012,"New Jersey",948.704598583029,0,129.782014212951,103.830627564778,154.489234927324
1982,0.938,741.018007457446,"NJ",2012,"New Jersey",1123.16694360416,0,153.648320516278,99.8579497269752,150.516557089522
1983,0.938,628.413642153083,"NJ",2012,"New Jersey",992.534873063035,0,135.777959962574,84.6836342090805,135.342241571627
1984,0.938,691.008068637858,"NJ",2012,"New Jersey",1181.18841028233,0,161.585609767674,93.1187208469237,143.77732820947
1985,0.938,768.357978451073,"NJ",2012,"New Jersey",1260.04419364422,0,172.373016524563,103.542223822265,154.200831184811
1986,0.938,767.602933977275,"NJ",2012,"New Jersey",1270.04761592877,0,173.741476522596,103.440475696919,154.099083059466
1987,0.938,831.610430463016,"NJ",2012,"New Jersey",1387.69748810751,0,189.835882943793,112.065984526527,162.724591889074
1988,0.938,826.299204793217,"NJ",2012,"New Jersey",1439.29217710734,0,196.893994257989,111.350255488115,162.008862850662
1989,0.938,888.61492297973,"NJ",2012,"New Jersey",1518.87857354821,0,207.781348287339,119.74778401137,170.406391373916
1990,0.938,767.691871118546,"NJ",2012,"New Jersey",1230.8245386468,0,168.375791586645,103.452460669609,154.111068032155
1991,0.938,700.922076963802,"NJ",2012,"New Jersey",1080.092905951,0,147.755827346896,94.4547107082251,145.113318070772
1992,0.938,635.027211482113,"NJ",2012,"New Jersey",855.738858707548,0,117.064376929589,85.5748642020467,136.233471564593
1993,0.938,710.75329474031,"NJ",2012,"New Jersey",924.337138116482,0,126.448565523732,95.7795438979744,146.438151260521
1994,0.938,755.262652867118,"NJ",2012,"New Jersey",1027.31087240668,0,140.535288268801,101.777526675015,152.436134037561
1995,0.938,831.313625871125,"NJ",2012,"New Jersey",941.783837240137,0,128.835259713912,112.025987795385,162.684595157931
1996,0.938,845.761034268036,"NJ",2012,"New Jersey",1021.42365988443,0,139.729922404254,113.972888635668,164.631495998215
1997,0.938,869.797951514078,"NJ",2012,"New Jersey",1086.42834770257,0,148.622510603914,117.212050504598,167.870657867145
1998,0.938,887.141300293793,"NJ",2012,"New Jersey",991.947724425907,0,135.69763850858,119.549201873543,170.20780923609
1999,0.938,829.211690351254,"NJ",2012,"New Jersey",1092.48948353852,0,149.45166903572,111.742735608042,162.401342970589
2000,0.938,838.751332050092,"NJ",2012,"New Jersey",1031.19474579369,0,141.066598975914,113.028276649676,163.686884012222
2001,0.938,824.689560320378,"NJ",2012,"New Jersey",960.948580167656,0,131.456980893215,111.133343354767,161.791950717314
2002,0.938,663.533393452215,"NJ",2012,"New Jersey",795.298282811108,0,108.796155512989,89.4162943122886,140.074901674835
2003,0.938,664.521512854326,"NJ",2012,"New Jersey",1682.8532538062,0,230.212950617076,89.5494511000956,140.208058462642
2004,0.938,704.256711156338,"NJ",2012,"New Jersey",1292.26667141774,0,176.781025165635,94.9040786455828,145.562686008129
2005,0.938,910.403903621943,"NJ",2012,"New Jersey",1462.84535431495,0,200.116049662467,122.684018909409,173.342626271956
2006,0.938,1124.02273183011,"NJ",2012,"New Jersey",1596.12359558428,0,218.348404210477,151.470820300564,202.129427663111
2007,0.938,1199.37417022859,"NJ",2012,"New Jersey",1782.88655165981,0,243.897424059279,161.625013682811,212.283621045357
2008,0.938,1096.31858799371,"NJ",2012,"New Jersey",1670.58870259708,0,228.535170028982,147.737471077464,198.396078440011
2009,0.938,897.467528001353,"NJ",2012,"New Jersey",1418.15153068638,0,194.001971094642,120.940741508091,171.599348870638
2010,0.938,792.706576589178,"NJ",2012,"New Jersey",1185.63843021402,0,162.194368859687,106.823387119686,157.481994482232
2011,0.938,899.005301957106,"NJ",2012,"New Jersey",1240.10608494063,0,169.645499538755,121.147968529324,171.80657589187
2012,0.938,912.074420345094,"NJ",2012,"New Jersey",1055.42734928865,1,144.381599341567,122.909134052739,173.567741415285
2013,0.938,983.383188446758,"NJ",2012,"New Jersey",1228.79923727203,1,168.098732012782,132.518546116314,183.177153478861
2014,0.938,942.564177036484,"NJ",2012,"New Jersey",1253.42132441371,1,171.467013423188,127.017866310573,177.67647367312
2015,0.938,983.352460620096,"NJ",2012,"New Jersey",1363.18964399421,1,186.483229886359,132.514405302273,183.17301266482
2016,0.938,899.966253111741,"NJ",2012,"New Jersey",1163.1600076472,1,159.119339012241,121.277464184118,171.936071546664
2017,0.938,880.951800946908,"NJ",2012,"New Jersey",1076.05770374286,1,147.203814980654,118.715118614572,169.373725977119
2018,0.938,983.922960546586,"NJ",2012,"New Jersey",1112.54298851263,1,152.194972137082,132.591284612095,183.249891974641
2019,0.938,1154.00913597397,"NJ",2012,"New Jersey",1495.48185160966,1,204.58069583588,155.511721881032,206.170329243579
2020,0.938,978.415541631433,"NJ",2012,"New Jersey",1414.87798136264,1,193.55415222089,131.849117005343,182.50772436789
2021,0.938,1388.92121690384,"NJ",2012,"New Jersey",2063.32973878332,1,282.261823000267,187.167954970754,237.8265623333
2022,0.938,1727.79201046114,"NJ",2012,"New Jersey",2778.57595490232,1,380.106921173881,232.833434522448,283.492041884994
