"year","sum_weight","syn_state","State_Acronym","year_effective","State_Name","real_ci_cap","Post","real_ci_cap_76","syn_state_76","syn_state_76_shift"
1976,0.937,740.634025091329,"NY",2015,"New York",1109.65652110656,0,100,100,88.8503143150963
1977,0.937,785.99123026537,"NY",2015,"New York",1199.69297384776,0,108.11390290857,106.124104974579,94.974419289675
1978,0.937,830.125537714082,"NY",2015,"New York",1166.41208959363,0,105.114696972219,112.083094968762,100.933409283859
1979,0.937,862.508742925317,"NY",2015,"New York",958.243618427569,0,86.3549756344422,116.455457581625,105.305771896722
1980,0.937,815.377225786999,"NY",2015,"New York",853.429739567261,0,76.9093609900307,110.091785978433,98.9421002935292
1981,0.937,771.526702785959,"NY",2015,"New York",954.951027409867,0,86.0582539953517,104.171112404783,93.0214267198796
1982,0.937,741.639470128548,"NY",2015,"New York",790.64646947582,0,71.2514597478668,100.135754637669,88.9860689527658
1983,0.937,627.826947967165,"NY",2015,"New York",760.100498148479,0,68.4987186296621,84.7688502954946,73.6191646105909
1984,0.937,687.731121012536,"NY",2015,"New York",826.900084745388,0,74.5185621872249,92.8570788963861,81.7073932114825
1985,0.937,765.236101118878,"NY",2015,"New York",971.580983837472,0,87.5569120135123,103.321758816646,92.172073131742
1986,0.937,764.085421808063,"NY",2015,"New York",973.055732271058,0,87.6898133578053,103.166394726983,92.0167090420794
1987,0.937,823.787881319047,"NY",2015,"New York",1173.23174314376,0,105.729270348792,111.227388077055,100.077702392152
1988,0.937,818.314242131125,"NY",2015,"New York",1137.1753212372,0,102.479938576236,110.488340314937,99.3386546300335
1989,0.937,881.802147178679,"NY",2015,"New York",1000.99685586795,0,90.2078108701372,119.060442445909,107.910756761005
1990,0.937,762.656185348074,"NY",2015,"New York",890.329374326521,0,80.2346813984093,102.973420003764,91.8237343188599
1991,0.937,695.744385423503,"NY",2015,"New York",918.677307443175,0,82.789339761376,93.9390254637179,82.7893397788143
1992,0.937,632.91703234014,"NY",2015,"New York",1103.17534318773,0,99.415929362325,85.4561106967902,74.3064250118866
1993,0.937,709.165952154024,"NY",2015,"New York",1117.97642871049,0,100.749773235743,95.751198045023,84.6015123601194
1994,0.937,752.488231135313,"NY",2015,"New York",1288.3469802846,0,116.103222553935,101.600548400747,90.4508627158428
1995,0.937,829.756642656431,"NY",2015,"New York",1130.53870445844,0,101.881860103076,112.033286960333,100.883601275429
1996,0.937,843.419131299976,"NY",2015,"New York",1065.47330958193,0,96.0182983937615,113.877988686244,102.72830300134
1997,0.937,867.568642408587,"NY",2015,"New York",1160.75771349476,0,104.605136041308,117.138642435663,105.988956750759
1998,0.937,884.419413284759,"NY",2015,"New York",1174.01710177307,0,105.800045279086,119.413824280582,108.264138595678
1999,0.937,826.534197097768,"NY",2015,"New York",1058.51148745544,0,95.3909130728022,111.598194127774,100.44850844287
2000,0.937,835.168733771858,"NY",2015,"New York",996.49999219251,0,89.8025626162942,112.764024535447,101.614338850544
2001,0.937,821.981370515098,"NY",2015,"New York",1183.39109069145,0,106.644810189676,110.983473978763,99.833788293859
2002,0.937,660.115799709788,"NY",2015,"New York",874.433922554754,0,78.8022154533693,89.1284733547568,77.9787876698532
2003,0.937,660.860231234482,"NY",2015,"New York",789.449464905406,0,71.143588118435,89.2289860910711,78.0793004061674
2004,0.937,700.408402112604,"NY",2015,"New York",752.726371407928,0,67.8341772512905,94.5687584399374,83.4190727550337
2005,0.937,904.08026945433,"NY",2015,"New York",993.674086688004,0,89.5478977311919,122.068422301129,110.918736616225
2006,0.937,1118.68902189315,"NY",2015,"New York",1391.04441282536,0,125.358107339215,151.044778391758,139.895092706854
2007,0.937,1198.17516700693,"NY",2015,"New York",1820.41561411252,0,164.052171053542,161.776954125107,150.627268440204
2008,0.937,1092.64248498344,"NY",2015,"New York",1715.34959569021,0,154.583834102074,147.527989258757,136.378303573854
2009,0.937,894.431388716544,"NY",2015,"New York",1505.56289208934,0,135.678280932191,120.76563571411,109.615950029206
2010,0.937,787.041874725283,"NY",2015,"New York",1296.9380715403,0,116.877434311563,106.265962413519,95.116276728615
2011,0.937,895.908983550532,"NY",2015,"New York",1289.42923623349,0,116.200753269819,120.965139758473,109.81545407357
2012,0.937,910.465459634137,"NY",2015,"New York",1431.55831262992,0,129.009137999059,122.930547178394,111.780861493491
2013,0.937,982.274730184063,"NY",2015,"New York",1515.7996306432,0,136.60079509393,132.626195517136,121.476509832233
2014,0.937,939.762188250761,"NY",2015,"New York",1471.72261266987,0,132.628663435624,126.886175413677,115.736489728773
2015,0.937,982.216152823802,"NY",2015,"New York",1536.94858922618,1,138.506696440942,132.61828643407,121.468600749166
2016,0.937,895.683551498221,"NY",2015,"New York",1365.10313612848,1,123.020331982295,120.934702046368,109.785016361464
2017,0.937,873.92332949805,"NY",2015,"New York",1289.7335175919,1,116.228174490045,117.996648802394,106.84696311749
2018,0.937,977.222132938941,"NY",2015,"New York",965.515483070781,1,87.0103013595558,131.94399660729,120.794310922387
2019,0.937,1145.92212591304,"NY",2015,"New York",1328.43609684784,1,119.715972607732,154.721777165413,143.57209148051
2020,0.937,973.470781637924,"NY",2015,"New York",1426.39371296686,1,128.543714729351,131.437491211382,120.287805526479
2021,0.937,1380.59042144955,"NY",2015,"New York",1416.69047149017,1,127.669278244536,186.406561767035,175.256876082131
2022,0.937,1724.66191408679,"NY",2015,"New York",1864.05104942776,1,167.98450817636,232.862906058646,221.713220373742
