"year","sum_weight","syn_state","State_Acronym","year_effective","State_Name","real_NCI_cap","Post","real_NCI_cap_76","syn_state_76","syn_state_76_shift"
1976,0.909,579.296460553134,"NC",2016,"North Carolina",596.468457707884,0,100,100,109.38320537208
1977,0.909,590.068221148334,"NC",2016,"North Carolina",632.855325151152,0,106.100384181771,101.859455620515,111.242660992595
1978,0.909,614.45631482749,"NC",2016,"North Carolina",633.350048906622,0,106.183326330527,106.069406024125,115.452611396206
1979,0.909,606.445803082979,"NC",2016,"North Carolina",629.196918056829,0,105.487039578709,104.686605974413,114.069811346493
1980,0.909,573.139910104892,"NC",2016,"North Carolina",601.468965492043,0,100.838352425772,98.9372366538606,108.320442025941
1981,0.909,577.763891073949,"NC",2016,"North Carolina",581.957376368102,0,97.5671670224532,99.7354429754807,109.118648347561
1982,0.909,580.550212455219,"NC",2016,"North Carolina",604.73716810272,0,101.386277897512,100.216426646365,109.599632018445
1983,0.909,582.872450317904,"NC",2016,"North Carolina",614.917907988506,0,103.09311415251,100.617298742229,110.000504114309
1984,0.909,624.698411431438,"NC",2016,"North Carolina",666.41254625482,0,111.726368367527,107.837429359564,117.220634731644
1985,0.909,649.995476549224,"NC",2016,"North Carolina",699.591313896901,0,117.288903521453,112.204289307859,121.587494679939
1986,0.909,671.075028339457,"NC",2016,"North Carolina",731.4212232877,0,122.625297924121,115.843108673353,125.226314045434
1987,0.909,689.042890167876,"NC",2016,"North Carolina",784.653656435859,0,131.549899461765,118.944778207337,128.327983579417
1988,0.909,743.790249231801,"NC",2016,"North Carolina",810.015053901672,0,135.801825466917,128.395441691738,137.778647063818
1989,0.909,748.110857708172,"NC",2016,"North Carolina",808.253442555909,0,135.506485231738,129.141278887471,138.524484259552
1990,0.909,750.102779476539,"NC",2016,"North Carolina",833.537990757294,0,139.745527191903,129.485130767123,138.868336139203
1991,0.909,752.408114090505,"NC",2016,"North Carolina",799.708094036102,0,134.073827995738,129.883084970358,139.266290342439
1992,0.909,782.686127913023,"NC",2016,"North Carolina",872.80149523548,0,146.328189522291,135.109772147699,144.492977519779
1993,0.909,811.165146627305,"NC",2016,"North Carolina",900.803933229139,0,151.022895106769,140.025911059904,149.409116431985
1994,0.909,828.155101215541,"NC",2016,"North Carolina",934.730603440209,0,156.710818713231,142.958771131587,152.341976503668
1995,0.909,823.824818982715,"NC",2016,"North Carolina",960.655217513863,0,161.057169930742,142.211264021205,151.594469393286
1996,0.909,832.056973476682,"NC",2016,"North Carolina",954.4140610791,0,160.01081846754,143.63232474823,153.015530120311
1997,0.909,856.735524081524,"NC",2016,"North Carolina",981.028498877049,0,164.472821018392,147.892414751418,157.275620123498
1998,0.909,890.139698635025,"NC",2016,"North Carolina",1046.33994135486,0,175.422510249033,153.658749750531,163.041955122612
1999,0.909,892.547817884912,"NC",2016,"North Carolina",1060.37059297642,0,177.774797522609,154.074446964974,163.457652337055
2000,0.909,908.954628976037,"NC",2016,"North Carolina",1014.49244582553,0,170.083167469414,156.906642948955,166.289848321035
2001,0.909,920.581774670672,"NC",2016,"North Carolina",1023.12242249939,0,171.530012908152,158.913757869618,168.296963241698
2002,0.909,865.54705684492,"NC",2016,"North Carolina",992.683436688008,0,166.426811654501,149.413489600552,158.796694972632
2003,0.909,869.650163757116,"NC",2016,"North Carolina",964.695963513843,0,161.734614973772,150.121780983564,159.504986355645
2004,0.909,905.26314819671,"NC",2016,"North Carolina",990.2496711776,0,166.018782448772,156.26940777997,165.65261315205
2005,0.909,938.37048456286,"NC",2016,"North Carolina",1021.52572935683,0,171.262321780159,161.984501625794,171.367706997875
2006,0.909,980.727238446006,"NC",2016,"North Carolina",1073.29631331933,0,179.941839245583,169.296259381521,178.679464753602
2007,0.909,998.283496101002,"NC",2016,"North Carolina",1113.28615621955,0,186.646274724685,172.326876492186,181.710081864266
2008,0.909,968.916289746846,"NC",2016,"North Carolina",1077.81970370427,0,180.700201289122,167.25741580083,176.64062117291
2009,0.909,899.356196402719,"NC",2016,"North Carolina",968.006544906504,0,162.289645394892,155.249730948465,164.632936320545
2010,0.909,848.215144698602,"NC",2016,"North Carolina",968.514966412824,0,162.374884018955,146.421599726105,155.804805098185
2011,0.909,866.486902984063,"NC",2016,"North Carolina",980.753264949562,0,164.426677098469,149.575728834371,158.958934206451
2012,0.909,896.948227170609,"NC",2016,"North Carolina",960.022205635996,0,160.951043299956,154.834059630568,164.217265002648
2013,0.909,919.14055920389,"NC",2016,"North Carolina",980.074015306991,0,164.312798546503,158.664970665669,168.04817603775
2014,0.909,915.581496826446,"NC",2016,"North Carolina",941.631087692119,0,157.867708765461,158.050593982952,167.433799355033
2015,0.909,968.705320500176,"NC",2016,"North Carolina",998.49049523302,0,167.400385105028,167.220997617562,176.604202989642
2016,0.909,955.788062325394,"NC",2016,"North Carolina",1031.29053029866,1,172.899424432553,164.991179371745,174.374384743826
2017,0.909,952.538640107937,"NC",2016,"North Carolina",1036.67374399794,1,173.801938828699,164.430253759607,173.813459131687
2018,0.909,1011.770782859,"NC",2016,"North Carolina",1039.04388081857,1,174.199300464507,174.655094887499,184.03830025958
2019,0.909,1061.8037859056,"NC",2016,"North Carolina",1061.10398673367,1,177.897753522675,183.291951221617,192.675156593697
2020,0.909,1029.32186267809,"NC",2016,"North Carolina",1021.77191745627,1,171.303596066546,177.684818183639,187.06802355572
2021,0.909,1096.88658953323,"NC",2016,"North Carolina",1159.51381681856,1,194.396501916355,189.348056517708,198.731261889789
2022,0.909,1162.49586163411,"NC",2016,"North Carolina",1176.35134786581,1,197.219372234084,200.673738024244,210.056943396325
