"year","sum_weight","syn_state","State_Acronym","year_effective","State_Name","real_NCI_cap","Post","real_NCI_cap_76","syn_state_76","syn_state_76_shift"
1976,0.919,805.670099995284,"ND",2016,"North Dakota",728.800681169723,0,100,100,95.0084357002154
1977,0.919,849.856082281894,"ND",2016,"North Dakota",697.201316129575,0,95.6641965551636,105.484376581292,100.492812281507
1978,0.919,764.111932020429,"ND",2016,"North Dakota",679.781439439435,0,93.2739851928222,94.8417884720932,89.8502241723086
1979,0.919,760.750578298252,"ND",2016,"North Dakota",624.300510012504,0,85.6613510583584,94.4245763002382,89.4330120004535
1980,0.919,745.233390732213,"ND",2016,"North Dakota",622.231686288986,0,85.3774841826857,92.4985786038945,87.5070143041099
1981,0.919,811.685674668593,"ND",2016,"North Dakota",683.420856471436,0,93.7733558885466,100.746654824766,95.7550905249811
1982,0.919,863.267552326062,"ND",2016,"North Dakota",766.618979754537,0,105.189114055727,107.149012025035,102.157447725251
1983,0.919,845.425235343656,"ND",2016,"North Dakota",735.053091566132,0,100.857904027528,104.934418609876,99.9428543100911
1984,0.919,869.399849965457,"ND",2016,"North Dakota",906.15846002369,0,124.335567108597,107.910154537266,102.918590237481
1985,0.919,889.423183686617,"ND",2016,"North Dakota",834.352785457303,0,114.482986503,110.395456365059,105.403892065274
1986,0.919,934.235180221551,"ND",2016,"North Dakota",762.8445444478,0,104.671217269369,115.95753401138,110.965969711595
1987,0.919,902.074164298526,"ND",2016,"North Dakota",718.901063078454,0,98.641656306443,111.965699646022,106.974135346238
1988,0.919,921.323039991218,"ND",2016,"North Dakota",803.20892680777,0,110.209683876615,114.354875524934,109.363311225149
1989,0.919,903.036543427607,"ND",2016,"North Dakota",778.198712663912,0,106.7779892048,112.085150414902,107.093586115118
1990,0.919,943.927525022349,"ND",2016,"North Dakota",756.691124245876,0,103.826895857368,117.160550581171,112.168986281387
1991,0.919,955.321235790038,"ND",2016,"North Dakota",815.188802949395,0,111.853463369576,118.574741174537,113.583176874752
1992,0.919,971.826099530702,"ND",2016,"North Dakota",734.037021194522,0,100.718487257228,120.623329516187,115.631765216402
1993,0.919,960.757126108404,"ND",2016,"North Dakota",849.551997084522,0,116.56849657728,119.249445413703,114.257881113919
1994,0.919,954.880524692117,"ND",2016,"North Dakota",857.746648286519,0,117.692898819721,118.520039988788,113.528475689003
1995,0.919,923.937076728755,"ND",2016,"North Dakota",909.100530742186,0,124.739253712425,114.679330501922,109.687766202137
1996,0.919,925.465540713626,"ND",2016,"North Dakota",903.220380579752,0,123.932428154442,114.869043882731,109.877479582946
1997,0.919,955.137728749652,"ND",2016,"North Dakota",961.184917062567,0,131.885842301885,118.551964228937,113.560399929153
1998,0.919,968.476526725102,"ND",2016,"North Dakota",957.873315799866,0,131.431451773959,120.207579595019,115.216015295235
1999,0.919,1182.97828703738,"ND",2016,"North Dakota",959.47327809555,0,131.65098536346,146.831598571712,141.840034271927
2000,0.919,1210.70877724487,"ND",2016,"North Dakota",989.678019484299,0,135.795430088768,150.273514835906,145.281950536121
2001,0.919,1231.65646510192,"ND",2016,"North Dakota",972.772239641223,0,133.475758842586,152.873547759701,147.881983459916
2002,0.919,1161.27587221533,"ND",2016,"North Dakota",929.659656882334,0,127.560206912847,144.137888724198,139.146324424413
2003,0.919,1165.88149279073,"ND",2016,"North Dakota",954.326853216656,0,130.944835518672,144.709539648742,139.717975348957
2004,0.919,1247.92766589323,"ND",2016,"North Dakota",968.169465223257,0,132.84420421635,154.893133790187,149.901569490402
2005,0.919,1467.21191392282,"ND",2016,"North Dakota",1052.02454289584,0,144.35010422978,182.110756490952,177.119192191167
2006,0.919,1526.52455260817,"ND",2016,"North Dakota",1147.08152812613,0,157.393037323328,189.472657929978,184.481093630193
2007,0.919,1622.16398339651,"ND",2016,"North Dakota",1216.45788657627,0,166.912287269526,201.343451048513,196.351886748729
2008,0.919,1760.18907703781,"ND",2016,"North Dakota",1518.70530012307,0,208.384176821234,218.475164592569,213.483600292784
2009,0.919,1580.99395825928,"ND",2016,"North Dakota",1601.67402140013,0,219.76845834302,196.233415919064,191.241851619279
2010,0.919,1543.15966766653,"ND",2016,"North Dakota",1738.11140185342,0,238.489266923263,191.537413101908,186.545848802124
2011,0.919,1610.90290243204,"ND",2016,"North Dakota",1815.54615385138,0,249.114222963875,199.945722503723,194.954158203938
