"year","sum_weight","syn_state","State_Acronym","year_effective","State_Name","real_ci_cap","Post","real_ci_cap_76","syn_state_76","syn_state_76_shift"
1976,0.917,767.66819695699,"OR",2004,"Oregon",757.810195438262,0,100,100,95.4654495782314
1977,0.917,855.747559613771,"OR",2004,"Oregon",877.790450620471,0,115.832494192404,111.473624022191,106.939073600423
1978,0.917,894.535506638417,"OR",2004,"Oregon",1018.91454877368,0,134.455112230895,116.526320900661,111.991770478892
1979,0.917,912.82663811906,"OR",2004,"Oregon",1178.23755426672,0,155.479242871009,118.909008050284,114.374457628516
1980,0.917,852.371210138563,"OR",2004,"Oregon",1086.98134442391,0,143.437149693569,111.033805167041,106.499254745273
1981,0.917,803.320188523179,"OR",2004,"Oregon",854.930340812913,0,112.815893209049,104.644192856694,100.109642434926
1982,0.917,758.573986774901,"OR",2004,"Oregon",643.794259389023,0,84.9545523753081,98.8153462370673,94.2807958152987
1983,0.917,679.821206275975,"OR",2004,"Oregon",631.281944734615,0,83.3034377915076,88.5566458231256,84.022095401357
1984,0.917,714.339102741686,"OR",2004,"Oregon",693.307266808838,0,91.4882474506535,93.0531062213207,88.5185557995522
1985,0.917,793.48301318516,"OR",2004,"Oregon",713.185500497294,0,94.1113625536325,103.362757025822,98.8282066040532
1986,0.917,794.472741038446,"OR",2004,"Oregon",733.17435751553,0,96.7490754187486,103.491683540846,98.9571331190774
1987,0.917,809.188722840048,"OR",2004,"Oregon",673.430131332648,0,88.8652772668472,105.408655203856,100.874104782087
1988,0.917,834.747410021432,"OR",2004,"Oregon",780.465858464731,0,102.989622357003,108.738047678716,104.203497256948
1989,0.917,888.708592875388,"OR",2004,"Oregon",691.02174142961,0,91.1866514318897,115.767280238806,111.232729817037
1990,0.917,774.254733269744,"OR",2004,"Oregon",599.325224665799,0,79.0864557211708,100.857992598738,96.3234421769692
1991,0.917,695.333304176092,"OR",2004,"Oregon",568.178384600495,0,74.9763447391866,90.5773232410004,86.0427728192318
1992,0.917,659.719395875471,"OR",2004,"Oregon",552.548521459609,0,72.913841062808,85.938091286128,81.4035408643595
1993,0.917,747.421176557263,"OR",2004,"Oregon",708.470932701904,0,93.489232127865,97.3625297387615,92.827979316993
1994,0.917,807.162688514665,"OR",2004,"Oregon",873.236215180318,0,115.231521090225,105.144734628089,100.610184206321
1995,0.917,893.442801081538,"OR",2004,"Oregon",987.417774818417,0,130.298824265272,116.383980035009,111.849429613241
1996,0.917,890.984772974197,"OR",2004,"Oregon",908.10412859705,0,119.832661801531,116.063785956749,111.529235534981
1997,0.917,925.140673629045,"OR",2004,"Oregon",1117.92802385207,0,147.520847645173,120.513091111013,115.978540689244
1998,0.917,946.942894397234,"OR",2004,"Oregon",790.739352776551,0,104.345304079638,123.353148945193,118.818598523425
1999,0.917,870.418426697359,"OR",2004,"Oregon",889.62807331661,0,117.39457698931,113.384718833953,108.850168412184
2000,0.917,871.313414079101,"OR",2004,"Oregon",1044.35897689946,0,137.812737699508,113.501304018189,108.96675359642
2001,0.917,849.026023746383,"OR",2004,"Oregon",795.974801711815,0,105.036169545262,110.598045758818,106.063495337049
2002,0.917,649.259027269479,"OR",2004,"Oregon",470.456521793355,0,62.0810494006718,84.5754754258571,80.0409250040885
2003,0.917,639.018734642969,"OR",2004,"Oregon",523.455165871934,0,69.0747061761561,83.241527677715,78.7069772559465
2004,0.917,676.452297125674,"OR",2004,"Oregon",719.216111077737,1,94.9071568853458,88.1177961790143,83.5832457572457
2005,0.917,860.12702964467,"OR",2004,"Oregon",784.453354991674,1,103.515809065884,112.044113987551,107.509563565783
2006,0.917,1084.24203808277,"OR",2004,"Oregon",897.267368134186,1,118.402651948391,141.238368657274,136.703818235506
2007,0.917,1202.30894763225,"OR",2004,"Oregon",796.740326025378,1,105.137187493842,156.618308847255,152.083758425487
2008,0.917,1094.72246838855,"OR",2004,"Oregon",890.90241095008,1,117.562737518311,142.60359784709,138.069047425321
2009,0.917,888.735627204562,"OR",2004,"Oregon",377.618732444161,1,49.8302523134799,115.770801855213,111.236251433444
2010,0.917,781.819285140537,"OR",2004,"Oregon",534.862713849079,1,70.5800366726069,101.843386014901,97.3088355931323
2011,0.917,874.570441670193,"OR",2004,"Oregon",707.813394853082,1,93.4024639829152,113.925579454374,109.391029032605
2012,0.917,897.51339208421,"OR",2004,"Oregon",636.449812102004,1,83.985385249921,116.91423399353,112.379683571762
2013,0.917,962.713896377359,"OR",2004,"Oregon",661.737185531772,1,87.322285912117,125.407552402656,120.873001980887
2014,0.917,911.634976938394,"OR",2004,"Oregon",693.989184646375,1,91.5782327585369,118.753776768672,114.219226346903
2015,0.917,988.059180687141,"OR",2004,"Oregon",858.891148869106,1,113.338558129636,128.709146035198,124.174595613429
2016,0.917,883.577620467052,"OR",2004,"Oregon",848.971055171488,1,112.029510856674,115.098896107657,110.564345685889
2017,0.917,840.286858429392,"OR",2004,"Oregon",819.366314318562,1,108.122893997843,109.459641777562,104.925091355794
2018,0.917,952.745009975839,"OR",2004,"Oregon",1007.59161722722,1,132.960947647914,124.10895928117,119.574408859401
2019,0.917,1109.25667788622,"OR",2004,"Oregon",1111.98952538076,1,146.737208350393,144.496891011413,139.962340589645
2020,0.917,975.297671617089,"OR",2004,"Oregon",1068.86269528604,1,141.046227897196,127.046773004683,122.512222582914
2021,0.917,1365.57253653624,"OR",2004,"Oregon",1395.81630597161,1,184.190753090142,177.885776947557,173.351226525788
2022,0.917,1689.35753367434,"OR",2004,"Oregon",1579.12071044225,1,208.379449095298,220.063504046526,215.528953624758
