"year","sum_weight","syn_state","State_Acronym","year_effective","State_Name","real_NCI_cap","Post","real_NCI_cap_76","syn_state_76","syn_state_76_shift"
1976,0.923,597.052115896297,"OR",2004,"Oregon",560.989185322272,0,100,100,103.833389086726
1977,0.923,607.341259298981,"OR",2004,"Oregon",594.894863890733,0,106.043909482673,101.723324166976,105.556713253702
1978,0.923,630.260201442644,"OR",2004,"Oregon",629.38420864609,0,112.191861289541,105.562007848594,109.39539693532
1979,0.923,625.511293133947,"OR",2004,"Oregon",648.49706331276,0,115.598852933362,104.766615255174,108.600004341899
1980,0.923,589.618119478044,"OR",2004,"Oregon",587.184504101289,0,104.669487302856,98.7548831634083,102.588272250134
1981,0.923,590.95146136435,"OR",2004,"Oregon",599.093935860031,0,106.792421589352,98.978204017787,102.811593104513
1982,0.923,598.508782243282,"OR",2004,"Oregon",555.340792853621,0,98.9931370128987,100.243976414822,104.077365501548
1983,0.923,597.653030054015,"OR",2004,"Oregon",627.662833753393,0,111.885014929979,100.10064685171,103.934035938436
1984,0.923,642.474240037225,"OR",2004,"Oregon",615.9197576983,0,109.791734638248,107.607731876595,111.441120963321
1985,0.923,667.862073077844,"OR",2004,"Oregon",636.049385295967,0,113.37997272275,111.859929023993,115.693318110718
1986,0.923,686.246572816695,"OR",2004,"Oregon",601.676212621463,0,107.252729350891,114.939140913436,118.772530000162
1987,0.923,701.562508148384,"OR",2004,"Oregon",683.987670545189,0,121.925286340816,117.504400280903,121.337789367629
1988,0.923,745.043357130527,"OR",2004,"Oregon",599.427494068972,0,106.851880526827,124.786988822921,128.620377909647
1989,0.923,751.23020918984,"OR",2004,"Oregon",701.799519292041,0,125.100365150333,125.823221991616,129.656611078342
1990,0.923,761.214638786238,"OR",2004,"Oregon",706.108300596712,0,125.868433665272,127.495509775307,131.328898862032
1991,0.923,763.31156450625,"OR",2004,"Oregon",724.657952921144,0,129.175030799364,127.84672295489,131.680112041616
1992,0.923,792.503084024673,"OR",2004,"Oregon",759.779422146829,0,135.435662937131,132.735997901115,136.569386987841
1993,0.923,821.065956450966,"OR",2004,"Oregon",787.535129148042,0,140.38329967014,137.519981018471,141.353370105197
1994,0.923,837.812327205199,"OR",2004,"Oregon",825.270993345713,0,147.109964851037,140.3248233946,144.158212481325
1995,0.923,835.88281330257,"OR",2004,"Oregon",830.081618086737,0,147.967490248476,140.001649947717,143.835039034443
1996,0.923,841.92363773782,"OR",2004,"Oregon",807.999614125535,0,144.031228277843,141.013425012978,144.846814099703
1997,0.923,867.293389779948,"OR",2004,"Oregon",876.438147144735,0,156.230845455826,145.262593781778,149.095982868504
1998,0.923,899.951655070273,"OR",2004,"Oregon",882.264462599666,0,157.269424381654,150.732512474102,154.565901560827
1999,0.923,906.474804727467,"OR",2004,"Oregon",908.104619359162,0,161.875601726169,151.825071981642,155.658461068367
2000,0.923,921.17578915002,"OR",2004,"Oregon",937.797351885167,0,167.168525957667,154.28733348799,158.120722574716
2001,0.923,932.259318986542,"OR",2004,"Oregon",906.963397969986,0,161.672171531963,156.143709094311,159.977098181037
2002,0.923,882.927529908382,"OR",2004,"Oregon",785.904958515771,0,140.092711067913,147.881149132673,151.714538219399
2003,0.923,886.507147702872,"OR",2004,"Oregon",838.983580367941,0,149.554323384321,148.480697764892,152.314086851618
2004,0.923,920.150702408031,"OR",2004,"Oregon",857.667197767666,1,152.884800671329,154.115642154069,157.949031240794
2005,0.923,954.166729732419,"OR",2004,"Oregon",872.563613080554,1,155.54018435833,159.81297182073,163.646360907455
2006,0.923,994.534716385104,"OR",2004,"Oregon",966.428062468375,1,172.272137815489,166.574188400975,170.407577487701
2007,0.923,1011.90689482085,"OR",2004,"Oregon",950.619040399669,1,169.454075991423,169.483847034319,173.317236121045
2008,0.923,986.953676827295,"OR",2004,"Oregon",864.008310641498,1,154.015145611969,165.304443372699,169.137832459425
2009,0.923,924.013258206223,"OR",2004,"Oregon",840.951161903586,1,149.905057692063,154.762579949841,158.595969036567
2010,0.923,877.096759455392,"OR",2004,"Oregon",851.030162727131,1,151.701705664475,146.904555917818,150.737945004544
2011,0.923,897.430490071941,"OR",2004,"Oregon",866.564263719128,1,154.470761004299,150.310243641749,154.143632728475
2012,0.923,928.090476896518,"OR",2004,"Oregon",926.356743925758,1,165.129162586903,155.44547154033,159.278860627056
2013,0.923,949.019704807857,"OR",2004,"Oregon",951.82995506073,1,169.669929468236,158.950898847948,162.784287934674
2014,0.923,944.758814153372,"OR",2004,"Oregon",978.602013192992,1,174.442224341778,158.23724411982,162.070633206545
2015,0.923,998.051988882403,"OR",2004,"Oregon",1045.22216739405,1,186.317703574553,167.163294846401,170.996683933127
2016,0.923,979.067236722439,"OR",2004,"Oregon",1043.77219842711,1,186.059237100532,163.983546939225,167.816936025951
2017,0.923,972.972772699496,"OR",2004,"Oregon",1102.38074031552,1,196.506593916286,162.96278780268,166.796176889406
2018,0.923,1031.5517763257,"OR",2004,"Oregon",1127.34072076991,1,200.955874064183,172.774159719229,176.607548805955
2019,0.923,1082.30321622524,"OR",2004,"Oregon",1231.48841405529,1,219.520883160668,181.274496381357,185.107885468082
2020,0.923,1046.08876358469,"OR",2004,"Oregon",1122.93486193345,1,200.170500842785,175.208953411764,179.04234249849
2021,0.923,1113.94953326811,"OR",2004,"Oregon",1435.69513364275,1,255.922069659504,186.57492430051,190.408313387236
2022,0.923,1181.6794661584,"OR",2004,"Oregon",1402.19747576394,1,249.950892539652,197.918981391509,201.752370478235
