"State","Year","Revenue","GDPDEF","RealRev"
"AK",1950,0,13.079,0
"AK",1951,0,14.013,0
"AK",1952,0,14.255,0
"AK",1953,0,14.4295,0
"AK",1954,0,14.56225,0
"AK",1955,0,14.807,0
"AK",1956,0,15.3125,0
"AK",1957,1065,15.82125,6731.45295093624
"AK",1958,1125,16.1795,6953.24330170895
"AK",1959,1398,16.4025,8523.0909922268
"AK",1960,1692,16.62725,10176.066397029
"AK",1961,1450,16.803,8629.41141462834
"AK",1962,1816,17.00825,10677.1713727162
"AK",1963,2207,17.20275,12829.3441455581
"AK",1964,1764,17.4655,10099.9112536143
"AK",1965,1877,17.78375,10554.5793210093
"AK",1966,4105,18.28275,22452.8585688696
"AK",1967,3450,18.81325,18338.139343282
"AK",1968,3865,19.613,19706.3172385663
"AK",1969,4307,20.577,20931.136706031
"AK",1970,5301,21.66325,24470.0125789067
"AK",1971,6050,22.75975,26582.0143015631
"AK",1972,6455,23.74125,27188.9643552888
"AK",1973,6964,25.0445,27806.5044221286
"AK",1974,8241,27.30475,30181.5618161675
"AK",1975,17345,29.8215,58162.734939557
"AK",1976,31103,31.4675,98841.6620322555
"AK",1977,35772,33.4185,107042.506396158
"AK",1978,33504,35.76175,93686.6903884737
"AK",1979,256986,38.7415,663335.183201476
"AK",1980,565329,42.247,1338151.82143111
"AK",1981,894843,46.244,1935046.70876222
"AK",1982,703663,49.1005,1433107.60582886
"AK",1983,266302,51.012,522037.951854466
"AK",1984,304621,52.85775,576303.38029901
"AK",1985,204600,54.5315,375195.987640171
"AK",1986,177751,55.6325,319509.279647688
"AK",1987,141068,57.00375,247471.438282569
"AK",1988,181387,59.01325,307366.565983063
"AK",1989,459686,61.33125,749513.502496688
"AK",1990,185140,63.6315,290956.523105695
"AK",1991,253649,65.7795,385604.937708557
"AK",1992,200025,67.27675,297316.680725511
"AK",1993,872260,68.87275,1266480.57468302
"AK",1994,176070,70.3425,250303.870348651
"AK",1995,528005,71.81975,735180.78244494
"AK",1996,326270,73.133,446132.388935228
"AK",1997,331337,74.39475,445376.85791
"AK",1998,275758,75.23225,366542.274091231
"AK",1999,211811,76.29125,277634.722199466
"AK",2000,438438,78.02075,561950.506756215
"AK",2001,400442,79.782,501920.232633927
"AK",2002,269273,81.02425,332336.306722987
"AK",2003,207075,82.61875,250639.231409335
"AK",2004,339564,84.8365,400256.964867716
"AK",2005,588694,87.4985,672804.6766516
"AK",2006,821664,90.201,910925.599494462
"AK",2007,813762,92.638,878432.176860468
"AK",2008,1297513,94.4225,1374156.58344145
"AK",2009,632123,95.02275,665233.325703582
"AK",2010,643068,96.1615,668737.488495916
"AK",2011,720733,98.161,734235.592546938
"AK",2012,663144,99.9985,663153.94730921
"AK",2013,630941,101.7475,620104.670876434
"AK",2014,408938,103.6485,394543.095172627
"AK",2015,227852,104.6895,217645.513637948
"AK",2016,67457,105.73675,63797.1187879332
"AK",2017,87775,107.743,81467.009457691
"AK",2018,196321,110.33475,177932.156460227
"AK",2019,332520,112.31475,296060.846861165
"AK",2020,194663,113.7685,171104.479710992
"AK",2021,124987,118.8655,105149.938375727
"AL",1950,885,13.079,6766.57236791804
"AL",1951,903,14.013,6444.01627060587
"AL",1952,1093,14.255,7667.48509294984
"AL",1953,1076,14.4295,7456.9458401192
"AL",1954,1036,14.56225,7114.28522378066
"AL",1955,1098,14.807,7415.41162963463
"AL",1956,1131,15.3125,7386.12244897959
"AL",1957,1312,15.82125,8292.64438650549
"AL",1958,8936,16.1795,55230.3841280633
"AL",1959,7567,16.4025,46133.2114007011
"AL",1960,9447,16.62725,56816.3707167451
"AL",1961,9667,16.803,57531.3932035946
"AL",1962,9645,17.00825,56707.7741684183
"AL",1963,10239,17.20275,59519.5535597506
"AL",1964,15766,17.4655,90269.3882224958
"AL",1965,19294,17.78375,108492.303366838
"AL",1966,22890,18.28275,125199.98359109
"AL",1967,29949,18.81325,159190.995707812
"AL",1968,31442,19.613,160312.037934023
"AL",1969,29023,20.577,141045.827866064
"AL",1970,30797,21.66325,142162.417919749
"AL",1971,33764,22.75975,148349.608409583
"AL",1972,32908,23.74125,138611.067235297
"AL",1973,40939,25.0445,163465.032242608
"AL",1974,47255,27.30475,173065.126031185
"AL",1975,58158,29.8215,195020.371208692
"AL",1976,60307,31.4675,191648.52625725
"AL",1977,75874,33.4185,227041.907925251
"AL",1978,83161,35.76175,232541.752011577
"AL",1979,100610,38.7415,259695.675180362
"AL",1980,109238,42.247,258569.839278529
"AL",1981,99095,46.244,214287.258887639
"AL",1982,123218,49.1005,250950.601317706
"AL",1983,133717,51.012,262128.518779895
"AL",1984,223816,52.85775,423430.811943376
"AL",1985,199998,54.5315,366756.828621989
