State_Acronym,year,BUSLICTAX,CORPINCTX,CORPLICTAX,PROPTAX,SLGRTAX,SVRNCTAX,TLINCTAX,TLSLTAX,TOTLTAX,INCTAX,SALESTAX,state,sales,Log_CORPINCTX,group,type,year_pass_intro,year_effective,Post,treatment
AK,1976,4527,31103,667,306429,62944,27978,177357,62944,598806,NA,NA,Alaska,33.34,10.345059556537576,c,Never,NA,NA,NA,0
AK,1977,7547,35772,715,409767,65942,23758,246110,65942,773474,NA,NA,Alaska,33.34,10.484920743466072,c,Never,NA,NA,NA,0
AK,1978,10229,33504,797,173197,68609,107715,179332,68609,563485,NA,NA,Alaska,33.34,10.419420113670263,c,Never,NA,NA,NA,0
AK,1979,13658,256986,646,162151,74546,173685,373035,74546,816710,NA,NA,Alaska,33.34,12.456776887685384,c,Never,NA,NA,NA,0
AK,1980,17455,565329,671,169016,54422,506469,665810,54422,1437607,NA,NA,Alaska,33.34,13.24516314154216,c,Never,NA,NA,NA,0
AK,1981,24011,894843,857,143179,53310,1170180,902015,53310,2316823,NA,NA,Alaska,33.34,13.704403562874868,c,Never,NA,NA,NA,0
AK,1982,29438,703663,1055,142719,65216,1571553,705151,65216,2539193,NA,NA,Alaska,33.34,13.464054827348203,c,Never,NA,NA,NA,0
AK,1983,28041,266302,934,152580,74614,1494034,267842,74614,2046086,NA,NA,Alaska,33.34,12.49238628210052,c,Never,NA,NA,NA,0
AK,1984,26616,304621,960,131050,88255,1393039,305772,88255,1973252,NA,NA,Alaska,33.34,12.62682365994265,c,Never,NA,NA,NA,0
AK,1985,27709,204600,981,120548,112908,1389262,205868,112908,1885811,NA,NA,Alaska,33.34,12.228812132499662,c,Never,NA,NA,NA,0
AK,1986,31505,177751,946,113509,67254,1432911,178307,67254,1856488,NA,NA,Alaska,33.34,12.088138973528705,c,Never,NA,NA,NA,0
AK,1987,37630,141068,896,102491,81725,666870,141495,81725,1062391,NA,NA,Alaska,33.34,11.85699732260929,c,Never,NA,NA,NA,0
AK,1988,37772,181387,892,96225,81710,818655,181836,81710,1251021,NA,NA,Alaska,33.34,12.10838814926602,c,Never,NA,NA,NA,0
AK,1989,44982,459686,929,89713,80954,698850,459686,80954,1410330,NA,NA,Alaska,33.34,13.038298926686235,c,Never,NA,NA,NA,0
AK,1990,37795,185140,881,89841,90904,1103812,185140,90904,1546441,NA,NA,Alaska,33.34,12.128867574621202,c,Never,NA,NA,NA,0
AK,1991,41951,253649,912,85007,96674,1284746,253649,96674,1806131,NA,NA,Alaska,33.34,12.443706700546693,c,Never,NA,NA,NA,0
AK,1992,41568,200025,930,69048,101286,1150605,200025,101286,1602937,NA,NA,Alaska,33.34,12.206197637718324,c,Never,NA,NA,NA,0
AK,1993,23198,872260,962,66918,99239,1124980,872260,99239,2227283,NA,NA,Alaska,33.34,13.67884282358634,c,Never,NA,NA,NA,0
AK,1994,27641,176070,1001,61612,99654,827522,176070,99654,1240275,NA,NA,Alaska,33.34,12.07863692222049,c,Never,NA,NA,NA,0
AK,1995,28029,528005,1095,57294,101039,1159882,528005,101039,1922463,NA,NA,Alaska,33.34,13.17686103234053,c,Never,NA,NA,NA,0
AK,1996,27429,326270,1361,56168,99124,956961,326270,99124,1519082,NA,NA,Alaska,33.34,12.6954805384221,c,Never,NA,NA,NA,0
AK,1997,30519,331337,1188,53567,96014,1058602,331337,96014,1619110,NA,NA,Alaska,33.34,12.71089126330776,c,Never,NA,NA,NA,0
AK,1998,35594,275758,1395,48516,116803,645358,275758,116803,1186235,NA,NA,Alaska,33.34,12.527278948480953,c,Never,NA,NA,NA,0
AK,1999,30211,211811,1422,48704,132004,426022,211811,132004,905135,NA,NA,Alaska,33.34,12.263449646589306,c,Never,NA,NA,NA,0
AK,2000,33704,438438,1639,44608,137735,708390,438438,137735,1423287,NA,NA,Alaska,33.34,12.990973689691666,c,Never,NA,NA,NA,0
AK,2001,11881,400442,1278,45116,134637,772403,400442,134637,1428698,NA,NA,Alaska,33.34,12.900324216026991,c,Never,NA,NA,NA,0
AK,2002,11137,269273,1281,49652,142050,551293,269273,142050,1089504,NA,NA,Alaska,33.34,12.503481013840167,c,Never,NA,NA,NA,0
AK,2003,9053,207075,1290,48741,152132,640856,207075,152132,1120133,NA,NA,Alaska,33.34,12.240836325466464,c,Never,NA,NA,NA,0
AK,2004,9090,339564,1319,47368,172876,697394,339564,172876,1343191,NA,NA,Alaska,33.34,12.735417720733045,c,Never,NA,NA,NA,0
AK,2005,14849,588694,1019,42912,198797,925699,588694,198797,1858311,NA,NA,Alaska,33.34,13.285661803016053,c,Never,NA,NA,NA,0
AK,2006,37307,821664,1343,54507,208898,1274642,821664,208898,2484422,NA,NA,Alaska,33.34,13.619086831349446,c,Never,NA,NA,NA,0
AK,2007,38720,813762,1405,65780,235797,2436660,813762,235797,3688447,NA,NA,Alaska,33.34,13.609423218939966,c,Never,NA,NA,NA,0
AK,2008,40339,1297513,878,81518,277033,6939040,1297513,277033,8732385,NA,NA,Alaska,33.34,14.07595991323981,c,Never,NA,NA,NA,0
AK,2009,40005,632123,889,111251,250267,3829564,632123,250267,4955884,NA,NA,Alaska,33.34,13.356839274446095,c,Never,NA,NA,NA,0
AK,2010,43543,643068,228,118870,263005,3355049,643068,263005,4522927,NA,NA,Alaska,33.34,13.374005751904994,c,Never,NA,NA,NA,0
AK,2011,41889,720733,0,184254,256014,4238789,720733,256014,5537679,NA,NA,Alaska,33.34,13.488024028680686,c,Never,NA,NA,NA,0
AK,2012,38936,663144,0,215407,248432,5787360,663144,248432,7049398,NA,NA,Alaska,33.34,13.404747440154809,c,Never,NA,NA,NA,0
AK,2013,40522,630941,0,99598,249586,4016966,630941,249586,5132811,NA,NA,Alaska,33.34,13.354967634774551,c,Never,NA,NA,NA,0
AK,2014,43060,408938,0,128076,257696,2456212,408938,257696,3392869,NA,NA,Alaska,33.34,12.921318834292075,c,Never,NA,NA,NA,0
AK,2015,44663,227852,NA,127821,255971,635820,227852,255971,1363350,NA,NA,Alaska,33.34,12.336451574358135,c,Never,NA,NA,NA,0
AK,2016,46957,67457,NA,111736,260846,336801,67457,260846,896921,NA,NA,Alaska,33.34,11.119245636829277,c,Never,NA,NA,NA,0
AK,2017,50612,87775,NA,120805,263120,598175,87775,263120,1208929,NA,NA,Alaska,33.34,11.382532001036633,c,Never,NA,NA,NA,0
AK,2018,65553,196321,NA,122341,252970,931084,196321,252970,1656352,NA,NA,Alaska,33.34,12.187506353656296,c,Never,NA,NA,NA,0
AK,2019,68759,332520,NA,121501,278823,888310,332520,278823,1780911,NA,NA,Alaska,33.34,12.714455287645025,c,Never,NA,NA,NA,0
AL,1976,14126,60307,31480,31381,815242,11570,284904,418220,1243258,224597,NA,Alabama,33.34,11.00720346221328,t,Step-wise,2021,2021,0,0
AL,1977,15413,75874,36671,34095,908556,13757,337769,453802,1403674,261895,NA,Alabama,33.34,11.236829348703283,t,Step-wise,2021,2021,0,0
AL,1978,16276,83161,38504,53877,996419,17056,401119,500834,1588761,317958,NA,Alabama,33.34,11.328533766911674,t,Step-wise,2021,2021,0,0
AL,1979,16747,100610,40929,43417,1095639,22281,463539,548337,1747350,362929,NA,Alabama,33.34,11.519006935286097,t,Step-wise,2021,2021,0,0
AL,1980,17543,109238,45087,44287,1146256,32410,505808,569167,1856789,396570,NA,Alabama,33.34,11.601284267108069,t,Step-wise,2021,2021,0,0
AL,1981,17575,99095,50731,46192,1284001,60669,614965,688828,2148415,515870,NA,Alabama,33.34,11.503834264958448,t,Step-wise,2021,2021,0,0
AL,1982,12803,123218,54950,45681,1341497,63470,604187,712044,2192251,480969,NA,Alabama,33.34,11.721710423305526,t,Step-wise,2021,2021,0,0
AL,1983,11659,133717,54595,53285,1385526,77144,690107,725873,2341219,556390,NA,Alabama,33.34,11.80348090534369,t,Step-wise,2021,2021,0,0
AL,1984,34241,223816,65029,57768,1512535,119525,846989,777217,2704250,623173,NA,Alabama,33.34,12.318579564708434,t,Step-wise,2021,2021,0,0
AL,1985,64934,199998,73681,61471,1611306,89634,911677,792379,2941336,711679,NA,Alabama,33.34,12.206062645480174,t,Step-wise,2021,2021,0,0
AL,1986,62893,156745,74617,63360,1661142,75072,914034,822795,2997093,757289,NA,Alabama,33.34,11.962375560059783,t,Step-wise,2021,2021,0,0
AL,1987,63598,162699,89484,68640,1745095,53627,1051777,859257,3231020,889078,NA,Alabama,33.34,11.99965714690674,t,Step-wise,2021,2021,0,0
AL,1988,65250,177657,82311,72965,1825240,60603,1107116,897490,3374056,929459,NA,Alabama,33.34,12.087610003994019,t,Step-wise,2021,2021,0,0
AL,1989,72547,215817,76149,85964,1916314,61734,1279138,934144,3662563,1063321,NA,Alabama,33.34,12.282186105348496,t,Step-wise,2021,2021,0,0
AL,1990,82656,179833,101294,90543,2002759,59213,1301291,964938,3819513,1121458,NA,Alabama,33.34,12.09978392144238,t,Step-wise,2021,2021,0,0
AL,1991,103499,168253,108626,94215,2022653,71731,1342483,973127,3942565,1174230,NA,Alabama,33.34,12.033224077957223,t,Step-wise,2021,2021,0,0
AL,1992,91283,164779,121586,98027,2218884,61864,1398603,1103368,4217916,1233824,NA,Alabama,33.34,12.01236046115351,t,Step-wise,2021,2021,0,0
AL,1993,89528,189506,104240,101135,2514799,73167,1522384,1324610,4639784,1332878,NA,Alabama,33.34,12.152175965272509,t,Step-wise,2021,2021,0,0
AL,1994,92241,218131,94207,112596,2559992,70892,1585753,1280747,4767108,1367622,NA,Alabama,33.34,12.292851078723837,t,Step-wise,2021,2021,0,0
AL,1995,128876,236279,125569,118202,2645405,63326,1718941,1280494,5077827,1482662,NA,Alabama,33.34,12.372768589145414,t,Step-wise,2021,2021,0,0
AL,1996,95538,217616,111172,134252,2773974,78557,1795530,1334829,5257771,1577914,NA,Alabama,33.34,12.290487320672534,t,Step-wise,2021,2021,0,0
AL,1997,99876,226616,109504,131229,2866477,80238,1914215,1360764,5484161,1687599,NA,Alabama,33.34,12.331012234085993,t,Step-wise,2021,2021,0,0
AL,1998,94337,243803,119034,139818,2993580,68999,2037364,1422930,5734128,1793561,NA,Alabama,33.34,12.40411580112177,t,Step-wise,2021,2021,0,0
AL,1999,101908,233024,122617,164495,3129368,50381,2140483,1480248,6032234,1907459,NA,Alabama,33.34,12.358896731535106,t,Step-wise,2021,2021,0,0
AL,2000,129486,243099,179169,179828,3228445,80738,2314532,1526560,6438438,2071433,NA,Alabama,33.34,12.401224046762229,t,Step-wise,2021,2021,0,0
AL,2001,117483,201533,81912,183163,3297746,118310,2639173,1585107,6747707,2437640,NA,Alabama,33.34,12.21370841867191,t,Step-wise,2021,2021,0,0
