"State","Year","Revenue"
"AK","1950",0
"AK","1951",0
"AK","1952",0
"AK","1953",0
"AK","1954",0
"AK","1955",0
"AK","1956",0
"AK","1957",1065
"AK","1958",1125
"AK","1959",1398
"AK","1960",1692
"AK","1961",1450
"AK","1962",1816
"AK","1963",2207
"AK","1964",1764
"AK","1965",1877
"AK","1966",4105
"AK","1967",3450
"AK","1968",3865
"AK","1969",4307
"AK","1970",5301
"AK","1971",6050
"AK","1972",6455
"AK","1973",6964
"AK","1974",8241
"AK","1975",17345
"AK","1976",31103
"AK","1977",35772
"AK","1978",33504
"AK","1979",256986
"AK","1980",565329
"AK","1981",894843
"AK","1982",703663
"AK","1983",266302
"AK","1984",304621
"AK","1985",204600
"AK","1986",177751
"AK","1987",141068
"AK","1988",181387
"AK","1989",459686
"AK","1990",185140
"AK","1991",253649
"AK","1992",200025
"AK","1993",872260
"AK","1994",176070
"AK","1995",528005
"AK","1996",326270
"AK","1997",331337
"AK","1998",275758
"AK","1999",211811
"AK","2000",438438
"AK","2001",400442
"AK","2002",269273
"AK","2003",207075
"AK","2004",339564
"AK","2005",588694
"AK","2006",821664
"AK","2007",813762
"AK","2008",1297513
"AK","2009",632123
"AK","2010",643068
"AK","2011",720733
"AK","2012",663144
"AK","2013",630941
"AK","2014",408938
"AK","2015",227852
"AK","2016",67457
"AK","2017",87775
"AK","2018",196321
"AK","2019",332520
"AK","2020",194663
"AK","2021",124987
"AL","1950",885
"AL","1951",903
"AL","1952",1093
"AL","1953",1076
"AL","1954",1036
"AL","1955",1098
"AL","1956",1131
"AL","1957",1312
"AL","1958",8936
"AL","1959",7567
"AL","1960",9447
"AL","1961",9667
"AL","1962",9645
"AL","1963",10239
"AL","1964",15766
"AL","1965",19294
"AL","1966",22890
"AL","1967",29949
"AL","1968",31442
"AL","1969",29023
"AL","1970",30797
"AL","1971",33764
"AL","1972",32908
"AL","1973",40939
"AL","1974",47255
"AL","1975",58158
"AL","1976",60307
"AL","1977",75874
"AL","1978",83161
"AL","1979",100610
"AL","1980",109238
"AL","1981",99095
"AL","1982",123218
"AL","1983",133717
"AL","1984",223816
"AL","1985",199998
