"","year","State_Acronym","SVRNCTAX","state","sales","year_effective","post_eff","rel_year","population","Sev_cap"
"1",1976,"AK",27978,"Alaska",33.34,NA,NA,NA,400.969,69.7759677182027
"2",1976,"AL",11570,"Alabama",33.34,2021,0,-45,3735.139,3.09760895109928
"3",1976,"AR",8870,"Arkansas",33.34,2021,0,-45,2170.161,4.08725435578282
"4",1976,"AZ",0,"Arizona",33.34,2007,0,-31,2346.157,0
"5",1976,"CA",2334,"California",33.34,2011,0,-35,21935.909,0.106400879033552
"6",1976,"CO",4375,"Colorado",33.34,2009,0,-33,2632.306,1.66204081136464
"7",1976,"CT",NA,"Connecticut",33.34,2016,0,-40,3083.335,0
"8",1976,"DE",NA,"Delaware",33.34,2017,0,-41,590.166,0
"9",1976,"FL",47377,"Florida",50,NA,NA,NA,8667.379,5.46612764943128
"10",1976,"GA",NA,"Georgia",33.34,2006,0,-30,5132.812,0
"11",1976,"HI",NA,"Hawaii",33.34,NA,NA,NA,904.191,0
"12",1976,"IA",NA,"Iowa",100,1978,0,-2,2903.082,0
"13",1976,"ID",394,"Idaho",33.34,2022,0,-46,856.983,0.459752410491223
"14",1976,"IL",0,"Illinois",33.34,1999,0,-23,11342.853,0
"15",1976,"IN",508,"Indiana",33.34,2007,0,-31,5389.088,0.0942645583074539
"16",1976,"KS",785,"Kansas",33.34,NA,NA,NA,2301.001,0.341155870857944
"17",1976,"KY",91496,"Kentucky",33.34,2018,0,-42,3529.257,25.9250034780692
"18",1976,"LA",558495,"Louisiana",33.34,2016,0,-40,3950.605,141.369486445747
"19",1976,"MA",NA,"Massachusetts",50,2025,0,-49,5743.672,0
"20",1976,"MD",NA,"Maryland",33.34,2018,0,-42,4150.539,0
"21",1976,"ME",NA,"Maine",33.34,2007,0,-31,1088.412,0
"22",1976,"MI",7065,"Michigan",33.34,1991,0,-15,9129.205,0.773889949891584
"23",1976,"MN",58171,"Minnesota",33.34,2007,0,-31,3964.68,14.6723064660956
"24",1976,"MO",0,"Missouri",33.34,2020,0,-44,4839.029,0
"25",1976,"MS",23601,"Mississippi",33.34,NA,NA,NA,2429.756,9.71332100836463
"26",1976,"MT",31344,"Montana",33.34,2025,0,-49,757.317,41.388216559248
"27",1976,"NC",0,"North Carolina",33.34,2016,0,-40,5607.964,0
"28",1976,"ND",12594,"North Dakota",33.34,2016,0,-40,645.797,19.5014842125312
"29",1976,"NE",1113,"Nebraska",33.34,1988,0,-12,1550.911,0.717642727403442
"30",1976,"NH",103,"New Hampshire",33.34,2022,0,-46,845.248,0.121857726962974
"31",1976,"NJ",NA,"New Jersey",33.34,2012,0,-36,7339.745,0
"32",1976,"NM",87485,"New Mexico",33.34,NA,NA,NA,1189.295,73.5603866156
"33",1976,"NV",148,"Nevada",NA,NA,NA,NA,646.975,0.228756907144789
"34",1976,"NY",NA,"New York",50,2015,0,-39,17940.541,0
"35",1976,"OH",3930,"Ohio",33.34,NA,NA,NA,10752.662,0.365490889604825
"36",1976,"OK",151316,"Oklahoma",33.34,NA,NA,NA,2826.815,53.5287947743308
"37",1976,"OR",3458,"Oregon",33.34,2004,0,-28,2378.262,1.45400296519055
"38",1976,"PA",NA,"Pennsylvania",33.34,2007,0,-31,11897.378,0
"39",1976,"RI",NA,"Rhode Island",33.34,2015,0,-39,946.089,0
"40",1976,"SC",NA,"South Carolina",33.34,2007,0,-31,2943.657,0
"41",1976,"SD",310,"South Dakota",NA,NA,NA,NA,686.39,0.451638281443494
"42",1976,"TN",1818,"Tennessee",33.34,2024,0,-48,4346.928,0.418226388842879
"43",1976,"UT",11723,"Utah",33.34,2011,0,-35,1274.928,9.19502905262101
"44",1976,"VA",707,"Virginia",33.34,NA,NA,NA,5121.863,0.138035710834124
"45",1976,"VT",NA,"Vermont",33.34,2023,0,-47,484.928,0
"46",1976,"WA",37477,"Washington",NA,NA,NA,NA,3693.61,10.1464420986515
"47",1976,"WI",478,"Wisconsin",50,2006,0,-30,4595.904,0.10400565372993
"48",1976,"WV",0,"West Virginia",33.34,2022,0,-46,1879.503,0
"49",1976,"WY",40974,"Wyoming",NA,NA,NA,NA,396.952,103.221548197263
"50",1977,"AK",23758,"Alaska",33.34,NA,NA,NA,403.436,58.8891422679186
"51",1977,"AL",13757,"Alabama",33.34,2021,0,-44,3780.403,3.63903001875726
"52",1977,"AR",10495,"Arkansas",33.34,2021,0,-44,2209.01,4.75099705297848
"53",1977,"AZ",0,"Arizona",33.34,2007,0,-30,2425.197,0
"54",1977,"CA",1530,"California",33.34,2011,0,-34,22352.396,0.0684490378570601
"55",1977,"CO",2320,"Colorado",33.34,2009,0,-32,2696.14,0.860489440459323
"56",1977,"CT",NA,"Connecticut",33.34,2016,0,-39,3085.722,0
"57",1977,"DE",NA,"Delaware",33.34,2017,0,-40,591.829,0
"58",1977,"FL",47076,"Florida",50,NA,NA,NA,8856.183,5.31560831568182
"59",1977,"GA",NA,"Georgia",33.34,2006,0,-29,5219.697,0
"60",1977,"HI",NA,"Hawaii",33.34,NA,NA,NA,918.259,0
"61",1977,"IA",NA,"Iowa",100,1978,0,-1,2913.573,0
"62",1977,"ID",203,"Idaho",33.34,2022,0,-45,883.469,0.22977603062473
"63",1977,"IL",0,"Illinois",33.34,1999,0,-22,11386.316,0
"64",1977,"IN",580,"Indiana",33.34,2007,0,-30,5425.638,0.106899870577433
"65",1977,"KS",816,"Kansas",33.34,NA,NA,NA,2320.647,0.351626076693267
"66",1977,"KY",113005,"Kentucky",33.34,2018,0,-41,3573.693,31.6213507987396
"67",1977,"LA",495498,"Louisiana",33.34,2016,0,-39,4014.459,123.428337417321
"68",1977,"MA",NA,"Massachusetts",50,2025,0,-48,5738.199,0
"69",1977,"MD",NA,"Maryland",33.34,2018,0,-41,4169.595,0
"70",1977,"ME",NA,"Maine",33.34,2007,0,-30,1103.578,0
"71",1977,"MI",9574,"Michigan",33.34,1991,0,-14,9171.11,1.04393034212871
"72",1977,"MN",59718,"Minnesota",33.34,2007,0,-30,3989.364,14.9693033776813
"73",1977,"MO",0,"Missouri",33.34,2020,0,-43,4863.173,0
"74",1977,"MS",25358,"Mississippi",33.34,NA,NA,NA,2459.201,10.311479216217
"75",1977,"MT",43543,"Montana",33.34,2025,0,-48,769.953,56.5528025736636
"76",1977,"NC",0,"North Carolina",33.34,2016,0,-39,5685.607,0
"77",1977,"ND",15418,"North Dakota",33.34,2016,0,-39,649.769,23.7284327199359
"78",1977,"NE",1131,"Nebraska",33.34,1988,0,-11,1556.842,0.726470637354336
"79",1977,"NH",144,"New Hampshire",33.34,2022,0,-45,869.763,0.16556234284512
"80",1977,"NJ",NA,"New Jersey",33.34,2012,0,-35,7337.169,0
"81",1977,"NM",102783,"New Mexico",33.34,NA,NA,NA,1215.72,84.544961010759
"82",1977,"NV",105,"Nevada",NA,NA,NA,NA,678.333,0.154791230855642
"83",1977,"NY",NA,"New York",50,2015,0,-38,17812.602,0
"84",1977,"OH",3918,"Ohio",33.34,NA,NA,NA,10771.394,0.363741220495694
"85",1977,"OK",191351,"Oklahoma",33.34,NA,NA,NA,2870.014,66.6724970679585
"86",1977,"OR",3680,"Oregon",33.34,2004,0,-27,2446.673,1.50408330005685
"87",1977,"PA",NA,"Pennsylvania",33.34,2007,0,-30,11893.591,0
"88",1977,"RI",NA,"Rhode Island",33.34,2015,0,-38,950.23,0
"89",1977,"SC",NA,"South Carolina",33.34,2007,0,-30,2991.681,0
"90",1977,"SD",536,"South Dakota",NA,NA,NA,NA,688.48,0.778526609342319
"91",1977,"TN",2052,"Tennessee",33.34,2024,0,-47,4422.921,0.463946789915533
"92",1977,"UT",8931,"Utah",33.34,2011,0,-34,1319.512,6.76841135207562
"93",1977,"VA",705,"Virginia",33.34,NA,NA,NA,5193.112,0.135756748554624
"94",1977,"VT",NA,"Vermont",33.34,2023,0,-46,491.931,0
"95",1977,"WA",35265,"Washington",NA,NA,NA,NA,3776.05,9.33912421710517
"96",1977,"WI",698,"Wisconsin",50,2006,0,-29,4626.514,0.15086953157388
"97",1977,"WV",0,"West Virginia",33.34,2022,0,-45,1908.088,0
"98",1977,"WY",46969,"Wyoming",NA,NA,NA,NA,413.354,113.628995969556
"99",1978,"AK",107715,"Alaska",33.34,NA,NA,NA,404.766,266.116719289664
"100",1978,"AL",17056,"Alabama",33.34,2021,0,-43,3831.836,4.4511299544135
"101",1978,"AR",12391,"Arkansas",33.34,2021,0,-43,2243.127,5.52398504409247
"102",1978,"AZ",0,"Arizona",33.34,2007,0,-29,2515.316,0
"103",1978,"CA",31235,"California",33.34,2011,0,-33,22835.958,1.3677989773847
"104",1978,"CO",1838,"Colorado",33.34,2009,0,-31,2766.748,0.664317820054447
"105",1978,"CT",NA,"Connecticut",33.34,2016,0,-38,3091.627,0
"106",1978,"DE",NA,"Delaware",33.34,2017,0,-39,594.776,0
"107",1978,"FL",94804,"Florida",50,NA,NA,NA,9102.032,10.4156961874008
"108",1978,"GA",NA,"Georgia",33.34,2006,0,-28,5295.751,0
"109",1978,"HI",NA,"Hawaii",33.34,NA,NA,NA,931.584,0
"110",1978,"IA",NA,"Iowa",100,1978,1,0,2918.069,0
"111",1978,"ID",273,"Idaho",33.34,2022,0,-44,910.69,0.299772699821015
"112",1978,"IL",0,"Illinois",33.34,1999,0,-21,11412.561,0
"113",1978,"IN",649,"Indiana",33.34,2007,0,-29,5470.214,0.118642524771426
"114",1978,"KS",841,"Kansas",33.34,NA,NA,NA,2335.657,0.36006999315396
"115",1978,"KY",128160,"Kentucky",33.34,2018,0,-40,3609.976,35.5016210634087
"116",1978,"LA",476829,"Louisiana",33.34,2016,0,-38,4068.579,117.19792094488
"117",1978,"MA",NA,"Massachusetts",50,2025,0,-47,5736.469,0
"118",1978,"MD",NA,"Maryland",33.34,2018,0,-40,4183.603,0
"119",1978,"ME",NA,"Maine",33.34,2007,0,-29,1113.566,0
"120",1978,"MI",11718,"Michigan",33.34,1991,0,-13,9217.761,1.27124146525387
"121",1978,"MN",61945,"Minnesota",33.34,2007,0,-29,4015.341,15.4270832788548
"122",1978,"MO",36,"Missouri",33.34,2020,0,-42,4889.399,0.0073628681152837
"123",1978,"MS",27559,"Mississippi",33.34,NA,NA,NA,2487.816,11.0775877315686
"124",1978,"MT",44667,"Montana",33.34,2025,0,-47,782.317,57.095780866324
"125",1978,"NC",0,"North Carolina",33.34,2016,0,-38,5759.492,0
"126",1978,"ND",18619,"North Dakota",33.34,2016,0,-38,651.301,28.5873966107836
"127",1978,"NE",1243,"Nebraska",33.34,1988,0,-10,1563.884,0.794815983794194
"128",1978,"NH",174,"New Hampshire",33.34,2022,0,-44,891.52,0.195172290021536
"129",1978,"NJ",NA,"New Jersey",33.34,2012,0,-34,7350.804,0
"130",1978,"NM",145826,"New Mexico",33.34,NA,NA,NA,1238.034,117.788364455257
"131",1978,"NV",129,"Nevada",NA,NA,NA,NA,719.436,0.179307123913732
"132",1978,"NY",NA,"New York",50,2015,0,-37,17680.589,0
"133",1978,"OH",3800,"Ohio",33.34,NA,NA,NA,10795.581,0.351995876831455
"134",1978,"OK",230368,"Oklahoma",33.34,NA,NA,NA,2917.336,78.9651929020175
