"State_Acronym","year","year_effective","State_Name","nat_share","Post"
"AL",1976,2021,"Alabama",0.00829458163988089,0
"AL",2022,2021,"Alabama",0.0110590297696111,1
"AK",1976,NA,"Alaska",0.00427788437072339,0
"AK",2022,NA,"Alaska",0.00312193114942497,0
"AZ",1976,2007,"Arizona",0.00639543919732073,0
"AZ",2022,2007,"Arizona",0.00879111783745463,1
"AR",1976,2021,"Arkansas",0.00772929517993577,0
"AR",2022,2021,"Arkansas",0.00624652955048846,1
"CA",1976,2011,"California",0.17660979417246,0
"CA",2022,2011,"California",0.347615440766582,1
"CO",1976,2009,"Colorado",0.00957232159435539,0
"CO",2022,2009,"Colorado",0.0113980049622668,1
"CT",1976,2016,"Connecticut",0.0197623321161107,0
"CT",2022,2016,"Connecticut",0.0263512674598443,1
"DE",1976,2017,"Delaware",0.00314428558657066,0
"DE",2022,2017,"Delaware",0.00376955193678435,1
"FL",1976,NA,"Florida",0.0248588503091195,0
"FL",2022,NA,"Florida",0.0285673228820994,0
"GA",1976,2006,"Georgia",0.0182571021848115,0
"GA",2022,2006,"Georgia",0.0189630484247167,1
"HI",1976,NA,"Hawaii",0.00486256386980531,0
"HI",2022,NA,"Hawaii",0.00237916579370216,0
"ID",1976,2022,"Idaho",0.00436714736646655,0
"ID",2022,2022,"Idaho",0.00786539262004567,1
"IL",1976,1999,"Illinois",0.0429302744596425,0
"IL",2022,1999,"Illinois",0.0727614761939706,1
"IN",1976,2007,"Indiana",0.0117578208275739,0
"IN",2022,2007,"Indiana",0.0116327155505032,1
"IA",1976,1978,"Iowa",0.0107048200642308,0
"IA",2022,1978,"Iowa",0.00649935931557809,1
"KS",1976,NA,"Kansas",0.0127702475019427,0
"KS",2022,NA,"Kansas",0.00656054742823748,0
"KY",1976,2018,"Kentucky",0.0185382324826529,0
"KY",2022,2018,"Kentucky",0.0088281495662943,1
"LA",1976,2016,"Louisiana",0.0120678343751934,0
"LA",2022,2016,"Louisiana",0.00785765532350785,1
"ME",1976,2007,"Maine",0.00448955732981233,0
"ME",2022,2007,"Maine",0.00314190153492247,1
"MD",1976,2018,"Maryland",0.0150267170060449,0
"MD",2022,2018,"Maryland",0.0161844144734353,1
"MA",1976,2025,"Massachusetts",0.044717047306637,0
"MA",2022,2025,"Massachusetts",0.0347650031922393,0
"MI",1976,1991,"Michigan",0.0460046900896068,0
"MI",2022,1991,"Michigan",0.0135576551905231,1
"MN",1976,2007,"Minnesota",0.0270176669211143,0
"MN",2022,2007,"Minnesota",0.0357385273724395,1
"MS",1976,NA,"Mississippi",0.00565671569942165,0
"MS",2022,NA,"Mississippi",0.00537015982232266,0
"MO",1976,2020,"Missouri",0.0115092873401965,0
"MO",2022,2020,"Missouri",0.00568184291039376,1
"MT",1976,2025,"Montana",0.00316615433283132,0
"MT",2022,2025,"Montana",0.00220027859103346,0
"NE",1976,1988,"Nebraska",0.00392179516274336,0
"NE",2022,1988,"Nebraska",0.00540366292080768,1
"NH",1976,2022,"New Hampshire",0.00332102356735643,0
"NH",2022,2022,"New Hampshire",0.00916537177770312,1
"NJ",1976,2012,"New Jersey",0.031491819851045,0
"NJ",2022,2012,"New Jersey",0.065435684447901,1
"NM",1976,NA,"New Mexico",0.00323272334660587,0
"NM",2022,NA,"New Mexico",0.00234295766381035,0
"NY",1976,2015,"New York",0.155798449932262,0
"NY",2022,2015,"New York",0.0587917041794579,1
"NC",1976,2016,"North Carolina",0.0215470418738352,0
"NC",2022,2016,"North Carolina",0.0123246595619747,1
"ND",1976,2016,"North Dakota",0.00269191887932991,0
"ND",2022,2016,"North Dakota",0.00173183213258148,1
"OH",1976,NA,"Ohio",0.0364550624772201,0
"OK",1976,NA,"Oklahoma",0.00734872397928658,0
"OK",2022,NA,"Oklahoma",0.00613311468619883,0
"OR",1976,2004,"Oregon",0.00916795609746034,0
"OR",2022,2004,"Oregon",0.0112506185303658,1
"PA",1976,2007,"Pennsylvania",0.0848441336056611,0
"PA",2022,2007,"Pennsylvania",0.0378336195327084,1
"RI",1976,2015,"Rhode Island",0.0049211556050697,0
"RI",2022,2015,"Rhode Island",0.00219727132148068,1
"SC",1976,2007,"South Carolina",0.010966282244366,0
"SC",2022,2007,"South Carolina",0.00909869804269368,1
"TN",1976,2024,"Tennessee",0.0176904403320198,0
"TN",2022,2024,"Tennessee",0.0226625491152099,0
"UT",1976,2011,"Utah",0.00336985001341008,0
"UT",2022,2011,"Utah",0.00706845107665086,1
"VT",1976,2023,"Vermont",0.00182789709310722,0
"VT",2022,2023,"Vermont",0.00181646636941747,0
"VA",1976,NA,"Virginia",0.0179374608872659,0
"VA",2022,NA,"Virginia",0.0149509428198069,0
"WV",1976,2022,"West Virginia",0.00278750868216734,0
"WV",2022,2022,"West Virginia",0.00276786671732984,1
"WI",1976,2006,"Wisconsin",0.0261900930453261,0
"WI",2022,2006,"Wisconsin",0.0221170394854795,1
