"year","sum_weight","syn_state","State_Acronym","year_effective","State_Name","real_NCI_cap","Post","real_NCI_cap_76","syn_state_76","syn_state_76_shift"
1976,0.953,610.395362083433,"UT",2011,"Utah",620.416164870523,0,100,100,97.5345436775733
1977,0.953,620.850009265771,"UT",2011,"Utah",633.309940346583,0,102.078246216997,101.712766484112,99.2473101616851
1978,0.953,645.475412515278,"UT",2011,"Utah",646.592999420872,0,104.219237994196,105.747103043527,103.2816467211
1979,0.953,639.852120382059,"UT",2011,"Utah",642.069276116399,0,103.490094628723,104.825848970753,102.360392648326
1980,0.953,603.396232743263,"UT",2011,"Utah",614.279521155722,0,99.0108826845152,98.853344934293,96.3878886118663
1981,0.953,606.429668631646,"UT",2011,"Utah",586.892155510848,0,94.596528708005,99.3503074076038,96.884851085177
1982,0.953,615.074766076882,"UT",2011,"Utah",605.127897594066,0,97.5358044902573,100.766618536792,98.3011622143652
1983,0.953,613.438237109599,"UT",2011,"Utah",593.307199479,0,95.630519169793,100.498508870674,98.0330525482469
1984,0.953,659.435945653753,"UT",2011,"Utah",683.224304196862,0,110.123549785239,108.034232665683,105.568776343256
1985,0.953,686.483066367893,"UT",2011,"Utah",719.271831541816,0,115.933767085505,112.46531494354,109.999858621113
1986,0.953,705.651410375403,"UT",2011,"Utah",712.433018999689,0,114.831472701613,115.605631072759,113.140174750332
1987,0.953,720.198988442087,"UT",2011,"Utah",722.553007014082,0,116.462633942633,117.988935234348,115.523478911922
1988,0.953,764.311310176026,"UT",2011,"Utah",765.778967109675,0,123.429886335971,125.215779419955,122.750323097528
1989,0.953,770.496370194747,"UT",2011,"Utah",723.952505081901,0,116.688208024526,126.229066938656,123.763610616229
1990,0.953,779.465380888128,"UT",2011,"Utah",740.385481512693,0,119.33691019595,127.698444206328,125.232987883902
1991,0.953,781.863942441251,"UT",2011,"Utah",736.871655650345,0,118.770544253006,128.091396332461,125.625940010034
1992,0.953,810.309415322701,"UT",2011,"Utah",747.944377350649,0,120.555269140471,132.751568189658,130.286111867232
1993,0.953,840.313331896349,"UT",2011,"Utah",784.859540232937,0,126.50533378619,137.667057139515,135.201600817088
1994,0.953,856.148206765202,"UT",2011,"Utah",800.686523183792,0,129.056360636717,140.261256875045,137.795800552618
1995,0.953,855.160486733299,"UT",2011,"Utah",839.183761229128,0,135.261427529739,140.099440437165,137.633984114739
1996,0.953,861.046946250904,"UT",2011,"Utah",859.886582834751,0,138.598352448506,141.063808760266,138.598352437839
1997,0.953,888.087227913163,"UT",2011,"Utah",889.664447258242,0,143.398012113999,145.493770608266,143.028314285839
1998,0.953,922.264001929906,"UT",2011,"Utah",967.708010925945,0,155.977240072057,151.092891463328,148.627435140901
1999,0.953,929.374499469004,"UT",2011,"Utah",978.957350445282,0,157.790432596092,152.257791785445,149.792335463018
2000,0.953,945.944750729563,"UT",2011,"Utah",984.441412880414,0,158.674365469807,154.972466943526,152.507010621099
2001,0.953,957.296000589046,"UT",2011,"Utah",966.807611054033,0,155.832111701313,156.832122269336,154.366665946909
2002,0.953,906.345993320627,"UT",2011,"Utah",912.023175358618,0,147.0018395715,148.48507207313,146.019615750703
2003,0.953,909.313669281022,"UT",2011,"Utah",876.56043585237,0,141.285879621673,148.971261212947,146.50580489052
2004,0.953,944.452543995685,"UT",2011,"Utah",892.953033905934,0,143.928073520181,154.728001335402,152.262545012975
2005,0.953,978.055445810895,"UT",2011,"Utah",940.532363591056,0,151.597011304072,160.233105715703,157.767649393276
2006,0.953,1019.62185760057,"UT",2011,"Utah",1004.3398263813,0,161.881634175489,167.042857947077,164.57740162465
2007,0.953,1035.72237492859,"UT",2011,"Utah",1053.92976316678,0,169.874645897843,169.680577420085,167.215121097658
2008,0.953,1008.86179487209,"UT",2011,"Utah",996.692585875111,0,160.649035649017,165.280055770507,162.81459944808
2009,0.953,944.39443589096,"UT",2011,"Utah",886.052252874401,0,142.815790923068,154.718481586673,152.253025264246
2010,0.953,895.461051179289,"UT",2011,"Utah",824.766105100538,0,132.937558980698,146.701811121706,144.236354799279
2011,0.953,917.049307102685,"UT",2011,"Utah",832.210308101232,1,134.137431489218,150.238577169486,147.77312084706
2012,0.953,947.624310697254,"UT",2011,"Utah",847.157192114583,1,136.546602116884,155.247626302856,152.78216998043
2013,0.953,967.468535880866,"UT",2011,"Utah",888.245462080512,1,143.16929705819,158.498670857959,156.033214535532
2014,0.953,964.14880693798,"UT",2011,"Utah",863.213317453006,1,139.134562625903,157.954805496408,155.489349173981
2015,0.953,1018.28407840284,"UT",2011,"Utah",895.778136905306,1,144.383429643915,166.823691930945,164.358235608519
2016,0.953,997.704587189231,"UT",2011,"Utah",923.794324858102,1,148.899138540481,163.452190033655,160.986733711229
2017,0.953,991.287113367398,"UT",2011,"Utah",993.268887330228,1,160.097196619227,162.400826569829,159.935370247403
2018,0.953,1051.17732912849,"UT",2011,"Utah",1123.9397323516,1,181.159001971871,172.212535419757,169.74707909733
2019,0.953,1104.80644712947,"UT",2011,"Utah",1147.34631552631,1,184.931724943974,180.998499621375,178.533043298948
2020,0.953,1068.31510074075,"UT",2011,"Utah",984.973638530904,1,158.760150734703,175.020186440199,172.554730117772
2021,0.953,1136.95354098917,"UT",2011,"Utah",1313.58781692228,1,211.726884517333,186.265101541477,183.79964521905
2022,0.953,1204.45141838013,"UT",2011,"Utah",1298.66643703852,1,209.321824699642,197.323160233235,194.857703910808
