"year","sum_weight","syn_state","State_Acronym","year_effective","State_Name","real_ci_cap","Post","real_ci_cap_76","syn_state_76","syn_state_76_shift"
1976,0.923,797.164880759555,"WI",2006,"Wisconsin",921.722043296028,0,100,100,102.991198214745
1977,0.923,853.29534224763,"WI",2006,"Wisconsin",1136.20165863065,0,123.269446238657,107.041261204908,110.032459419653
1978,0.923,872.608640037202,"WI",2006,"Wisconsin",1190.82754101157,0,129.195949003588,109.464009403646,112.455207618391
1979,0.923,896.370482970902,"WI",2006,"Wisconsin",1219.11351858301,0,132.2647676108,112.444803403384,115.436001618129
1980,0.923,854.241346617538,"WI",2006,"Wisconsin",1014.95008549478,0,110.114550571599,107.159932309562,110.151130524307
1981,0.923,814.259857449336,"WI",2006,"Wisconsin",753.271732292794,0,81.7243916180126,102.144471878075,105.13567009282
1982,0.923,736.510001277138,"WI",2006,"Wisconsin",895.795169819124,0,97.1871266760431,92.391175157563,95.3823733723083
1983,0.923,640.819766109703,"WI",2006,"Wisconsin",914.615104656186,0,99.2289499104928,80.3873554363204,83.3785536510657
1984,0.923,674.649935204967,"WI",2006,"Wisconsin",1012.30063420104,0,109.827104772401,84.6311662102007,87.622364424946
1985,0.923,771.693717952204,"WI",2006,"Wisconsin",1024.9413604058,0,111.198529736868,96.8047811159114,99.7959793306567
1986,0.923,768.061808987283,"WI",2006,"Wisconsin",989.871710297612,0,107.393733012816,96.3491778834334,99.3403760981787
1987,0.923,768.661652284986,"WI",2006,"Wisconsin",1097.71561834819,0,119.093996539653,96.4244249637026,99.4156231784479
1988,0.923,808.632965305854,"WI",2006,"Wisconsin",1023.70405712925,0,111.064291515535,101.438608852835,104.42980706758
1989,0.923,869.187391811084,"WI",2006,"Wisconsin",942.442480986168,0,102.248013687081,109.03483241546,112.026030630206
1990,0.923,774.118911311749,"WI",2006,"Wisconsin",862.474904974075,0,93.5721252678206,97.1090084367681,100.100206651513
1991,0.923,711.100977819859,"WI",2006,"Wisconsin",827.396729476078,0,89.7664036022565,89.2037513170811,92.1949495318263
1992,0.923,655.826398585419,"WI",2006,"Wisconsin",789.056994851535,0,85.6068269811482,82.269855887346,85.2610541020913
1993,0.923,713.88018019314,"WI",2006,"Wisconsin",852.579577018486,0,92.4985556350272,89.5523871439168,92.5435853586621
1994,0.923,768.221288789373,"WI",2006,"Wisconsin",907.32472976813,0,98.4379983496528,96.3691837574927,99.360381972238
1995,0.923,830.986085359833,"WI",2006,"Wisconsin",1084.75086138483,0,117.687416643072,104.242686226725,107.233884441471
1996,0.923,834.839178044635,"WI",2006,"Wisconsin",968.170719346036,0,105.039336575255,104.726035754257,107.717233969003
