"year","sum_weight","syn_state","State_Acronym","year_effective","State_Name","real_NCI_cap","Post","real_NCI_cap_76","syn_state_76","syn_state_76_shift"
1976,0.941,575.437798746462,"WI",2006,"Wisconsin",853.001461633116,0,100,100,90.1938507847884
1977,0.941,586.227566566312,"WI",2006,"Wisconsin",885.139558867887,0,103.767648553994,101.875053714468,92.0689044992566
1978,0.941,607.079153222849,"WI",2006,"Wisconsin",925.721715355016,0,108.525220294778,105.498657638639,95.6925084234271
1979,0.941,600.701574835552,"WI",2006,"Wisconsin",862.724083718327,0,101.139813062758,104.390357419016,94.5842082038048
1980,0.941,560.326075025353,"WI",2006,"Wisconsin",786.815686677461,0,92.2408368645771,97.373873639509,87.5677244242975
1981,0.941,564.160458986964,"WI",2006,"Wisconsin",785.289335682042,0,92.0618980158093,98.0402156785556,88.234066463344
1982,0.941,580.258402091461,"WI",2006,"Wisconsin",791.424817709137,0,92.7811795531877,100.837727962171,91.0315787469592
1983,0.941,577.896076364409,"WI",2006,"Wisconsin",841.414362101522,0,98.641608478676,100.427201275846,90.6210520606346
1984,0.941,627.437821033963,"WI",2006,"Wisconsin",959.86078782054,0,112.527449364839,109.036601766651,99.2304525514395
1985,0.941,653.309163315125,"WI",2006,"Wisconsin",919.917490337189,0,107.844773041298,113.532542481272,103.726393266061
1986,0.941,671.489330453703,"WI",2006,"Wisconsin",975.400334270186,0,114.349198464764,116.691905174891,106.88575595968
1987,0.941,685.999239569939,"WI",2006,"Wisconsin",958.577791346718,0,112.377039719424,119.213447754792,109.40729853958
1988,0.941,716.310340957937,"WI",2006,"Wisconsin",971.829580458271,0,113.930587949715,124.480933042347,114.674783827135
1989,0.941,719.672241503634,"WI",2006,"Wisconsin",989.564567200479,0,116.009715306455,125.065166569067,115.259017353855
1990,0.941,731.051306980063,"WI",2006,"Wisconsin",955.351220467145,0,111.998778834221,127.042628859729,117.236479644518
1991,0.941,726.478833046233,"WI",2006,"Wisconsin",974.838594729363,0,114.283344000722,126.248021007449,116.441871792237
1992,0.941,756.426397714198,"WI",2006,"Wisconsin",990.032576363976,0,116.064581468419,131.452330618879,121.646181403667
1993,0.941,789.038714887103,"WI",2006,"Wisconsin",1021.70840680131,0,119.778037055786,137.11972286248,127.313573647268
1994,0.941,802.710078514442,"WI",2006,"Wisconsin",1044.34515452852,0,122.431813015779,139.495542396254,129.689393181042
1995,0.941,804.753213468163,"WI",2006,"Wisconsin",1067.67362859507,0,125.166682194302,139.850599877388,130.044450662176
1996,0.941,809.504909493529,"WI",2006,"Wisconsin",1104.32562160546,0,129.463508713241,140.676353075338,130.870203860127
1997,0.941,840.634989624008,"WI",2006,"Wisconsin",1143.94458815001,0,134.108162717549,146.086161085569,136.280011870357
1998,0.941,876.687548313875,"WI",2006,"Wisconsin",1229.91583618753,0,144.186838066232,152.351401006965,142.545251791753
1999,0.941,907.682951777934,"WI",2006,"Wisconsin",1252.60312934101,0,146.846539622902,157.737804807963,147.931655592751
2000,0.941,925.001796696348,"WI",2006,"Wisconsin",1296.41646128898,0,151.982912058195,160.747486298498,150.941337083286
2001,0.941,935.683826186771,"WI",2006,"Wisconsin",1177.25240111193,0,138.012940664606,162.603817167567,152.797667952356
2002,0.941,885.884311960583,"WI",2006,"Wisconsin",1160.57505310599,0,136.05780356859,153.949621295368,144.143472080157
2003,0.941,887.3267856355,"WI",2006,"Wisconsin",1146.95255305657,0,134.460795748306,154.200295421757,144.394146206545
2004,0.941,926.031696807488,"WI",2006,"Wisconsin",1147.87649851426,0,134.56911273242,160.926463090322,151.120313875111
2005,0.941,969.625884336279,"WI",2006,"Wisconsin",1141.97699059374,0,133.877495169512,168.502292767093,158.696143551881
2006,0.941,1007.63277713727,"WI",2006,"Wisconsin",1154.94538560773,1,135.397820233101,175.107158294485,165.301009079273
2007,0.941,1027.49673764702,"WI",2006,"Wisconsin",1165.53685835059,1,136.639491346135,178.559131827162,168.752982611951
2008,0.941,1001.70395519536,"WI",2006,"Wisconsin",1156.99083624979,1,135.637614739214,174.07684329696,164.270694081748
2009,0.941,944.854385455203,"WI",2006,"Wisconsin",1133.82787155311,1,132.922148736104,164.197483640018,154.391334424807
2010,0.941,896.253969215026,"WI",2006,"Wisconsin",1089.33127612697,1,127.705675209675,155.751667889637,145.945518674425
2011,0.941,924.754502031792,"WI",2006,"Wisconsin",1129.49471471997,1,132.414159356479,160.704511251483,150.898362036271
2012,0.941,945.641353951176,"WI",2006,"Wisconsin",1146.6775267352,1,134.428553561893,164.334243598729,154.528094383517
2013,0.941,961.38301617238,"WI",2006,"Wisconsin",1164.56518496748,1,136.525579069684,167.069841130816,157.263691915604
2014,0.941,963.190629979648,"WI",2006,"Wisconsin",1129.46803557524,1,132.411031677814,167.38396957549,157.577820360278
2015,0.941,1012.00134627829,"WI",2006,"Wisconsin",1170.40716216479,1,137.210452127946,175.866331423281,166.06018220807
2016,0.941,988.078696044577,"WI",2006,"Wisconsin",1202.14325720302,1,140.930972720897,171.70903583272,161.902886617508
2017,0.941,983.14499878008,"WI",2006,"Wisconsin",1209.75486681335,1,141.823305261073,170.851654326805,161.045505111593
2018,0.941,1036.46466083442,"WI",2006,"Wisconsin",1220.05215887671,1,143.030488663039,180.117584053787,170.311434838576
2019,0.941,1085.80343663091,"WI",2006,"Wisconsin",1246.85216108026,1,146.172335823798,188.691712465923,178.885563250712
2020,0.941,1054.29318017919,"WI",2006,"Wisconsin",1217.83805892473,1,142.770922876629,183.215837137544,173.409687922332
2021,0.941,1141.21827240954,"WI",2006,"Wisconsin",1241.68143603342,1,145.566155731569,198.32174300951,188.515593794298
