"FCTAX","rate","year","naive_fed_ci","bill_nfci","Ann_CORPINC","CPI_def","naive_sci","real_fci","real_sci"
48.707,48,1976,101.472916666667,101472916666.667,110490084.431644,56.9,110490084431.644,178335530169.889,194182925187.424
55.678,48,1977,115.995833333333,115995833333.333,149513688.209561,60.6,149513688209.561,191412266226.623,246722257771.553
64.394,48,1978,134.154166666667,134154166666.667,173062269.010985,65.2,173062269010.985,205757924335.378,265432927930.959
65.149,46,1979,141.628260869565,141628260869.565,193750761.060453,72.6,193750761060.453,195080249131.633,266874326529.55
58.613,46,1980,127.419565217391,127419565217.391,209760896.256963,82.4,209760896256.963,154635394681.3,254564194486.606
51.677,46,1981,112.341304347826,112341304347.826,218461265.651104,90.9,218461265651.104,123587793561.965,240331425358.75
33.842,46,1982,73.5695652173913,73569565217.3913,214769417.46952,96.5,214769417469.52,76237891416.9858,222558981833.699
47.116,46,1983,102.426086956522,102426086956.522,200953385.328759,99.6,200953385328.759,102837436703.335,201760427036.907
59.184,46,1984,128.660869565217,128660869565.217,238577256.87217,103.9,238577256872.17,123831443277.399,229621998914.504
58.469,46,1985,127.10652173913,127106521739.13,272041415.381614,107.6,272041415381.614,118128737675.772,252826594220.831
66.022,46,1986,143.526086956522,143526086956.522,284792646.384774,109.6,284792646384.774,130954458901.936,259847305095.597
85.449,40,1987,213.6225,213622500000,314373048.995622,113.6,314373048995.622,188047975352.113,276736838904.597
93.762,34,1988,275.770588235294,275770588235.294,343153129.535969,118.3,343153129535.969,233111232658.744,290070270106.483
95.568,34,1989,281.082352941176,281082352941.176,369976945.311698,124,369976945311.698,226679316888.046,298368504283.627
94.512,34,1990,277.976470588235,277976470588.235,340558076.160258,130.7,340558076160.258,212682839011.657,260564710145.569
89.159,34,1991,262.232352941176,262232352941.176,310774031.623134,136.2,310774031623.134,192534767210.849,228174766243.123
101.994,34,1992,299.982352941176,299982352941.177,336635527.369093,140.3,336635527369.093,213814934384.303,239939791424.87
122.482,35,1993,349.948571428571,349948571428.571,371062353.902289,144.5,371062353902.289,242178942165.101,256790556333.764
136.253,35,1994,389.294285714286,389294285714.286,409648996.494151,148.2,409648996494.151,262681704260.652,276416326919.13
155.931,35,1995,445.517142857143,445517142857.143,455332995.087407,152.4,455332995087.407,292334083239.595,298774931159.716
170.539,35,1996,487.254285714286,487254285714.286,465333748.09638,156.9,465333748096.38,310550851315.67,296579826702.6
182.336,35,1997,520.96,5.2096e+11,491406830.84115,160.5,491406830841.15,324585669781.932,306172480274.86
177.681,35,1998,507.66,5.0766e+11,503911721.026002,163,503911721026.002,311447852760.736,309148295107.977
187.557,35,1999,535.877142857143,535877142857.143,508053949.627136,166.6,508053949627.136,321654947693.363,304954351516.888
194.096,35,2000,554.56,5.5456e+11,536747035.16888,172.2,536747035168.88,322044134727.062,311699788135.238
137.581,35,2001,393.088571428571,393088571428.571,522438574.160522,177.1,522438574160.522,221958538356.054,294996371632.141
125.963,35,2002,359.894285714286,359894285714.286,433192993.186967,179.9,433192993186.967,200052410069.086,240796549853.789
175.783,35,2003,502.237142857143,502237142857.143,459518909.897828,184,459518909897.828,272954968944.099,249738537987.95
232.204,35,2004,663.44,6.6344e+11,460182221.332135,188.9,460182221332.135,351212281630.492,243611551790.437
319.49,35,2005,912.828571428572,912828571428.572,574091578.669985,195.3,574091578669.985,467398142052.52,293953701315.917
365.958,35,2006,1045.59428571429,1045594285714.29,691909934.941711,201.6,691909934941.711,518647959183.674,343209293125.849
328.24,35,2007,937.828571428572,937828571428.572,759097332.606732,207.342,759097332606.732,452309986123.685,366108811821.402
201.961,35,2008,577.031428571429,577031428571.429,659370596.574399,215.303,659370596574.399,268009005249.081,306252396192.528
152.962,35,2009,437.034285714286,437034285714.286,508759519.978518,214.537,508759519978.518,203710448880.28,237143019608.98
219.387,35,2010,626.82,6.2682e+11,500326311.373204,218.056,500326311373.204,287458267600.983,229448541371.576
223.953,35,2011,639.865714285714,639865714285.714,531565721.168298,224.939,531565721168.298,284461882681.845,236315499387.967
274.7,35,2012,784.857142857143,784857142857.143,544376930.52199,229.594,544376930521.99,341845667943.04,237104162357.026
298.431,35,2013,852.66,8.5266e+11,587537742.752844,232.957,587537742752.844,366016045879.712,252208666300.152
339.649,35,2014,970.425714285714,970425714285.714,614431265.852213,236.736,614431265852.213,409918945274.785,259542809649.657
329.088,35,2015,940.251428571429,940251428571.429,662621872.656935,237.017,662621872656.935,396702105153.398,279567234694.952
311.863,35,2016,891.037142857143,891037142857.143,628421667.383155,240.007,628421667383.155,371254647929.912,261834724563.515
230.345,35,2017,658.128571428571,658128571428.572,618227704.037245,245.12,618227704037.245,268492400223.797,252214304845.482
224.956,21,2018,1071.21904761905,1071219047619.05,659140126.637113,251.107,659140126637.113,426598640268.51,262493728425.378
210.451,21,2019,1002.14761904762,1002147619047.62,811868904.601906,255.657,811868904601.906,391989117860.109,317561774018.277
225.234,21,2020,1072.54285714286,1072542857142.86,731497685.095974,258.811,731497685095.974,414411619731.332,282637787843.629
334.068,21,2021,1590.8,1.5908e+12,1253564404.96547,270.97,1253564404965.47,587076060080.452,462621103799.487
401.454,21,2022,1911.68571428571,1911685714285.71,1746074924.66558,292.655,1746074924665.58,653221613943.283,596632527947.782
445.104,21,2023,2119.54285714286,2119542857142.86,NA,NA,NA,NA,NA
