"path","ext","size_bytes","mtime","last_commit","last_date","last_author","last_subject"
".DS_Store",NA,24580,"2025-07-22 12:09:37.331018","700fc27","2025-07-23","Ben Jaros","no geopandas"
".Rapp.history","history",0,"2025-06-18 15:35:52.7772","4d6bd1c","2024-03-27","Ben Jaros","Sales Factor Weight Changes"
".RData","RData",1597767,"2025-06-18 15:35:52.777104","7a3da92","2024-04-16","Ben Jaros","Plots for Jonathan"
".Rhistory","Rhistory",26630,"2025-06-18 15:35:52.777316","7a3da92","2024-04-16","Ben Jaros","Plots for Jonathan"
"2021.annual 01000 Alabama -- Statewide.numbers","numbers",2179156,"2025-06-18 15:35:52.781423","194ae6c","2024-08-22","Ben Jaros","BLS Transpose"
"AttemptEffectEventsRevenue.R","R",2308,"2025-06-18 15:35:52.781558","3be32b2","2023-06-24","Ben Jaros","Add files via upload"
"AttemptReplicate_KyleButts_DiD.R","R",310,"2025-06-18 15:35:52.781631","f7c328d","2024-03-01","Ben Jaros","Update for Jonathan 3_1_24"
"Average_SF_Weight_By_Region.csv","csv",12772,"2025-06-18 15:35:52.781753","d67b26b","2023-10-31","Ben Jaros","Saved Files from Plotting Exercise"
"CAEMP25N/.RData","RData",7291770,"2025-06-18 15:35:52.787104","a9f3c95","2024-08-23","Ben Jaros","History from BLS Filtering Session"
"CAEMP25N/.Rhistory","Rhistory",4272,"2025-06-18 15:35:52.787399","a9f3c95","2024-08-23","Ben Jaros","History from BLS Filtering Session"
"CAEMP25N/bls_filter.R","R",2546,"2025-06-18 15:35:52.848575","b0aae40","2024-08-23","Ben Jaros","Unique Dataframe"
"CAEMP25N/bls_NoID_complete.csv","csv",349082,"2025-06-18 15:35:52.848471","b0aae40","2024-08-23","Ben Jaros","Unique Dataframe"
"CAEMP25N/bls_transpose.csv","csv",5297875,"2025-06-18 15:35:52.851884","194ae6c","2024-08-22","Ben Jaros","BLS Transpose"
"CAEMP25N/bls_wide.csv","csv",5297875,"2025-06-18 15:35:52.857702","8679d15","2024-08-23","Ben Jaros","Wide panel"
"CAEMP25N/CAEMP25N__ALL_AREAS_2001_2022.csv","csv",20292175,"2025-06-18 15:35:52.847756","2c1bdab","2024-07-09","Ben Jaros","BEA Employment Data by Industry"
"CAEMP25N/CAEMP25N__definition.xml","xml",34584,"2025-06-18 15:35:52.847998","2c1bdab","2024-07-09","Ben Jaros","BEA Employment Data by Industry"
"CAEMP25N/CAEMP25N__Footnotes.html","html",3505,"2025-06-18 15:35:52.847906","2c1bdab","2024-07-09","Ben Jaros","BEA Employment Data by Industry"
"CAEMP25N/CAEMP25N_AK_2001_2022.csv","csv",235992,"2025-06-18 15:35:52.787683","2c1bdab","2024-07-09","Ben Jaros","BEA Employment Data by Industry"
"CAEMP25N/CAEMP25N_AL_2001_2022.csv","csv",435803,"2025-06-18 15:35:52.788229","2c1bdab","2024-07-09","Ben Jaros","BEA Employment Data by Industry"
"CAEMP25N/CAEMP25N_AR_2001_2022.csv","csv",475995,"2025-06-18 15:35:52.788761","2c1bdab","2024-07-09","Ben Jaros","BEA Employment Data by Industry"
"CAEMP25N/CAEMP25N_AZ_2001_2022.csv","csv",108380,"2025-06-18 15:35:52.788963","2c1bdab","2024-07-09","Ben Jaros","BEA Employment Data by Industry"
"CAEMP25N/CAEMP25N_CA_2001_2022.csv","csv",407468,"2025-06-18 15:35:52.789457","2c1bdab","2024-07-09","Ben Jaros","BEA Employment Data by Industry"
"CAEMP25N/CAEMP25N_CO_2001_2022.csv","csv",410335,"2025-06-18 15:35:52.789995","2c1bdab","2024-07-09","Ben Jaros","BEA Employment Data by Industry"
"CAEMP25N/CAEMP25N_CSA_2001_2022.csv","csv",1495414,"2025-06-18 15:35:52.791538","2c1bdab","2024-07-09","Ben Jaros","BEA Employment Data by Industry"
"CAEMP25N/CAEMP25N_CT_2001_2022.csv","csv",64906,"2025-06-18 15:35:52.791995","2c1bdab","2024-07-09","Ben Jaros","BEA Employment Data by Industry"
"CAEMP25N/CAEMP25N_DC_2001_2022.csv","csv",15559,"2025-06-18 15:35:52.792161","2c1bdab","2024-07-09","Ben Jaros","BEA Employment Data by Industry"
"CAEMP25N/CAEMP25N_DE_2001_2022.csv","csv",28413,"2025-06-18 15:35:52.792253","2c1bdab","2024-07-09","Ben Jaros","BEA Employment Data by Industry"
"CAEMP25N/CAEMP25N_FL_2001_2022.csv","csv",454300,"2025-06-18 15:35:52.792811","2c1bdab","2024-07-09","Ben Jaros","BEA Employment Data by Industry"
"CAEMP25N/CAEMP25N_GA_2001_2022.csv","csv",998620,"2025-06-18 15:35:52.793895","2c1bdab","2024-07-09","Ben Jaros","BEA Employment Data by Industry"
"CAEMP25N/CAEMP25N_HI_2001_2022.csv","csv",35514,"2025-06-18 15:35:52.794003","2c1bdab","2024-07-09","Ben Jaros","BEA Employment Data by Industry"
"CAEMP25N/CAEMP25N_IA_2001_2022.csv","csv",625287,"2025-06-18 15:35:52.794716","2c1bdab","2024-07-09","Ben Jaros","BEA Employment Data by Industry"
"CAEMP25N/CAEMP25N_ID_2001_2022.csv","csv",281210,"2025-06-18 15:35:52.795084","2c1bdab","2024-07-09","Ben Jaros","BEA Employment Data by Industry"
"CAEMP25N/CAEMP25N_IL_2001_2022.csv","csv",653693,"2025-06-18 15:35:52.809103","2c1bdab","2024-07-09","Ben Jaros","BEA Employment Data by Industry"
"CAEMP25N/CAEMP25N_IN_2001_2022.csv","csv",595171,"2025-06-18 15:35:52.809775","2c1bdab","2024-07-09","Ben Jaros","BEA Employment Data by Industry"
"CAEMP25N/CAEMP25N_KS_2001_2022.csv","csv",648844,"2025-06-18 15:35:52.810092","2c1bdab","2024-07-09","Ben Jaros","BEA Employment Data by Industry"
"CAEMP25N/CAEMP25N_KY_2001_2022.csv","csv",750633,"2025-06-18 15:35:52.810439","2c1bdab","2024-07-09","Ben Jaros","BEA Employment Data by Industry"
"CAEMP25N/CAEMP25N_LA_2001_2022.csv","csv",422309,"2025-06-18 15:35:52.810951","2c1bdab","2024-07-09","Ben Jaros","BEA Employment Data by Industry"
"CAEMP25N/CAEMP25N_MA_2001_2022.csv","csv",107019,"2025-06-18 15:35:52.811156","2c1bdab","2024-07-09","Ben Jaros","BEA Employment Data by Industry"
"CAEMP25N/CAEMP25N_MD_2001_2022.csv","csv",171960,"2025-06-18 15:35:52.811893","2c1bdab","2024-07-09","Ben Jaros","BEA Employment Data by Industry"
"CAEMP25N/CAEMP25N_MDIV_2001_2022.csv","csv",277281,"2025-06-18 15:35:52.811609","2c1bdab","2024-07-09","Ben Jaros","BEA Employment Data by Industry"
"CAEMP25N/CAEMP25N_ME_2001_2022.csv","csv",113522,"2025-06-18 15:35:52.812102","2c1bdab","2024-07-09","Ben Jaros","BEA Employment Data by Industry"
"CAEMP25N/CAEMP25N_MI_2001_2022.csv","csv",542174,"2025-06-18 15:35:52.816669","2c1bdab","2024-07-09","Ben Jaros","BEA Employment Data by Industry"
"CAEMP25N/CAEMP25N_MIC_2001_2022.csv","csv",4124957,"2025-06-18 15:35:52.815766","2c1bdab","2024-07-09","Ben Jaros","BEA Employment Data by Industry"
"CAEMP25N/CAEMP25N_MN_2001_2022.csv","csv",559608,"2025-06-18 15:35:52.817247","2c1bdab","2024-07-09","Ben Jaros","BEA Employment Data by Industry"
"CAEMP25N/CAEMP25N_MO_2001_2022.csv","csv",727516,"2025-06-18 15:35:52.817534","2c1bdab","2024-07-09","Ben Jaros","BEA Employment Data by Industry"
"CAEMP25N/CAEMP25N_MS_2001_2022.csv","csv",519731,"2025-06-18 15:35:52.821229","2c1bdab","2024-07-09","Ben Jaros","BEA Employment Data by Industry"
"CAEMP25N/CAEMP25N_MSA_2001_2022.csv","csv",3178797,"2025-06-18 15:35:52.820567","2c1bdab","2024-07-09","Ben Jaros","BEA Employment Data by Industry"
"CAEMP25N/CAEMP25N_MT_2001_2022.csv","csv",347431,"2025-06-18 15:35:52.82162","2c1bdab","2024-07-09","Ben Jaros","BEA Employment Data by Industry"
"CAEMP25N/CAEMP25N_NC_2001_2022.csv","csv",654659,"2025-06-18 15:35:52.82233","2c1bdab","2024-07-09","Ben Jaros","BEA Employment Data by Industry"
"CAEMP25N/CAEMP25N_ND_2001_2022.csv","csv",326401,"2025-06-18 15:35:52.822682","2c1bdab","2024-07-09","Ben Jaros","BEA Employment Data by Industry"
"CAEMP25N/CAEMP25N_NE_2001_2022.csv","csv",563277,"2025-06-18 15:35:52.823222","2c1bdab","2024-07-09","Ben Jaros","BEA Employment Data by Industry"
"CAEMP25N/CAEMP25N_NH_2001_2022.csv","csv",75664,"2025-06-18 15:35:52.823377","2c1bdab","2024-07-09","Ben Jaros","BEA Employment Data by Industry"
"CAEMP25N/CAEMP25N_NJ_2001_2022.csv","csv",156331,"2025-06-18 15:35:52.823608","2c1bdab","2024-07-09","Ben Jaros","BEA Employment Data by Industry"
"CAEMP25N/CAEMP25N_NM_2001_2022.csv","csv",215704,"2025-06-18 15:35:52.823871","2c1bdab","2024-07-09","Ben Jaros","BEA Employment Data by Industry"
"CAEMP25N/CAEMP25N_NV_2001_2022.csv","csv",115559,"2025-06-18 15:35:52.82406","2c1bdab","2024-07-09","Ben Jaros","BEA Employment Data by Industry"
"CAEMP25N/CAEMP25N_NY_2001_2022.csv","csv",425567,"2025-06-18 15:35:52.824537","2c1bdab","2024-07-09","Ben Jaros","BEA Employment Data by Industry"
"CAEMP25N/CAEMP25N_OH_2001_2022.csv","csv",584889,"2025-06-18 15:35:52.827583","2c1bdab","2024-07-09","Ben Jaros","BEA Employment Data by Industry"
"CAEMP25N/CAEMP25N_OK_2001_2022.csv","csv",491992,"2025-06-18 15:35:52.828106","2c1bdab","2024-07-09","Ben Jaros","BEA Employment Data by Industry"
"CAEMP25N/CAEMP25N_OR_2001_2022.csv","csv",241070,"2025-06-18 15:35:52.828461","2c1bdab","2024-07-09","Ben Jaros","BEA Employment Data by Industry"
"CAEMP25N/CAEMP25N_PA_2001_2022.csv","csv",457119,"2025-06-18 15:35:52.829024","2c1bdab","2024-07-09","Ben Jaros","BEA Employment Data by Industry"
"CAEMP25N/CAEMP25N_PORT_2001_2022.csv","csv",1451118,"2025-06-18 15:35:52.830375","2c1bdab","2024-07-09","Ben Jaros","BEA Employment Data by Industry"
"CAEMP25N/CAEMP25N_RI_2001_2022.csv","csv",41923,"2025-06-18 15:35:52.830519","2c1bdab","2024-07-09","Ben Jaros","BEA Employment Data by Industry"
"CAEMP25N/CAEMP25N_SC_2001_2022.csv","csv",308488,"2025-06-18 15:35:52.830874","2c1bdab","2024-07-09","Ben Jaros","BEA Employment Data by Industry"
"CAEMP25N/CAEMP25N_SD_2001_2022.csv","csv",403862,"2025-06-18 15:35:52.831307","2c1bdab","2024-07-09","Ben Jaros","BEA Employment Data by Industry"
"CAEMP25N/CAEMP25N_TN_2001_2022.csv","csv",610230,"2025-06-18 15:35:52.832692","2c1bdab","2024-07-09","Ben Jaros","BEA Employment Data by Industry"
"CAEMP25N/CAEMP25N_TX_2001_2022.csv","csv",1597392,"2025-06-18 15:35:52.834167","2c1bdab","2024-07-09","Ben Jaros","BEA Employment Data by Industry"
"CAEMP25N/CAEMP25N_US_2001_2022.csv","csv",477088,"2025-06-18 15:35:52.83481","2c1bdab","2024-07-09","Ben Jaros","BEA Employment Data by Industry"
"CAEMP25N/CAEMP25N_UT_2001_2022.csv","csv",191260,"2025-06-18 15:35:52.835063","2c1bdab","2024-07-09","Ben Jaros","BEA Employment Data by Industry"
"CAEMP25N/CAEMP25N_VA_2001_2022.csv","csv",700059,"2025-06-18 15:35:52.835763","2c1bdab","2024-07-09","Ben Jaros","BEA Employment Data by Industry"
"CAEMP25N/CAEMP25N_VT_2001_2022.csv","csv",98568,"2025-06-18 15:35:52.835934","2c1bdab","2024-07-09","Ben Jaros","BEA Employment Data by Industry"
"CAEMP25N/CAEMP25N_WA_2001_2022.csv","csv",264061,"2025-06-18 15:35:52.836246","2c1bdab","2024-07-09","Ben Jaros","BEA Employment Data by Industry"
"CAEMP25N/CAEMP25N_WI_2001_2022.csv","csv",473090,"2025-06-18 15:35:52.83681","2c1bdab","2024-07-09","Ben Jaros","BEA Employment Data by Industry"
"CAEMP25N/CAEMP25N_WV_2001_2022.csv","csv",349896,"2025-06-18 15:35:52.837215","2c1bdab","2024-07-09","Ben Jaros","BEA Employment Data by Industry"
"CAEMP25N/CAEMP25N_WY_2001_2022.csv","csv",152276,"2025-06-18 15:35:52.837425","2c1bdab","2024-07-09","Ben Jaros","BEA Employment Data by Industry"
"CIT_Rev_Long.csv","csv",81641,"2025-06-18 15:35:52.858199","85fb163","2023-10-03","Ben Jaros","Add files via upload"
"CIT_Rev_Total.csv","csv",30361,"2025-06-18 15:35:52.858314","105d790","2023-10-03","Ben Jaros","Add files via upload"
"Clean_MySalesFactorWeights_10_3.R","R",1004,"2025-06-18 15:35:52.858415","1b6ea0d","2023-10-04","Ben Jaros","Audit to Apportionment"
"Clean_Rev_Event_4_16_24.csv","csv",327161,"2025-06-18 15:35:52.859025","7a3da92","2024-04-16","Ben Jaros","Plots for Jonathan"
"Clean_UpJonathan_BaseRevFile2_15_24.R","R",2610,"2025-06-18 15:35:52.859129","44094d8","2024-02-15","Ben Jaros","New Base Clean File for DiD Plots"
"ControlTreatMap.xlsx","xlsx",9640,"2025-06-18 15:35:52.859275","fd89e7d","2023-10-31","Ben Jaros","Maps In Excel"
"CrossPartial/.DS_Store",NA,8196,"2025-06-18 15:35:52.859478","acc3436","2024-05-31","Ben Jaros","Elasticity Plots MERGE to Final Data"
"CrossPartial/.RData","RData",1222619,"2025-06-18 15:35:52.860929","5bcd65f","2024-05-19","Ben Jaros","History to Get the Own Base Elasticity Plot"
"CrossPartial/.Rhistory","Rhistory",23604,"2025-06-18 15:35:52.861032","5bcd65f","2024-05-19","Ben Jaros","History to Get the Own Base Elasticity Plot"
"CrossPartial/AppWeights_4_21_24_Rev.csv","csv",233093,"2025-06-18 15:35:52.861589","dd37fe3","2024-04-21","Ben Jaros","Plot and Date for Own CIT Elasticity w.r.t App Weight"
"CrossPartial/Average_SF_Weight_By_Region.xlsx","xlsx",48499,"2025-06-18 15:35:52.861799","4d6bd1c","2024-03-27","Ben Jaros","Sales Factor Weight Changes"
"CrossPartial/Avg_CIT_Elasticity_With_Regions.csv","csv",6682,"2025-06-18 15:35:52.861911","d9c067b","2024-04-27","Ben Jaros","Create Avg_CIT_Elasticity_With_Regions.csv"
"CrossPartial/BarPlot_Elasticity_byState_4_21.png","png",45667,"2025-06-18 15:35:52.862044","dd37fe3","2024-04-21","Ben Jaros","Plot and Date for Own CIT Elasticity w.r.t App Weight"
"CrossPartial/Clean_Rev_Event_4_16_24.csv","csv",327161,"2025-06-18 15:35:52.862356","f1042dc","2024-04-17","Ben Jaros","Load Data for Cross Partial"
"CrossPartial/Code_Cross_Partial.R","R",2822,"2025-06-18 15:35:52.862465","23343e8","2024-02-23","Ben Jaros","Updates to App & Rev Cross Partial Estimate"
"CrossPartial/Cross_Calculator.R","R",851,"2025-06-18 15:35:52.862539","316c305","2024-02-29","Ben Jaros","What I have done to clean and Get 2wFE"
"CrossPartial/Diff_Log_4_16_24.csv","csv",3571,"2025-06-18 15:35:52.862601","f1042dc","2024-04-17","Ben Jaros","Load Data for Cross Partial"
"CrossPartial/Diff_Log_df_4_16_24.csv","csv",3772,"2025-06-18 15:35:52.862662","f1042dc","2024-04-17","Ben Jaros","Load Data for Cross Partial"
"CrossPartial/ElasticityTaxBase.R","R",10336,"2025-06-18 15:35:52.862793","742c20d","2024-04-27","Ben Jaros","Update ElasticityTaxBase.R"
"CrossPartial/FRED_SALT_Rev_Feb_2024 copy.csv","csv",342871,"2025-06-18 15:35:52.863247","da5bec9","2024-03-07","Ben Jaros","Direct Switch DiD Coeff Estimate and Plot"
"CrossPartial/FRED_SALT_Rev_Feb_2024.csv","csv",342871,"2025-06-18 15:35:52.863686","54ed16a","2024-02-22","Ben Jaros","Start to Code for Cross_Partial"
"CrossPartial/Own_CIT_elasticity_byState.png","png",105494,"2025-06-18 15:35:52.864192","dd37fe3","2024-04-21","Ben Jaros","Plot and Date for Own CIT Elasticity w.r.t App Weight"
