"X","State_Acronym","year","BUSLICTAX","CORPINCTX","CORPLICTAX","PROPTAX","SLGRTAX","SVRNCTAX","TLINCTAX","TLSLTAX","TOTLTAX","INCTAX","SALESTAX","state","Region","Number","sales","industry_dum","election_dum","phase_in_dum","rates","log_CIT","log_sales","log_rate","year_effective","group","Post","treatment","rel_year","log_totrev","State_Name","CPI_def","real_totRev","logRealTotRev"
1,"AL",1976,14126,60307,31480,31381,815242,11570,284904,418220,1243258,224597,NA,1,"Southeast",3,33.34,NA,NA,NA,5,11.0072034622133,3.50675787732265,1.6094379124341,2021,"nyt",0,0,-45,14.0332459113039,"Alabama",56.9,2184987.69771529,14.5971207561597
2,"AL",1977,15413,75874,36671,34095,908556,13757,337769,453802,1403674,261895,NA,1,"Southeast",3,33.34,NA,NA,NA,5,11.2368293487033,3.50675787732265,1.6094379124341,2021,"nyt",0,0,-44,14.1546036428746,"Alabama",60.6,2316293.72937294,14.6554789357874
3,"AL",1978,16276,83161,38504,53877,996419,17056,401119,500834,1588761,317958,NA,1,"Southeast",3,33.34,NA,NA,NA,5,11.3285337669117,3.50675787732265,1.6094379124341,2021,"nyt",0,0,-43,14.278465025144,"Alabama",65.2,2436750,14.7061757421995
4,"AL",1979,16747,100610,40929,43417,1095639,22281,463539,548337,1747350,362929,NA,1,"Southeast",3,33.34,NA,NA,NA,5,11.5190069352861,3.50675787732265,1.6094379124341,2021,"nyt",0,0,-42,14.373610912496,"Alabama",72.6,2406818.18181818,14.6938161766534
5,"AL",1980,17543,109238,45087,44287,1146256,32410,505808,569167,1856789,396570,NA,1,"Southeast",3,33.34,NA,NA,NA,5,11.6012842671081,3.50675787732265,1.6094379124341,2021,"nyt",0,0,-41,14.4343592097542,"Alabama",82.4,2253384.70873786,14.6279439588269
6,"AL",1981,17575,99095,50731,46192,1284001,60669,614965,688828,2148415,515870,NA,1,"Southeast",3,33.34,NA,NA,NA,5,11.5038342649584,3.50675787732265,1.6094379124341,2021,"nyt",0,0,-40,14.5802409189291,"Alabama",90.9,2363492.84928493,14.6756511037338
7,"AL",1982,12803,123218,54950,45681,1341497,63470,604187,712044,2192251,480969,NA,1,"Southeast",3,33.34,NA,NA,NA,5,11.7217104233055,3.50675787732265,1.6094379124341,2021,"nyt",0,0,-39,14.6004394277939,"Alabama",96.5,2271762.69430052,14.636066605437
8,"AL",1983,11659,133717,54595,53285,1385526,77144,690107,725873,2341219,556390,NA,1,"Southeast",3,33.34,NA,NA,NA,5,11.8034809053437,3.50675787732265,1.6094379124341,2021,"nyt",0,0,-38,14.6661822918626,"Alabama",99.6,2350621.48594378,14.6701903132601
9,"AL",1984,34241,223816,65029,57768,1512535,119525,846989,777217,2704250,623173,NA,1,"Southeast",3,33.34,NA,NA,NA,5,12.3185795647084,3.50675787732265,1.6094379124341,2021,"nyt",0,0,-37,14.8103351674925,"Alabama",103.9,2602743.02213667,14.7720764553754
10,"AL",1985,64934,199998,73681,61471,1611306,89634,911677,792379,2941336,711679,NA,1,"Southeast",3,33.34,NA,NA,NA,5,12.2060626454802,3.50675787732265,1.6094379124341,2021,"nyt",0,0,-36,14.8943744578653,"Alabama",107.6,2733583.64312268,14.8211239961257
11,"AL",1986,62893,156745,74617,63360,1661142,75072,914034,822795,2997093,757289,NA,1,"Southeast",3,33.34,NA,NA,NA,5,11.9623755600598,3.50675787732265,1.6094379124341,2021,"nyt",0,0,-35,14.9131533768484,"Alabama",109.6,2734573.90510949,14.8214861883226
12,"AL",1987,63598,162699,89484,68640,1745095,53627,1051777,859257,3231020,889078,NA,1,"Southeast",3,33.34,NA,NA,NA,5,11.9996571469067,3.50675787732265,1.6094379124341,2021,"nyt",0,0,-34,14.9883084348215,"Alabama",113.6,2844207.74647887,14.8607951145226
13,"AL",1988,65250,177657,82311,72965,1825240,60603,1107116,897490,3374056,929459,NA,1,"Southeast",3,33.34,NA,NA,NA,5,12.087610003994,3.50675787732265,1.6094379124341,2021,"nyt",0,0,-33,15.0316261394607,"Alabama",118.3,2852118.34319527,14.8635725544644
14,"AL",1989,72547,215817,76149,85964,1916314,61734,1279138,934144,3662563,1063321,NA,1,"Southeast",3,33.34,NA,NA,NA,5,12.2821861053485,3.50675787732265,1.6094379124341,2021,"nyt",0,0,-32,15.1136737335247,"Alabama",124,2953679.83870968,14.8985623539078
15,"AL",1990,82656,179833,101294,90543,2002759,59213,1301291,964938,3819513,1121458,NA,1,"Southeast",3,33.34,NA,NA,NA,5,12.0997839214424,3.50675787732265,1.6094379124341,2021,"nyt",0,0,-31,15.1556334855446,"Alabama",130.7,2922351.18592196,14.8878990509025
16,"AL",1991,103499,168253,108626,94215,2022653,71731,1342483,973127,3942565,1174230,NA,1,"Southeast",3,33.34,NA,NA,NA,5,12.0332240779572,3.50675787732265,1.6094379124341,2021,"nyt",0,0,-30,15.1873420846841,"Alabama",136.2,2894687.95888399,14.8783878769567
17,"AL",1992,91283,164779,121586,98027,2218884,61864,1398603,1103368,4217916,1233824,NA,1,"Southeast",3,33.34,NA,NA,NA,5,12.0123604611535,3.50675787732265,1.6094379124341,2021,"nyt",0,0,-29,15.2548517251711,"Alabama",140.3,3006354.95367071,14.9162389240507
18,"AL",1993,89528,189506,104240,101135,2514799,73167,1522384,1324610,4639784,1332878,NA,1,"Southeast",3,33.34,NA,NA,NA,5,12.1521759652725,3.50675787732265,1.6094379124341,2021,"nyt",0,0,-28,15.3501783713947,"Alabama",144.5,3210923.183391,14.9820690498303
19,"AL",1994,92241,218131,94207,112596,2559992,70892,1585753,1280747,4767108,1367622,NA,1,"Southeast",3,33.34,NA,NA,NA,5,12.2928510787238,3.50675787732265,1.6094379124341,2021,"nyt",0,0,-27,15.3772503896887,"Alabama",148.2,3216672.06477733,14.9838578628148
20,"AL",1995,128876,236279,125569,118202,2645405,63326,1718941,1280494,5077827,1482662,NA,1,"Southeast",3,33.34,NA,NA,NA,5,12.3727685891454,3.50675787732265,1.6094379124341,2021,"nyt",0,0,-26,15.4403939721355,"Alabama",152.4,3331907.48031496,15.019055514871
21,"AL",1996,95538,217616,111172,134252,2773974,78557,1795530,1334829,5257771,1577914,NA,1,"Southeast",3,33.34,NA,NA,NA,5,12.2904873206725,3.50675787732265,1.6094379124341,2021,"nyt",0,0,-25,15.4752177306419,"Alabama",156.9,3351033.14212874,15.024779256891
22,"AL",1997,99876,226616,109504,131229,2866477,80238,1914215,1360764,5484161,1687599,NA,1,"Southeast",3,33.34,NA,NA,NA,5,12.331012234086,3.50675787732265,1.6094379124341,2021,"nyt",0,0,-24,15.5173746773662,"Alabama",160.5,3416922.74143302,15.0442509207842
23,"AL",1998,94337,243803,119034,139818,2993580,68999,2037364,1422930,5734128,1793561,NA,1,"Southeast",3,33.34,NA,NA,NA,5,12.4041158011218,3.50675787732265,1.6094379124341,2021,"nyt",0,0,-23,15.561946248162,"Alabama",163,3517869.93865031,15.0733662333433
24,"AL",1999,101908,233024,122617,164495,3129368,50381,2140483,1480248,6032234,1907459,NA,1,"Southeast",3,33.34,NA,NA,NA,5,12.3588967315351,3.50675787732265,1.6094379124341,2021,"nyt",0,0,-22,15.6126279810209,"Alabama",166.6,3620788.71548619,15.1022024372763
25,"AL",2000,129486,243099,179169,179828,3228445,80738,2314532,1526560,6438438,2071433,NA,1,"Southeast",3,33.34,NA,NA,NA,5,12.4012240467622,3.50675787732265,1.6094379124341,2021,"nyt",0,0,-21,15.6777965220775,"Alabama",172.2,3738930.31358885,15.134310116072
26,"AL",2001,117483,201533,81912,183163,3297746,118310,2639173,1585107,6747707,2437640,NA,1,"Southeast",3,33.34,NA,NA,NA,6.5,12.2137084186719,3.50675787732265,1.87180217690159,2021,"nyt",0,0,-20,15.7247133014326,"Alabama",177.1,3810111.2365895,15.1531689426319
27,"AL",2002,98943,322636,72080,195132,3383068,65667,2353330,1634833,6509765,2030694,NA,1,"Southeast",3,33.34,NA,NA,NA,6.5,12.6842800317516,3.50675787732265,1.87180217690159,2021,"nyt",0,0,-19,15.6888139152229,"Alabama",179.9,3618546.41467482,15.1015829602545
28,"AL",2003,98814,242411,75013,204534,3350223,104386,2277949,1585666,6416351,2035538,NA,1,"Southeast",3,33.34,NA,NA,NA,5,12.3983899116856,3.50675787732265,1.6094379124341,2021,"nyt",0,0,-18,15.6743601340147,"Alabama",184,3487147.2826087,15.0645945623938
29,"AL",2004,107177,292051,73183,221470,3675562,113646,2535588,1783002,7018242,2243537,NA,1,"Southeast",3,33.34,NA,NA,NA,6.5,12.5846837235338,3.50675787732265,1.87180217690159,2021,"nyt",0,0,-17,15.7640233172894,"Alabama",188.9,3715321.33403917,15.12797572877
30,"AL",2005,122855,397308,80654,231136,3962816,144813,2933829,1929624,7774147,2536521,NA,1,"Southeast",3,33.34,NA,NA,NA,6.5,12.8924670775174,3.50675787732265,1.87180217690159,2021,"nyt",0,0,-16,15.8663142994,"Alabama",195.3,3980618.02355351,15.1969476475054
31,"AL",2006,125573,558768,88112,249383,4233895,182778,3325007,2012389,8529676,2766239,NA,1,"Southeast",3,33.34,NA,NA,NA,6.5,13.2334896391561,3.50675787732265,1.87180217690159,2021,"nyt",0,0,-15,15.9590619351591,"Alabama",201.6,4230990.07936508,15.25794658495
32,"AL",2007,124694,505886,98831,273501,4390386,144306,3525396,2112359,8868314,3019510,NA,1,"Southeast",3,33.34,NA,NA,NA,6.5,13.1340666264439,3.50675787732265,1.87180217690159,2021,"nyt",0,0,-14,15.9979952573008,"Alabama",207.342,4277143.07762055,15.2687958394483
33,"AL",2008,122125,524808,103042,301034,4433108,197581,3602361,2145820,9070530,3077553,NA,1,"Southeast",3,33.34,NA,NA,NA,6.5,13.1707877603983,3.50675787732265,1.87180217690159,2021,"nyt",0,0,-13,16.0205412547832,"Alabama",215.303,4212913.89344319,15.2536651024525
