State,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
AK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1065,1125,1398,1692,1450,1816,2207,1764,1877,4105,3450,3865,4307,5301,6050,6455,6964,8241,17345,31103,35772,33504,256986,565329,894843,703663,266302,304621,204600,177751,141068,181387,459686,185140,253649,200025,872260,176070,528005,326270,331337,275758,211811,438438,400442,269273,207075,339564,588694,821664,813762,1297513,632123,643068,720733,663144,630941,408938,227852,67457,87775,196321,332520,194663,124987
AL,1886,0,3439,0,3543,0,5675,0,885,903,1093,1076,1036,1098,1131,1312,8936,7567,9447,9667,9645,10239,15766,19294,22890,29949,31442,29023,30797,33764,32908,40939,47255,58158,60307,75874,83161,100610,109238,99095,123218,133717,223816,199998,156745,162699,177657,215817,179833,168253,164779,189506,218131,236279,217616,226616,243803,233024,243099,201533,322636,242411,292051,397308,558768,505886,524808,493972,428245,301178,413253,382202,406408,533586,473736,520113,577516,684296,754272,1134256
AR,1239,0,2334,0,1829,0,5095,0,7809,7879,8661,8425,8114,7469,8668,9777,9274,8349,8862,10831,10340,10619,11059,13766,20848,25131,19627,22387,26228,26384,31568,37825,45916,54469,56197,67210,83528,83608,83714,80683,91706,86921,106241,130231,113205,115620,116202,111671,130300,122240,125525,153926,184281,191600,228801,229982,252870,212206,236969,202345,176874,176875,181830,277311,368523,362983,342529,346215,385365,376874,404083,402874,398493,476553,450159,396989,390756,533915,469029,618457
AZ,1181,0,1898,0,2181,0,5647,0,2897,5378,6257,3444,5032,5235,8518,0,4330,5338,6833,6074,5574,7000,9174,9276,13379,14407,14723,18080,20910,26987,28126,37408,39356,49553,46499,51788,63842,89352,117764,126510,114759,160429,197363,202301,170821,198948,148134,200027,179832,192325,210824,244856,303239,417481,448040,600890,528061,545388,523182,541174,346280,389406,525650,701859,890004,986170,784511,592187,413193,560236,647809,662026,575180,690960,570548,368136,373076,514264,523062,905953
CA,34389,0,67671,0,55783,0,69181,0,74546,98428,119386,119107,125841,133412,157340,167339,172119,175405,240064,273361,290797,311275,404757,416447,433825,452574,578812,592493,587577,533121,661071,866347,1046031,1252633,1284068,1641595,2076270,2374712,2507183,2731111,2643946,2553948,3218856,3658093,3833261,4758950,4781873,5062844,4928377,4440479,4518418,4727879,4633449,5747929,5831072,5803652,5587671,5459199,6638762,6899302,5333036,6803559,6925916,8670065,10316467,11157898,11849097,9535679,9114589,9613594,7949000,7462000,8858498,9007182,9902185,10112520,12488304,13792519,9817957,26097277
CO,1218,0,2319,0,3301,0,4620,0,6003,6535,6121,5515,6153,5677,6071,4399,11025,12226,10723,18555,20268,21036,24735,23929,24759,25799,26719,32000,33513,28837,36463,38993,52745,58115,69597,80575,86202,112292,110607,103465,91400,56184,87721,101654,116937,124085,146776,171176,123357,114514,123458,137748,146042,190026,205700,224275,271143,301043,334980,340039,205217,199853,239591,315834,457673,479445,507986,329545,360003,383513,492224,652180,717506,669054,626109,528543,782679,794659,696612,1278046
CT,10326,0,12760,0,8766,0,15200,0,12200,18646,22189,19858,25337,23190,28507,29765,30481,27469,30773,30792,38533,47064,51081,57339,67959,80071,79846,86228,119538,126796,122948,138556,139873,140365,143685,201742,199569,231139,246139,248720,349283,357364,401801,489507,616824,630687,601212,799953,679726,515879,593720,713381,701942,698918,641389,567955,534939,474512,426617,387812,149454,344684,379822,574984,634990,894317,604413,444061,507752,681415,625320,568632,627358,650014,765492,897247,770941,2065833,2062263,2607064
DE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2348,5163,7478,6741,7295,8890,9997,10185,12991,12723,11578,15079,13446,12383,17518,18585,23467,17545,22861,29036,41900,50091,40553,32914,36138,29790,44857,82480,81065,105097,119323,155400,117802,122457,128737,113748,155070,193649,166021,172562,205274,232528,240319,158703,251643,208283,217768,248869,295577,302222,308676,208677,142417,341965,262378,309644,278872,400746,318152,246175,254802,289974,244913,334805
FL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27874,147708,188778,180256,180740,194199,256189,314409,371405,402471,383827,371453,365446,454088,486925,596434,624032,725364,698825,582149,695114,755900,950235,944969,1007556,1232731,1271261,1266959,1182796,1591473,1218864,1226980,1441338,1785213,2405863,2442516,2208600,1836800,1793180,1869870,2003490,2071710,2043750,2237500,2272230,2383783,2426900,3114711,2481710,3407190
GA,6775,0,10210,0,8309,0,18177,0,14589,21781,23524,14212,13121,11574,18481,21850,20408,21116,23634,24445,24880,35953,41049,48139,59288,64608,66353,73223,84735,81688,88928,114114,132629,119353,132741,170885,203823,226125,239713,252235,267683,238834,315960,418251,418119,449176,478969,525015,478218,416558,375286,470710,521399,653296,719400,726321,739738,793173,712421,691473,568080,484139,494701,712310,890732,1017187,943042,694717,684701,670410,590676,797255,943806,1000536,981002,971898,1004298,1271270,984087,1750735
