"State_Name","First_Sum_Weight"
"Iowa_control",0.94
"Nebraska_control",0.911
"Michigan_control",0.94
"Illinois_control",0.903
"Oregon_control",0.917
"Georgia_control",0.922
"Wisconsin_control",0.923
"Arizona_control",0.928
"Indiana_control",0.947
"Maine_control",0.918
"Minnesota_control",0.923
"Pennsylvania_control",0.923
"South Carolina_control",0.917
"Colorado_control",0.919
"California_control",0.922
"Utah_control",0.922
"New Jersey_control",0.938
"New York_control",0.937
"Rhode Island_control",0.923
"Connecticut_control",0.943
"Louisiana_control",0.925
"North Carolina_control",0.934
"North Dakota_control",0.919
"Delaware_control",0.948
"Kentucky_control",0.928
"Maryland_control",0.939
"Missouri_control",0.95
