"year","sum_weight","syn_state","State_Acronym","year_effective","State_Name","real_ci_cap","Post"
1976,0.922,734.292235943862,"CA",2011,"California",1143.08259351504,0
1977,0.922,775.593722560012,"CA",2011,"California",1346.56339415049,0
1978,0.922,816.764949168742,"CA",2011,"California",1549.43901785852,0
1979,0.922,849.799112978382,"CA",2011,"California",1562.71710089138,0
1980,0.922,804.548447086505,"CA",2011,"California",1331.66821753102,0
1981,0.922,761.808876954625,"CA",2011,"California",1288.69292027304,0
1982,0.922,728.661233062179,"CA",2011,"California",1149.8788867397,0
1983,0.922,615.362128445458,"CA",2011,"California",1053.25076825512,0
1984,0.922,672.490116289253,"CA",2011,"California",1248.67216676233,0
1985,0.922,751.150514118944,"CA",2011,"California",1339.34225773794,0
1986,0.922,750.664704296124,"CA",2011,"California",1344.25439386884,0
1987,0.922,810.545786698073,"CA",2011,"California",1570.99125794286,0
1988,0.922,804.827304440773,"CA",2011,"California",1526.97038652986,0
1989,0.922,866.425824079666,"CA",2011,"California",1502.57787487006,0
1990,0.922,749.288860654211,"CA",2011,"California",1353.77643364917,0
1991,0.922,684.497779250646,"CA",2011,"California",1152.64241024097,0
1992,0.922,621.004490756346,"CA",2011,"California",1121.56869424255,0
1993,0.922,693.0612277989,"CA",2011,"California",1129.52652605483,0
1994,0.922,736.035770126273,"CA",2011,"California",1073.47170181869,0
1995,0.922,809.613843170713,"CA",2011,"California",1287.72226985439,0
1996,0.922,823.963459890268,"CA",2011,"California",1257.41110127454,0
1997,0.922,845.889141932443,"CA",2011,"California",1269.63656224317,0
1998,0.922,861.115637059411,"CA",2011,"California",1186.51103339921,0
1999,0.922,803.408562199494,"CA",2011,"California",1118.36110550007,0
2000,0.922,812.943205025308,"CA",2011,"California",1283.1468780225,0
2001,0.922,797.608719416187,"CA",2011,"California",1278.12667554676,0
2002,0.922,636.750164264445,"CA",2011,"California",961.648118554703,0
2003,0.922,636.33950693004,"CA",2011,"California",1186.50077855546,0
2004,0.922,679.023978572825,"CA",2011,"California",1165.87842187801,0
2005,0.922,877.974533855699,"CA",2011,"California",1401.67062062087,0
2006,0.922,1089.30000218714,"CA",2011,"California",1607.05225938404,0
2007,0.922,1162.99574928864,"CA",2011,"California",1679.31088013834,0
2008,0.922,1059.55406615136,"CA",2011,"California",1700.78870654423,0
2009,0.922,865.523655756965,"CA",2011,"California",1360.35028232767,0
2010,0.922,763.439728412294,"CA",2011,"California",1267.01100017728,0
2011,0.922,869.245494814006,"CA",2011,"California",1284.58161901196,1
2012,0.922,884.866699425528,"CA",2011,"California",1032.16773559983,1
2013,0.922,954.482465853941,"CA",2011,"California",947.224658376141,1
2014,0.922,913.22396859342,"CA",2011,"California",1096.99794763015,1
2015,0.922,952.482961446561,"CA",2011,"California",1104.99322570255,1
2016,0.922,871.05038956895,"CA",2011,"California",1192.15335656946,1
2017,0.922,853.277182059239,"CA",2011,"California",1186.36541659557,1
2018,0.922,948.603011487597,"CA",2011,"California",1426.53820891387,1
2019,0.922,1114.26378563692,"CA",2011,"California",1547.47289053887,1
2020,0.922,941.707022480741,"CA",2011,"California",1086.31018727484,1
2021,0.922,1341.22657030967,"CA",2011,"California",2783.20217949329,1
2022,0.922,1683.71701758109,"CA",2011,"California",4554.96347675016,1
