"year","sum_weight","syn_state","State_Acronym","year_effective","State_Name","real_ci_cap","Post"
1976,0.903,770.391648954014,"IL",1999,"Illinois",1209.04465721483,0
1977,0.903,824.705186164411,"IL",1999,"Illinois",1392.76815695568,0
1978,0.903,848.603628777535,"IL",1999,"Illinois",1263.602059417,0
1979,0.903,884.861645910415,"IL",1999,"Illinois",1478.03925350434,0
1980,0.903,844.527639699343,"IL",1999,"Illinois",2117.14745541409,0
1981,0.903,774.920157935349,"IL",1999,"Illinois",2006.84653418596,0
1982,0.903,719.212981995677,"IL",1999,"Illinois",1619.69882961694,0
1983,0.903,640.846027685963,"IL",1999,"Illinois",1107.19419912157,0
1984,0.903,695.001217891157,"IL",1999,"Illinois",990.890125737749,0
1985,0.903,789.983551461749,"IL",1999,"Illinois",1438.93280576123,0
1986,0.903,785.88474016348,"IL",1999,"Illinois",1722.10962894816,0
1987,0.903,836.548230669041,"IL",1999,"Illinois",1666.1703895695,0
1988,0.903,861.185605163812,"IL",1999,"Illinois",1806.55636593168,0
1989,0.903,909.566666583193,"IL",1999,"Illinois",1580.04100228179,0
1990,0.903,802.807857667712,"IL",1999,"Illinois",1307.75620509861,0
1991,0.903,730.36731360827,"IL",1999,"Illinois",1247.40019019996,0
1992,0.903,657.98681472893,"IL",1999,"Illinois",1238.61621903325,0
1993,0.903,737.78984732719,"IL",1999,"Illinois",1349.17714730339,0
1994,0.903,801.092153416377,"IL",1999,"Illinois",1463.8405677827,0
1995,0.903,873.080061451957,"IL",1999,"Illinois",1703.98950115775,0
1996,0.903,882.448638894742,"IL",1999,"Illinois",1801.00842469988,0
1997,0.903,905.056308872032,"IL",1999,"Illinois",1949.42295948307,0
1998,0.903,924.24197118267,"IL",1999,"Illinois",2077.18388776787,0
1999,0.903,852.189061626933,"IL",1999,"Illinois",2169.26193252167,1
2000,0.903,864.056054402402,"IL",1999,"Illinois",2200.21928746091,1
2001,0.903,840.381202678237,"IL",1999,"Illinois",2088.17348468198,1
2002,0.903,639.167713713709,"IL",1999,"Illinois",1279.41409485915,1
2003,0.903,632.151058601904,"IL",1999,"Illinois",1166.14107028639,1
2004,0.903,675.287508359538,"IL",1999,"Illinois",736.446025602315,1
2005,0.903,878.702723534871,"IL",1999,"Illinois",1214.31124441694,1
2006,0.903,1086.98826852794,"IL",1999,"Illinois",1289.92294406193,1
2007,0.903,1145.94014628593,"IL",1999,"Illinois",1528.04739870427,1
2008,0.903,1073.22192633523,"IL",1999,"Illinois",928.390573928485,1
2009,0.903,862.707643844391,"IL",1999,"Illinois",853.238436303195,1
2010,0.903,775.577221701211,"IL",1999,"Illinois",1314.44540877822,1
2011,0.903,844.897788505828,"IL",1999,"Illinois",1020.26192019732,1
2012,0.903,859.153234866344,"IL",1999,"Illinois",1243.62019983423,1
2013,0.903,920.219240749458,"IL",1999,"Illinois",1563.6648381503,1
2014,0.903,895.41657929959,"IL",1999,"Illinois",1532.11407630442,1
2015,0.903,954.748607008029,"IL",1999,"Illinois",1716.34343699099,1
2016,0.903,871.096712226279,"IL",1999,"Illinois",1150.07063312426,1
2017,0.903,871.57845573868,"IL",1999,"Illinois",1185.24331152415,1
2018,0.903,963.744054456243,"IL",1999,"Illinois",1093.535135028,1
2019,0.903,1124.40021532196,"IL",1999,"Illinois",1242.44862613379,1
2020,0.903,948.846738966315,"IL",1999,"Illinois",1110.31556427003,1
2021,0.903,1345.52739899278,"IL",1999,"Illinois",1753.87521484054,1
2022,0.903,1635.72071022737,"IL",1999,"Illinois",2752.74007702336,1
