"year","sum_weight","syn_state","State_Acronym","year_effective","State_Name","real_ci_cap","Post"
1976,0.94,792.725253368357,"IA",1978,"Iowa",471.17370006151,0
1977,0.94,833.734247255294,"IA",1978,"Iowa",520.461522763983,0
1978,0.94,858.104942573713,"IA",1978,"Iowa",572.700981914784,1
1979,0.94,1417.81288369799,"IA",1978,"Iowa",614.476430353329,1
1980,0.94,1949.051875076,"IA",1978,"Iowa",577.073285665213,1
1981,0.94,2373.24798997883,"IA",1978,"Iowa",513.99800815444,1
1982,0.94,1824.17886562886,"IA",1978,"Iowa",527.842108678042,1
1983,0.94,958.685521678048,"IA",1978,"Iowa",484.365350480749,1
1984,0.94,1029.15860885031,"IA",1978,"Iowa",444.741987026824,1
1985,0.94,955.857657775361,"IA",1978,"Iowa",507.143469759091,1
1986,0.94,911.230848146571,"IA",1978,"Iowa",452.902091030667,1
1987,0.94,918.974520563804,"IA",1978,"Iowa",475.935590456455,1
1988,0.94,953.278414903162,"IA",1978,"Iowa",482.564442863027,1
1989,0.94,1290.20012374145,"IA",1978,"Iowa",589.966495107509,1
1990,0.94,889.277064358258,"IA",1978,"Iowa",549.268695281267,1
1991,0.94,879.335419287258,"IA",1978,"Iowa",531.161305332324,1
1992,0.94,757.47256530601,"IA",1978,"Iowa",489.62028646162,1
1993,0.94,1361.87027110077,"IA",1978,"Iowa",409.862590000408,1
1994,0.94,830.921887297139,"IA",1978,"Iowa",415.636884759144,1
1995,0.94,1164.24889591454,"IA",1978,"Iowa",509.704345748837,1
1996,0.94,1016.14570963902,"IA",1978,"Iowa",454.055629372235,1
1997,0.94,1032.94586958176,"IA",1978,"Iowa",482.484733096542,1
1998,0.94,999.268074482673,"IA",1978,"Iowa",422.091207498192,1
1999,0.94,896.490550750509,"IA",1978,"Iowa",490.624082782262,1
2000,0.94,1046.15209969129,"IA",1978,"Iowa",425.478268472758,1
2001,0.94,997.794438100345,"IA",1978,"Iowa",267.602083983918,1
2002,0.94,758.198852145017,"IA",1978,"Iowa",139.412825842241,1
2003,0.94,713.862560936087,"IA",1978,"Iowa",215.567160140169,1
2004,0.94,825.214430008187,"IA",1978,"Iowa",134.162774545969,1
2005,0.94,1142.59905254781,"IA",1978,"Iowa",268.39748176019,1
2006,0.94,1448.22965061833,"IA",1978,"Iowa",394.943610593886,1
2007,0.94,1494.88074287072,"IA",1978,"Iowa",435.622746377942,1
2008,0.94,1607.78128260601,"IA",1978,"Iowa",445.524311509487,1
2009,0.94,1105.65610939477,"IA",1978,"Iowa",338.584219208821,1
2010,0.94,999.723221963844,"IA",1978,"Iowa",240.684174868768,1
2011,0.94,1121.22712456442,"IA",1978,"Iowa",302.332453605446,1
2012,0.94,1102.53004143871,"IA",1978,"Iowa",502.266161083765,1
2013,0.94,1150.91637598304,"IA",1978,"Iowa",495.49280975976,1
2014,0.94,1018.44121506965,"IA",1978,"Iowa",439.863272332594,1
2015,0.94,980.304804445749,"IA",1978,"Iowa",521.597241009249,1
2016,0.94,837.464497887759,"IA",1978,"Iowa",417.629479858022,1
2017,0.94,831.847752273564,"IA",1978,"Iowa",467.194871200443,1
2018,0.94,957.264178679967,"IA",1978,"Iowa",466.928282702009,1
2019,0.94,1162.8452870814,"IA",1978,"Iowa",552.541895729659,1
2020,0.94,944.863986809739,"IA",1978,"Iowa",626.115235426878,1
2021,0.94,1294.44424401919,"IA",1978,"Iowa",934.557343041562,1
2022,0.94,1715.10312871464,"IA",1978,"Iowa",937.326567900028,1
