"year","sum_weight","syn_state","State_Acronym","year_effective","State_Name","real_ci_cap","Post"
1976,0.928,739.599325686078,"KY",2018,"Kentucky",1157.22556202871,0
1977,0.928,781.774478692374,"KY",2018,"Kentucky",1044.9480222121,0
1978,0.928,824.157775604236,"KY",2018,"Kentucky",1015.25216888236,0
1979,0.928,856.135969634982,"KY",2018,"Kentucky",1065.33405340921,0
1980,0.928,809.767605942238,"KY",2018,"Kentucky",907.067107073866,0
1981,0.928,768.989255591867,"KY",2018,"Kentucky",773.221386054724,0
1982,0.928,734.770952551092,"KY",2018,"Kentucky",782.172146700047,0
1983,0.928,618.355910072005,"KY",2018,"Kentucky",779.59125451132,0
1984,0.928,673.401642379126,"KY",2018,"Kentucky",860.602912035279,0
1985,0.928,751.968788960565,"KY",2018,"Kentucky",733.030999884663,0
1986,0.928,750.619556174433,"KY",2018,"Kentucky",796.919658952317,0
1987,0.928,809.093458187004,"KY",2018,"Kentucky",881.391423249621,0
1988,0.928,801.980001843047,"KY",2018,"Kentucky",810.330473499573,0
1989,0.928,864.505841458173,"KY",2018,"Kentucky",940.146946949417,0
1990,0.928,747.805537071643,"KY",2018,"Kentucky",798.751006948975,0
1991,0.928,684.692884407822,"KY",2018,"Kentucky",789.003767253669,0
1992,0.928,621.88891293693,"KY",2018,"Kentucky",623.352868460993,0
1993,0.928,692.961175034641,"KY",2018,"Kentucky",563.551620337024,0
1994,0.928,735.406829874023,"KY",2018,"Kentucky",575.611633733907,0
1995,0.928,808.459349835434,"KY",2018,"Kentucky",703.316898774497,0
1996,0.928,822.254114853359,"KY",2018,"Kentucky",566.776143823825,0
1997,0.928,844.871945866656,"KY",2018,"Kentucky",565.767846558327,0
1998,0.928,859.772863968058,"KY",2018,"Kentucky",630.669495500963,0
1999,0.928,801.378577651699,"KY",2018,"Kentucky",573.235721439025,0
2000,0.928,810.675886870399,"KY",2018,"Kentucky",532.748825333685,0
2001,0.928,794.178152482618,"KY",2018,"Kentucky",608.007008116473,0
2002,0.928,633.340068798783,"KY",2018,"Kentucky",497.733952289743,0
2003,0.928,631.158803590397,"KY",2018,"Kentucky",591.328061621872,0
2004,0.928,675.541722206529,"KY",2018,"Kentucky",590.489276332407,0
2005,0.928,873.485742771533,"KY",2018,"Kentucky",710.017758411434,0
2006,0.928,1086.84740641643,"KY",2018,"Kentucky",1682.20864144517,0
2007,0.928,1164.45319190377,"KY",2018,"Kentucky",1599.30025161614,0
2008,0.928,1056.97915114632,"KY",2018,"Kentucky",962.928329691671,0
2009,0.928,862.746756142586,"KY",2018,"Kentucky",701.154781792637,0
2010,0.928,759.576629611648,"KY",2018,"Kentucky",674.631744693906,0
2011,0.928,867.384664454811,"KY",2018,"Kentucky",875.61064094275,0
2012,0.928,885.234315976694,"KY",2018,"Kentucky",951.539131831183,0
2013,0.928,956.185971219212,"KY",2018,"Kentucky",1050.16989633329,0
2014,0.928,912.189425482579,"KY",2018,"Kentucky",1075.02015203389,0
2015,0.928,951.434148508152,"KY",2018,"Kentucky",1193.76015285467,0
2016,0.928,868.541192816227,"KY",2018,"Kentucky",949.043547236854,0
2017,0.928,848.93847221834,"KY",2018,"Kentucky",699.916414832636,0
2018,0.928,943.140673773208,"KY",2018,"Kentucky",1114.32230182343,1
2019,0.928,1108.53113479232,"KY",2018,"Kentucky",1334.10728503768,1
2020,0.928,936.032208714955,"KY",2018,"Kentucky",1095.68367648199,1
2021,0.928,1334.82076662062,"KY",2018,"Kentucky",1516.38533048692,1
2022,0.928,1682.06757134668,"KY",2018,"Kentucky",1769.81315185641,1
