"year","sum_weight","syn_state","State_Acronym","year_effective","State_Name","real_ci_cap","Post"
1976,0.925,809.305900606192,"LA",2016,"Louisiana",975.813254951413,0
1977,0.925,865.943641838253,"LA",2016,"Louisiana",978.805098593292,0
1978,0.925,884.998120738962,"LA",2016,"Louisiana",880.965846086384,0
1979,0.925,908.835837659076,"LA",2016,"Louisiana",890.841106304088,0
1980,0.925,866.071245459411,"LA",2016,"Louisiana",895.653040840649,0
1981,0.925,826.600186499445,"LA",2016,"Louisiana",855.944087258753,0
1982,0.925,742.172856402425,"LA",2016,"Louisiana",868.852561820169,0
1983,0.925,644.868720111395,"LA",2016,"Louisiana",917.632118493897,0
1984,0.925,675.835005316279,"LA",2016,"Louisiana",716.575129761126,0
1985,0.925,774.569611357996,"LA",2016,"Louisiana",773.744585545178,0
1986,0.925,768.463890491794,"LA",2016,"Louisiana",682.753406598582,0
1987,0.925,768.839801130627,"LA",2016,"Louisiana",484.272681479596,0
1988,0.925,812.691854671452,"LA",2016,"Louisiana",541.746948930822,0
1989,0.925,871.311204752029,"LA",2016,"Louisiana",816.768307006491,0
1990,0.925,781.411037793957,"LA",2016,"Louisiana",893.055492393664,0
1991,0.925,720.310831242284,"LA",2016,"Louisiana",706.910416945723,0
1992,0.925,660.21121513364,"LA",2016,"Louisiana",484.105798519801,0
1993,0.925,715.835176712081,"LA",2016,"Louisiana",495.183907931424,0
1994,0.925,773.85583640612,"LA",2016,"Louisiana",429.297238129664,0
1995,0.925,832.492983863917,"LA",2016,"Louisiana",536.467048885608,0
1996,0.925,836.415433592317,"LA",2016,"Louisiana",601.436060859896,0
1997,0.925,861.316872874492,"LA",2016,"Louisiana",680.405278024133,0
1998,0.925,865.989545376455,"LA",2016,"Louisiana",631.934782448938,0
1999,0.925,790.751082176198,"LA",2016,"Louisiana",491.368850598198,0
2000,0.925,788.946591679469,"LA",2016,"Louisiana",360.375172851943,0
2001,0.925,743.732346988982,"LA",2016,"Louisiana",461.923548985662,0
2002,0.925,536.691511392032,"LA",2016,"Louisiana",408.52894827973,0
2003,0.925,504.417754539865,"LA",2016,"Louisiana",298.597718421319,0
2004,0.925,570.304196789548,"LA",2016,"Louisiana",344.139014665135,0
2005,0.925,767.662229713482,"LA",2016,"Louisiana",492.46183962018,0
2006,0.925,989.460011871497,"LA",2016,"Louisiana",729.426916271291,0
2007,0.925,1077.34534020111,"LA",2016,"Louisiana",1037.1726009886,0
2008,0.925,969.01475485097,"LA",2016,"Louisiana",920.418457958548,0
2009,0.925,772.884998083438,"LA",2016,"Louisiana",794.584510285663,0
2010,0.925,665.310088924577,"LA",2016,"Louisiana",495.764350541775,0
2011,0.925,748.115900182442,"LA",2016,"Louisiana",238.897215337728,0
2012,0.925,779.394913321916,"LA",2016,"Louisiana",343.539518507866,0
2013,0.925,854.946521082396,"LA",2016,"Louisiana",292.796466814854,0
2014,0.925,805.012203324911,"LA",2016,"Louisiana",546.901036777166,0
2015,0.925,854.963069392337,"LA",2016,"Louisiana",286.634042067536,0
2016,0.925,765.535511090854,"LA",2016,"Louisiana",190.888381512916,1
2017,0.925,751.64059970919,"LA",2016,"Louisiana",317.866481005947,1
2018,0.925,796.041904991183,"LA",2016,"Louisiana",382.283921430642,1
2019,0.925,945.73513922298,"LA",2016,"Louisiana",519.962174312667,1
2020,0.925,783.387773326984,"LA",2016,"Louisiana",467.660995107838,1
2021,0.925,1171.71552815587,"LA",2016,"Louisiana",585.969905352663,1
2022,0.925,1499.04492407655,"LA",2016,"Louisiana",1032.6684082817,1
