"year","sum_weight","syn_state","State_Acronym","year_effective","State_Name","real_ci_cap","Post"
1976,0.923,786.777869172281,"MN",2007,"Minnesota",725.637017512558,0
1977,0.923,840.983025968642,"MN",2007,"Minnesota",889.655886531441,0
1978,0.923,865.28496181994,"MN",2007,"Minnesota",932.177040805886,0
1979,0.923,902.363329057043,"MN",2007,"Minnesota",1010.96874500144,0
1980,0.923,861.544854439856,"MN",2007,"Minnesota",943.778182341431,0
1981,0.923,790.88243922388,"MN",2007,"Minnesota",739.604477382063,0
1982,0.923,732.972808690988,"MN",2007,"Minnesota",679.933324959972,0
1983,0.923,651.749055894871,"MN",2007,"Minnesota",513.084367428906,0
1984,0.923,707.180408915931,"MN",2007,"Minnesota",589.328985032138,0
1985,0.923,804.433168782298,"MN",2007,"Minnesota",709.384162818925,0
1986,0.923,798.946632867954,"MN",2007,"Minnesota",664.133552464946,0
1987,0.923,850.561649029798,"MN",2007,"Minnesota",925.486403687446,0
1988,0.923,876.429891473611,"MN",2007,"Minnesota",853.229074129871,0
1989,0.923,926.055740689337,"MN",2007,"Minnesota",954.590870868603,0
1990,0.923,818.54544792095,"MN",2007,"Minnesota",884.546414348431,0
1991,0.923,745.575232183591,"MN",2007,"Minnesota",775.474616550033,0
1992,0.923,671.06327666913,"MN",2007,"Minnesota",687.717429944993,0
1993,0.923,751.70055351936,"MN",2007,"Minnesota",795.749980411072,0
1994,0.923,815.651988811064,"MN",2007,"Minnesota",832.120384758198,0
1995,0.923,888.72284543938,"MN",2007,"Minnesota",967.904360211222,0
1996,0.923,898.458165730678,"MN",2007,"Minnesota",983.846226780502,0
1997,0.923,921.389850750305,"MN",2007,"Minnesota",948.329381191788,0
1998,0.923,940.414156017283,"MN",2007,"Minnesota",997.604105187139,0
1999,0.923,867.221028853273,"MN",2007,"Minnesota",999.343788310014,0
2000,0.923,879.368425904203,"MN",2007,"Minnesota",964.888933703794,0
2001,0.923,855.09092130864,"MN",2007,"Minnesota",846.439087287266,0
2002,0.923,650.211135266008,"MN",2007,"Minnesota",603.381407921719,0
2003,0.923,642.972014294695,"MN",2007,"Minnesota",654.680258698665,0
2004,0.923,687.277794891264,"MN",2007,"Minnesota",676.524520474781,0
2005,0.923,895.226175158285,"MN",2007,"Minnesota",953.090927600763,0
2006,0.923,1107.25880472503,"MN",2007,"Minnesota",1050.70881905162,0
2007,0.923,1166.47572840201,"MN",2007,"Minnesota",1118.83575707474,1
2008,0.923,1092.04935278884,"MN",2007,"Minnesota",939.819838548388,1
2009,0.923,878.022239605243,"MN",2007,"Minnesota",701.628107793593,1
2010,0.923,788.7627346733,"MN",2007,"Minnesota",635.941193332344,1
2011,0.923,859.498884214765,"MN",2007,"Minnesota",851.559823998736,1
2012,0.923,874.265690514867,"MN",2007,"Minnesota",881.047124994855,1
2013,0.923,937.230273540596,"MN",2007,"Minnesota",989.596535373085,1
2014,0.923,911.91591159021,"MN",2007,"Minnesota",1047.92848216882,1
2015,0.923,972.046291947179,"MN",2007,"Minnesota",1159.22627532832,1
2016,0.923,886.733648714238,"MN",2007,"Minnesota",1166.27731279247,1
2017,0.923,887.990926772887,"MN",2007,"Minnesota",917.171102015572,1
2018,0.923,980.560389432624,"MN",2007,"Minnesota",983.171364345815,1
2019,0.923,1143.8819393724,"MN",2007,"Minnesota",1211.29604381693,1
2020,0.923,964.616604905722,"MN",2007,"Minnesota",1107.73866099246,1
2021,0.923,1369.01956972073,"MN",2007,"Minnesota",1596.00059683718,1
2022,0.923,1665.65579638179,"MN",2007,"Minnesota",2886.03973926183,1
