"year","sum_weight","syn_state","State_Acronym","year_effective","State_Name","real_ci_cap","Post"
1976,0.95,841.847702388416,"MO",2020,"Missouri",607.828662990193,0
1977,0.95,902.603654370069,"MO",2020,"Missouri",717.808122908285,0
1978,0.95,920.674813133813,"MO",2020,"Missouri",702.358394037356,0
1979,0.95,945.006354322892,"MO",2020,"Missouri",728.757957220893,0
1980,0.95,899.735531570367,"MO",2020,"Missouri",666.237643479499,0
1981,0.95,857.648048793617,"MO",2020,"Missouri",572.272835191283,0
1982,0.95,768.587223527204,"MO",2020,"Missouri",517.444037055391,0
1983,0.95,670.947787780391,"MO",2020,"Missouri",481.827823721427,0
1984,0.95,701.292685392663,"MO",2020,"Missouri",640.905176443725,0
1985,0.95,802.697095098618,"MO",2020,"Missouri",596.860201601744,0
1986,0.95,798.148899441774,"MO",2020,"Missouri",632.843088847919,0
1987,0.95,799.170328555088,"MO",2020,"Missouri",819.4127404061,0
1988,0.95,845.278722462004,"MO",2020,"Missouri",745.972804461357,0
1989,0.95,904.334423778761,"MO",2020,"Missouri",769.845147895436,0
1990,0.95,809.184614820784,"MO",2020,"Missouri",508.531633745212,0
1991,0.95,746.267915539304,"MO",2020,"Missouri",492.226119240642,0
1992,0.95,684.430066303053,"MO",2020,"Missouri",485.032673751232,0
1993,0.95,741.113358176682,"MO",2020,"Missouri",391.738025769099,0
1994,0.95,805.181561236576,"MO",2020,"Missouri",515.957887656302,0
1995,0.95,864.949037954595,"MO",2020,"Missouri",728.403994208224,0
1996,0.95,868.45076482795,"MO",2020,"Missouri",808.418090928834,0
1997,0.95,894.679215682513,"MO",2020,"Missouri",757.824898390894,0
1998,0.95,900.046111679407,"MO",2020,"Missouri",646.092513181369,0
1999,0.95,818.445895379146,"MO",2020,"Missouri",485.64720637775,0
2000,0.95,817.644438399948,"MO",2020,"Missouri",439.89066624842,0
2001,0.95,768.622125376109,"MO",2020,"Missouri",378.378479155576,0
2002,0.95,551.194533414433,"MO",2020,"Missouri",470.892272374486,0
2003,0.95,517.58001611166,"MO",2020,"Missouri",313.333605297604,0
2004,0.95,585.439955693656,"MO",2020,"Missouri",330.634280798709,0
2005,0.95,785.837671070444,"MO",2020,"Missouri",308.765761734102,0
2006,0.95,1014.48193124598,"MO",2020,"Missouri",466.854127162779,0
2007,0.95,1105.74168171449,"MO",2020,"Missouri",512.02259708979,0
2008,0.95,996.323032768968,"MO",2020,"Missouri",481.729834286768,0
2009,0.95,792.8204294467,"MO",2020,"Missouri",348.632955414888,0
2010,0.95,686.092332021073,"MO",2020,"Missouri",253.232779059042,0
2011,0.95,767.411073786991,"MO",2020,"Missouri",382.908020802225,0
2012,0.95,801.448452346466,"MO",2020,"Missouri",348.880209128017,0
2013,0.95,877.664794838156,"MO",2020,"Missouri",428.77639852124,0
2014,0.95,827.658944370544,"MO",2020,"Missouri",399.01891666137,0
2015,0.95,880.04095102983,"MO",2020,"Missouri",473.092431497397,0
2016,0.95,789.64425853932,"MO",2020,"Missouri",359.772001618803,0
2017,0.95,775.077715653077,"MO",2020,"Missouri",328.372223172235,0
2018,0.95,820.481546346834,"MO",2020,"Missouri",347.114378303296,0
2019,0.95,974.957601653178,"MO",2020,"Missouri",376.095781546609,0
2020,0.95,806.516393792298,"MO",2020,"Missouri",572.031038805343,1
2021,0.95,1206.46127349131,"MO",2020,"Missouri",1027.00439070881,1
2022,0.95,1548.35446588017,"MO",2020,"Missouri",1039.90719824037,1
