"year","sum_weight","syn_state","State_Acronym","year_effective","State_Name","real_ci_cap","Post"
1976,0.937,740.634025091329,"NY",2015,"New York",1109.65652110656,0
1977,0.937,785.99123026537,"NY",2015,"New York",1199.69297384776,0
1978,0.937,830.125537714082,"NY",2015,"New York",1166.41208959363,0
1979,0.937,862.508742925317,"NY",2015,"New York",958.243618427569,0
1980,0.937,815.377225786999,"NY",2015,"New York",853.429739567261,0
1981,0.937,771.526702785959,"NY",2015,"New York",954.951027409867,0
1982,0.937,741.639470128548,"NY",2015,"New York",790.64646947582,0
1983,0.937,627.826947967165,"NY",2015,"New York",760.100498148479,0
1984,0.937,687.731121012536,"NY",2015,"New York",826.900084745388,0
1985,0.937,765.236101118878,"NY",2015,"New York",971.580983837472,0
1986,0.937,764.085421808063,"NY",2015,"New York",973.055732271058,0
1987,0.937,823.787881319047,"NY",2015,"New York",1173.23174314376,0
1988,0.937,818.314242131125,"NY",2015,"New York",1137.1753212372,0
1989,0.937,881.802147178679,"NY",2015,"New York",1000.99685586795,0
1990,0.937,762.656185348074,"NY",2015,"New York",890.329374326521,0
1991,0.937,695.744385423503,"NY",2015,"New York",918.677307443175,0
1992,0.937,632.91703234014,"NY",2015,"New York",1103.17534318773,0
1993,0.937,709.165952154024,"NY",2015,"New York",1117.97642871049,0
1994,0.937,752.488231135313,"NY",2015,"New York",1288.3469802846,0
1995,0.937,829.756642656431,"NY",2015,"New York",1130.53870445844,0
1996,0.937,843.419131299976,"NY",2015,"New York",1065.47330958193,0
1997,0.937,867.568642408587,"NY",2015,"New York",1160.75771349476,0
1998,0.937,884.419413284759,"NY",2015,"New York",1174.01710177307,0
1999,0.937,826.534197097768,"NY",2015,"New York",1058.51148745544,0
2000,0.937,835.168733771858,"NY",2015,"New York",996.49999219251,0
2001,0.937,821.981370515098,"NY",2015,"New York",1183.39109069145,0
2002,0.937,660.115799709788,"NY",2015,"New York",874.433922554754,0
2003,0.937,660.860231234482,"NY",2015,"New York",789.449464905406,0
2004,0.937,700.408402112604,"NY",2015,"New York",752.726371407928,0
2005,0.937,904.08026945433,"NY",2015,"New York",993.674086688004,0
2006,0.937,1118.68902189315,"NY",2015,"New York",1391.04441282536,0
2007,0.937,1198.17516700693,"NY",2015,"New York",1820.41561411252,0
2008,0.937,1092.64248498344,"NY",2015,"New York",1715.34959569021,0
2009,0.937,894.431388716544,"NY",2015,"New York",1505.56289208934,0
2010,0.937,787.041874725283,"NY",2015,"New York",1296.9380715403,0
2011,0.937,895.908983550532,"NY",2015,"New York",1289.42923623349,0
2012,0.937,910.465459634137,"NY",2015,"New York",1431.55831262992,0
2013,0.937,982.274730184063,"NY",2015,"New York",1515.7996306432,0
2014,0.937,939.762188250761,"NY",2015,"New York",1471.72261266987,0
2015,0.937,982.216152823802,"NY",2015,"New York",1536.94858922618,1
2016,0.937,895.683551498221,"NY",2015,"New York",1365.10313612848,1
2017,0.937,873.92332949805,"NY",2015,"New York",1289.7335175919,1
2018,0.937,977.222132938941,"NY",2015,"New York",965.515483070781,1
2019,0.937,1145.92212591304,"NY",2015,"New York",1328.43609684784,1
2020,0.937,973.470781637924,"NY",2015,"New York",1426.39371296686,1
2021,0.937,1380.59042144955,"NY",2015,"New York",1416.69047149017,1
2022,0.937,1724.66191408679,"NY",2015,"New York",1864.05104942776,1
