"year","sum_weight","syn_state","State_Acronym","year_effective","State_Name","real_ci_cap","Post"
1976,0.934,814.323097842827,"NC",2016,"North Carolina",818.261580850133,0
1977,0.934,871.526278127633,"NC",2016,"North Carolina",988.20835777704,0
1978,0.934,888.938749502509,"NC",2016,"North Carolina",1021.20032322721,0
1979,0.934,913.973233635512,"NC",2016,"North Carolina",1004.36285925836,0
1980,0.934,871.635886187728,"NC",2016,"North Carolina",1000.36492513691,0
1981,0.934,828.857030824092,"NC",2016,"North Carolina",861.673762512872,0
1982,0.934,747.703474009827,"NC",2016,"North Carolina",796.141361924801,0
1983,0.934,653.324148038391,"NC",2016,"North Carolina",844.062926305555,0
1984,0.934,688.330136356483,"NC",2016,"North Carolina",957.796909460429,0
1985,0.934,787.84852747451,"NC",2016,"North Carolina",1214.33956690784,0
1986,0.934,785.019615335478,"NC",2016,"North Carolina",1231.86532303498,0
1987,0.934,786.396150491981,"NC",2016,"North Carolina",1112.44162823498,0
1988,0.934,829.060141296001,"NC",2016,"North Carolina",1179.61348346731,0
1989,0.934,889.15275350492,"NC",2016,"North Carolina",1384.95551698586,0
1990,0.934,792.029691818566,"NC",2016,"North Carolina",1005.48439661979,0
1991,0.934,727.898811195295,"NC",2016,"North Carolina",701.8930622033,0
1992,0.934,669.416977914311,"NC",2016,"North Carolina",866.756529248815,0
1993,0.934,728.411150978953,"NC",2016,"North Carolina",913.41480231619,0
1994,0.934,785.801856266447,"NC",2016,"North Carolina",909.090409200255,0
1995,0.934,848.143170117345,"NC",2016,"North Carolina",1067.56358807097,0
1996,0.934,852.022395153856,"NC",2016,"North Carolina",1057.03967908694,0
1997,0.934,874.47067375837,"NC",2016,"North Carolina",1097.4603397749,0
1998,0.934,881.646116886732,"NC",2016,"North Carolina",1121.14764701236,0
1999,0.934,806.564578885889,"NC",2016,"North Carolina",1031.77188341776,0
2000,0.934,802.990542076125,"NC",2016,"North Carolina",1246.73049305222,0
2001,0.934,757.821937420619,"NC",2016,"North Carolina",721.277361929099,0
2002,0.934,548.063186952169,"NC",2016,"North Carolina",646.442539391084,0
2003,0.934,523.51812741173,"NC",2016,"North Carolina",840.130540211255,0
2004,0.934,587.360741326386,"NC",2016,"North Carolina",750.865795238734,0
2005,0.934,785.48775275233,"NC",2016,"North Carolina",1084.28032070183,0
2006,0.934,1008.17053676599,"NC",2016,"North Carolina",1054.49254446698,0
2007,0.934,1094.35864931929,"NC",2016,"North Carolina",1200.12795979045,0
2008,0.934,988.760178828709,"NC",2016,"North Carolina",872.313310444191,0
2009,0.934,789.196198559444,"NC",2016,"North Carolina",644.430486146713,0
2010,0.934,684.440346934913,"NC",2016,"North Carolina",898.467790365894,0
2011,0.934,768.879569262806,"NC",2016,"North Carolina",728.469801907088,0
2012,0.934,798.625153646015,"NC",2016,"North Carolina",789.751763169476,0
2013,0.934,871.337699970278,"NC",2016,"North Carolina",812.443650021848,0
2014,0.934,827.627059174755,"NC",2016,"North Carolina",963.952570386969,0
2015,0.934,878.426070796399,"NC",2016,"North Carolina",1118.30841981099,0
2016,0.934,789.994139071907,"NC",2016,"North Carolina",1093.22791036514,1
2017,0.934,775.434559547469,"NC",2016,"North Carolina",1001.85652316526,1
2018,0.934,819.412513817265,"NC",2016,"North Carolina",948.530052571576,1
2019,0.934,972.568781780826,"NC",2016,"North Carolina",1246.17081564737,1
2020,0.934,807.215656396759,"NC",2016,"North Carolina",979.231839027674,1
2021,0.934,1202.15755590703,"NC",2016,"North Carolina",2117.29750877031,1
2022,0.934,1527.75016871037,"NC",2016,"North Carolina",2084.34553536072,1
