"year","sum_weight","syn_state","State_Acronym","year_effective","State_Name","real_ci_cap","Post"
1976,0.917,767.66819695699,"OR",2004,"Oregon",757.810195438262,0
1977,0.917,855.747559613771,"OR",2004,"Oregon",877.790450620471,0
1978,0.917,894.535506638417,"OR",2004,"Oregon",1018.91454877368,0
1979,0.917,912.82663811906,"OR",2004,"Oregon",1178.23755426672,0
1980,0.917,852.371210138563,"OR",2004,"Oregon",1086.98134442391,0
1981,0.917,803.320188523179,"OR",2004,"Oregon",854.930340812913,0
1982,0.917,758.573986774901,"OR",2004,"Oregon",643.794259389023,0
1983,0.917,679.821206275975,"OR",2004,"Oregon",631.281944734615,0
1984,0.917,714.339102741686,"OR",2004,"Oregon",693.307266808838,0
1985,0.917,793.48301318516,"OR",2004,"Oregon",713.185500497294,0
1986,0.917,794.472741038446,"OR",2004,"Oregon",733.17435751553,0
1987,0.917,809.188722840048,"OR",2004,"Oregon",673.430131332648,0
1988,0.917,834.747410021432,"OR",2004,"Oregon",780.465858464731,0
1989,0.917,888.708592875388,"OR",2004,"Oregon",691.02174142961,0
1990,0.917,774.254733269744,"OR",2004,"Oregon",599.325224665799,0
1991,0.917,695.333304176092,"OR",2004,"Oregon",568.178384600495,0
1992,0.917,659.719395875471,"OR",2004,"Oregon",552.548521459609,0
1993,0.917,747.421176557263,"OR",2004,"Oregon",708.470932701904,0
1994,0.917,807.162688514665,"OR",2004,"Oregon",873.236215180318,0
1995,0.917,893.442801081538,"OR",2004,"Oregon",987.417774818417,0
1996,0.917,890.984772974197,"OR",2004,"Oregon",908.10412859705,0
1997,0.917,925.140673629045,"OR",2004,"Oregon",1117.92802385207,0
1998,0.917,946.942894397234,"OR",2004,"Oregon",790.739352776551,0
1999,0.917,870.418426697359,"OR",2004,"Oregon",889.62807331661,0
2000,0.917,871.313414079101,"OR",2004,"Oregon",1044.35897689946,0
2001,0.917,849.026023746383,"OR",2004,"Oregon",795.974801711815,0
2002,0.917,649.259027269479,"OR",2004,"Oregon",470.456521793355,0
2003,0.917,639.018734642969,"OR",2004,"Oregon",523.455165871934,0
2004,0.917,676.452297125674,"OR",2004,"Oregon",719.216111077737,1
2005,0.917,860.12702964467,"OR",2004,"Oregon",784.453354991674,1
2006,0.917,1084.24203808277,"OR",2004,"Oregon",897.267368134186,1
2007,0.917,1202.30894763225,"OR",2004,"Oregon",796.740326025378,1
2008,0.917,1094.72246838855,"OR",2004,"Oregon",890.90241095008,1
2009,0.917,888.735627204562,"OR",2004,"Oregon",377.618732444161,1
2010,0.917,781.819285140537,"OR",2004,"Oregon",534.862713849079,1
2011,0.917,874.570441670193,"OR",2004,"Oregon",707.813394853082,1
2012,0.917,897.51339208421,"OR",2004,"Oregon",636.449812102004,1
2013,0.917,962.713896377359,"OR",2004,"Oregon",661.737185531772,1
2014,0.917,911.634976938394,"OR",2004,"Oregon",693.989184646375,1
2015,0.917,988.059180687141,"OR",2004,"Oregon",858.891148869106,1
2016,0.917,883.577620467052,"OR",2004,"Oregon",848.971055171488,1
2017,0.917,840.286858429392,"OR",2004,"Oregon",819.366314318562,1
2018,0.917,952.745009975839,"OR",2004,"Oregon",1007.59161722722,1
2019,0.917,1109.25667788622,"OR",2004,"Oregon",1111.98952538076,1
2020,0.917,975.297671617089,"OR",2004,"Oregon",1068.86269528604,1
2021,0.917,1365.57253653624,"OR",2004,"Oregon",1395.81630597161,1
2022,0.917,1689.35753367434,"OR",2004,"Oregon",1579.12071044225,1
