"year","sum_weight","syn_state","State_Acronym","year_effective","State_Name","real_ci_cap","Post"
1976,0.923,798.281510326786,"PA",2007,"Pennsylvania",959.197252637086,0
1977,0.923,854.387638853569,"PA",2007,"Pennsylvania",972.658609369829,0
1978,0.923,873.649540014207,"PA",2007,"Pennsylvania",967.676587267227,0
1979,0.923,897.336841122397,"PA",2007,"Pennsylvania",942.061182843073,0
1980,0.923,855.007381488882,"PA",2007,"Pennsylvania",839.154275288977,0
1981,0.923,815.123897485501,"PA",2007,"Pennsylvania",726.21689158201,0
1982,0.923,736.720516581439,"PA",2007,"Pennsylvania",724.635206681835,0
1983,0.923,640.753096596742,"PA",2007,"Pennsylvania",670.529344093071,0
1984,0.923,674.393994736957,"PA",2007,"Pennsylvania",671.307202690116,0
1985,0.923,771.448663013376,"PA",2007,"Pennsylvania",783.707841109546,0
1986,0.923,767.315175194544,"PA",2007,"Pennsylvania",785.141986160949,0
1987,0.923,767.811241438869,"PA",2007,"Pennsylvania",890.707675247059,0
1988,0.923,808.392569729929,"PA",2007,"Pennsylvania",878.515181226489,0
1989,0.923,868.830892524505,"PA",2007,"Pennsylvania",934.884030870901,0
1990,0.923,774.221284270961,"PA",2007,"Pennsylvania",828.409460543527,0
1991,0.923,711.610591899679,"PA",2007,"Pennsylvania",507.847682058097,0
1992,0.923,656.127891220978,"PA",2007,"Pennsylvania",788.579197494563,0
1993,0.923,714.089627510405,"PA",2007,"Pennsylvania",690.749890185105,0
1994,0.923,768.56779046803,"PA",2007,"Pennsylvania",679.835149915706,0
1995,0.923,831.333060477067,"PA",2007,"Pennsylvania",925.89692148049,0
1996,0.923,835.113291938809,"PA",2007,"Pennsylvania",838.203649426809,0
1997,0.923,857.200088695767,"PA",2007,"Pennsylvania",860.044555094424,0
1998,0.923,863.689447232808,"PA",2007,"Pennsylvania",840.895885564939,0
1999,0.923,791.300538343247,"PA",2007,"Pennsylvania",770.322740346245,0
2000,0.923,786.83015798367,"PA",2007,"Pennsylvania",802.966845572057,0
2001,0.923,744.346964838566,"PA",2007,"Pennsylvania",638.546651820086,0
2002,0.923,540.400143722158,"PA",2007,"Pennsylvania",540.778640964241,0
2003,0.923,516.577216480582,"PA",2007,"Pennsylvania",522.853494347471,0
2004,0.923,579.033583272613,"PA",2007,"Pennsylvania",716.468242743505,0
2005,0.923,774.127979364563,"PA",2007,"Pennsylvania",701.218131914863,0
2006,0.923,993.870462929557,"PA",2007,"Pennsylvania",840.175496568841,0
2007,0.923,1081.40483253056,"PA",2007,"Pennsylvania",878.613379480279,1
2008,0.923,974.341120253474,"PA",2007,"Pennsylvania",807.82311425894,1
2009,0.923,778.531941231813,"PA",2007,"Pennsylvania",641.128995719935,1
2010,0.923,672.15672782636,"PA",2007,"Pennsylvania",595.500249341848,1
2011,0.923,759.400346225908,"PA",2007,"Pennsylvania",690.557226789082,1
2012,0.923,788.828776509791,"PA",2007,"Pennsylvania",627.350825102037,1
2013,0.923,861.765025964774,"PA",2007,"Pennsylvania",742.462839202566,1
2014,0.923,816.531159524254,"PA",2007,"Pennsylvania",760.757461515091,1
2015,0.923,866.810191695877,"PA",2007,"Pennsylvania",828.871531717425,1
2016,0.923,777.436500219529,"PA",2007,"Pennsylvania",801.053072449923,1
2017,0.923,760.805203129492,"PA",2007,"Pennsylvania",748.251692743078,1
2018,0.923,804.902407527929,"PA",2007,"Pennsylvania",773.791879638999,1
2019,0.923,955.674893117057,"PA",2007,"Pennsylvania",906.238974474746,1
2020,0.923,794.663975042903,"PA",2007,"Pennsylvania",747.038469536393,1
2021,0.923,1182.15555475154,"PA",2007,"Pennsylvania",1148.33211220073,1
2022,0.923,1507.81832251601,"PA",2007,"Pennsylvania",1320.25306278555,1
