"year","sum_weight","syn_state","State_Acronym","year_effective","State_Name","real_ci_cap","Post"
1976,0.917,796.505560414745,"SC",2007,"South Carolina",793.381258898875,0
1977,0.917,853.419341069883,"SC",2007,"South Carolina",979.99107594299,0
1978,0.917,872.436363010809,"SC",2007,"South Carolina",1032.14630013192,0
1979,0.917,895.890431675043,"SC",2007,"South Carolina",1041.40023338532,0
1980,0.917,853.174735715458,"SC",2007,"South Carolina",990.354384636779,0
1981,0.917,813.623299644123,"SC",2007,"South Carolina",880.490323569422,0
1982,0.917,735.062097755434,"SC",2007,"South Carolina",708.299577430429,0
1983,0.917,640.121544526619,"SC",2007,"South Carolina",663.224864698008,0
1984,0.917,672.460433482003,"SC",2007,"South Carolina",781.170594566013,0
1985,0.917,769.011047935491,"SC",2007,"South Carolina",936.769772813574,0
1986,0.917,765.528366906314,"SC",2007,"South Carolina",856.842873408629,0
1987,0.917,765.809190137655,"SC",2007,"South Carolina",826.655213982204,0
1988,0.917,806.362593835627,"SC",2007,"South Carolina",842.142601027193,0
1989,0.917,865.749216788823,"SC",2007,"South Carolina",1028.27057011232,0
1990,0.917,771.000217976122,"SC",2007,"South Carolina",660.034420030126,0
1991,0.917,708.939559349759,"SC",2007,"South Carolina",624.723837043386,0
1992,0.917,653.466160364069,"SC",2007,"South Carolina",561.781501670749,0
1993,0.917,711.024337282339,"SC",2007,"South Carolina",671.529371299062,0
1994,0.917,766.267109453479,"SC",2007,"South Carolina",806.273780847363,0
1995,0.917,828.077115417085,"SC",2007,"South Carolina",887.486183966416,0
1996,0.917,831.484660337397,"SC",2007,"South Carolina",855.259965365161,0
1997,0.917,853.758100625514,"SC",2007,"South Carolina",786.93999448399,0
1998,0.917,860.562980924203,"SC",2007,"South Carolina",682.660655508451,0
1999,0.917,787.470509515173,"SC",2007,"South Carolina",795.497284677804,0
2000,0.917,783.417832499418,"SC",2007,"South Carolina",655.61454733852,0
2001,0.917,740.331187171127,"SC",2007,"South Carolina",533.594021622805,0
2002,0.917,536.466334381809,"SC",2007,"South Carolina",432.580949939655,0
2003,0.917,511.844808057231,"SC",2007,"South Carolina",455.404810159684,0
2004,0.917,574.564478794273,"SC",2007,"South Carolina",494.089471418401,0
2005,0.917,767.049137672678,"SC",2007,"South Carolina",592.19845712199,0
2006,0.917,985.95889191365,"SC",2007,"South Carolina",675.557947445877,0
2007,0.917,1074.20504381634,"SC",2007,"South Carolina",676.980363729051,1
2008,0.917,967.533471518759,"SC",2007,"South Carolina",641.160783547053,1
2009,0.917,773.200112070016,"SC",2007,"South Carolina",506.145355473553,1
2010,0.917,668.394345107335,"SC",2007,"South Carolina",293.805152379376,1
2011,0.917,754.190845259926,"SC",2007,"South Carolina",411.168759740732,1
2012,0.917,784.196596534307,"SC",2007,"South Carolina",466.844984523138,1
2013,0.917,856.712574625832,"SC",2007,"South Carolina",696.781628163121,1
2014,0.917,811.197892895182,"SC",2007,"South Carolina",641.053412015346,1
2015,0.917,861.375272481901,"SC",2007,"South Carolina",650.322443135847,1
2016,0.917,773.457811074093,"SC",2007,"South Carolina",685.543927499187,1
2017,0.917,756.418578993526,"SC",2007,"South Carolina",552.369837924768,1
2018,0.917,800.369307200902,"SC",2007,"South Carolina",632.216498751641,1
2019,0.917,950.179860137144,"SC",2007,"South Carolina",600.949814487246,1
2020,0.917,790.000097594122,"SC",2007,"South Carolina",760.432581399789,1
2021,0.917,1175.63195805283,"SC",2007,"South Carolina",1051.88162647677,1
2022,0.917,1499.95710932692,"SC",2007,"South Carolina",1557.71177577685,1
