"State_Acronym","year","CORPINCTX","sales","industry_dum","election_dum","phase_in_dum","rates","log_CIT","year_effective","Post","treatment","rel_year","State_Name","real_cit","logRealCitRev","real_cit_capita","detrended_CIT_capita"
"AL",1976,60307,33.34,NA,NA,NA,5,11.0072034622133,2021,0,0,-45,"Alabama",105987.69771529,11.5710783070691,28.3758376101371,0.188223951499893
"AL",1977,75874,33.34,NA,NA,NA,5,11.2368293487033,2021,0,0,-44,"Alabama",125204.620462046,11.7377046416161,33.1193844841532,4.39685119651028
"AL",1978,83161,33.34,NA,NA,NA,5,11.3285337669117,2021,0,0,-43,"Alabama",127547.54601227,11.7562444839672,33.2862747811415,4.02882186449287
"AL",1979,100610,33.34,NA,NA,NA,5,11.5190069352861,2021,0,0,-42,"Alabama",138581.267217631,11.8392121994434,35.8438639263779,6.05149138072356
"AL",1980,109238,33.34,NA,NA,NA,5,11.6012842671081,2021,0,0,-41,"Alabama",132570.388349515,11.7948690161807,33.9892000830472,3.66190790838715
"AL",1981,99095,33.34,NA,NA,NA,5,11.5038342649584,2021,0,0,-40,"Alabama",109015.401540154,11.5992444497631,27.8204769951173,-3.04173480854846
"AL",1982,123218,33.34,NA,NA,NA,5,11.7217104233055,2021,0,0,-39,"Alabama",127687.046632124,11.7573376009487,32.5295270771775,1.13239564450603
"AL",1983,133717,33.34,NA,NA,NA,5,11.8034809053437,2021,0,0,-38,"Alabama",134254.016064257,11.8074889267412,34.1257079923848,2.19365693070761
"AL",1984,223816,33.34,NA,NA,NA,5,12.3185795647084,2021,0,0,-37,"Alabama",215414.821944177,12.2803208525913,54.510281830695,22.0433111400121
"AL",1985,199998,33.34,NA,NA,NA,5,12.2060626454802,2021,0,0,-36,"Alabama",185871.747211896,12.1328121837406,46.7893445077337,13.7874541880451
"AL",1986,156745,33.34,NA,NA,NA,5,11.9623755600598,2021,0,0,-35,"Alabama",143015.510948905,11.870708371534,35.8293971490672,2.29258720037289
"AL",1987,162699,33.34,NA,NA,NA,5,11.9996571469067,2021,0,0,-34,"Alabama",143220.950704225,11.8721438266078,35.6691242977362,1.59739472003617
"AL",1988,177657,33.34,NA,NA,NA,5,12.087610003994,2021,0,0,-33,"Alabama",150174.978867287,11.9195564189978,37.3212726107887,2.71462340408296
"AL",1989,215817,33.34,NA,NA,NA,5,12.2821861053485,2021,0,0,-32,"Alabama",174045.967741935,12.0670747257316,43.1852061107144,8.04363727500296
"AL",1990,179833,33.34,NA,NA,NA,5,12.0997839214424,2021,0,0,-31,"Alabama",137592.195868401,11.8320494868003,33.9859019343425,-1.69058653037465
"AL",1991,168253,33.34,NA,NA,NA,5,12.0332240779572,2021,0,0,-30,"Alabama",123533.773861968,11.7242698702299,30.1962891602881,-6.01511893343477
"AL",1992,164779,33.34,NA,NA,NA,5,12.0123604611535,2021,0,0,-29,"Alabama",117447.612259444,11.6737476600332,28.3739984667447,-8.37232925598387
"AL",1993,189506,33.34,NA,NA,NA,5,12.1521759652725,2021,0,0,-28,"Alabama",131146.020761246,11.7840666437081,31.2765216403002,-6.00472571143409
"AL",1994,218131,33.34,NA,NA,NA,5,12.2928510787238,2021,0,0,-27,"Alabama",147186.909581646,11.8994585518499,34.7715867203358,-3.0445802604042
"AL",1995,236279,33.34,NA,NA,NA,5,12.3727685891454,2021,0,0,-26,"Alabama",155038.713910761,11.951430131881,36.3707477461658,-1.98033886357991
"AL",1996,217616,33.34,NA,NA,NA,5,12.2904873206725,2021,0,0,-25,"Alabama",138697.259400892,11.8400488469216,32.3273266872348,-6.55867955151661
"AL",1997,226616,33.34,NA,NA,NA,5,12.331012234086,2021,0,0,-24,"Alabama",141193.769470405,11.857888477504,32.6816171148138,-6.73930875294333
"AL",1998,243803,33.34,NA,NA,NA,5,12.4041158011218,2021,0,0,-23,"Alabama",149572.392638037,11.9155357863031,34.3762630926919,-5.57958240407093
