"","year","State_Acronym","SVRNCTAX","state","sales","year_effective","post_eff","rel_year","population","Sev_cap","Sev_log"
"1",1976,"AZ",0,"Arizona",33.34,2007,0,-31,2346.157,0,-Inf
"2",1976,"IL",0,"Illinois",33.34,1999,0,-23,11342.853,0,-Inf
"3",1976,"MO",0,"Missouri",33.34,2020,0,-44,4839.029,0,-Inf
"4",1976,"NC",0,"North Carolina",33.34,2016,0,-40,5607.964,0,-Inf
"5",1976,"WV",0,"West Virginia",33.34,2022,0,-46,1879.503,0,-Inf
"6",1977,"AZ",0,"Arizona",33.34,2007,0,-30,2425.197,0,-Inf
"7",1977,"IL",0,"Illinois",33.34,1999,0,-22,11386.316,0,-Inf
"8",1977,"MO",0,"Missouri",33.34,2020,0,-43,4863.173,0,-Inf
"9",1977,"NC",0,"North Carolina",33.34,2016,0,-39,5685.607,0,-Inf
"10",1977,"WV",0,"West Virginia",33.34,2022,0,-45,1908.088,0,-Inf
"11",1978,"AZ",0,"Arizona",33.34,2007,0,-29,2515.316,0,-Inf
"12",1978,"IL",0,"Illinois",33.34,1999,0,-21,11412.561,0,-Inf
"13",1978,"NC",0,"North Carolina",33.34,2016,0,-38,5759.492,0,-Inf
"14",1978,"WV",0,"West Virginia",33.34,2022,0,-44,1923.395,0,-Inf
"15",1979,"AZ",0,"Arizona",33.34,2007,0,-28,2635.571,0,-Inf
"16",1979,"IL",0,"Illinois",33.34,1999,0,-20,11396.837,0,-Inf
"17",1979,"WV",0,"West Virginia",33.34,2022,0,-43,1942.146,0,-Inf
"18",1980,"AZ",0,"Arizona",33.34,2007,0,-27,2737.774,0,-Inf
"19",1980,"IL",0,"Illinois",33.34,1999,0,-19,11434.702,0,-Inf
"20",1980,"WV",0,"West Virginia",33.34,2022,0,-42,1951.349,0,-Inf
"21",1981,"AZ",0,"Arizona",33.34,2007,0,-26,2810.107,0,-Inf
"22",1981,"IL",0,"Illinois",33.34,1999,0,-18,11443.458,0,-Inf
"23",1981,"WV",0,"West Virginia",33.34,2022,0,-41,1954.124,0,-Inf
"24",1982,"AZ",0,"Arizona",33.34,2007,0,-25,2889.861,0,-Inf
"25",1982,"IL",0,"Illinois",33.34,1999,0,-17,11423.412,0,-Inf
"26",1982,"NV",0,"Nevada",0,NA,NA,NA,881.537,0,-Inf
"27",1982,"WV",0,"West Virginia",33.34,2022,0,-40,1949.604,0,-Inf
"28",1983,"AZ",0,"Arizona",33.34,2007,0,-24,2968.925,0,-Inf
"29",1983,"IL",0,"Illinois",33.34,1999,0,-16,11408.818,0,-Inf
"30",1983,"NV",0,"Nevada",0,NA,NA,NA,901.977,0,-Inf
"31",1983,"WV",0,"West Virginia",33.34,2022,0,-39,1945.061,0,-Inf
"32",1984,"AZ",0,"Arizona",33.34,2007,0,-23,3067.135,0,-Inf
"33",1984,"IL",0,"Illinois",33.34,1999,0,-15,11412.132,0,-Inf
"34",1984,"WV",0,"West Virginia",33.34,2022,0,-38,1927.697,0,-Inf
"35",1985,"AZ",0,"Arizona",33.34,2007,0,-22,3183.538,0,-Inf
"36",1985,"IL",0,"Illinois",33.34,1999,0,-14,11399.806,0,-Inf
"37",1985,"WV",0,"West Virginia",33.34,2022,0,-37,1906.831,0,-Inf
"38",1986,"AZ",0,"Arizona",33.34,2007,0,-21,3308.262,0,-Inf
"39",1986,"IL",0,"Illinois",33.34,1999,0,-13,11387.257,0,-Inf
"40",1986,"WV",0,"West Virginia",50,2022,0,-36,1882.35,0,-Inf
"41",1987,"AZ",0,"Arizona",33.34,2007,0,-20,3437.103,0,-Inf
"42",1987,"IL",0,"Illinois",50,1999,0,-12,11391.178,0,-Inf
"43",1988,"AZ",0,"Arizona",33.34,2007,0,-19,3535.183,0,-Inf
"44",1988,"IL",0,"Illinois",50,1999,0,-11,11390.183,0,-Inf
"45",1988,"NH",0,"New Hampshire",33.34,2022,0,-34,1082.577,0,-Inf
"46",1989,"AZ",0,"Arizona",33.34,2007,0,-18,3622.185,0,-Inf
"47",1989,"IL",0,"Illinois",50,1999,0,-10,11409.782,0,-Inf
"48",1990,"AZ",0,"Arizona",33.34,2007,0,-17,3679.056,0,-Inf
"49",1990,"IL",0,"Illinois",50,1999,0,-9,11446.979,0,-Inf
"50",1991,"AZ",0,"Arizona",50,2007,0,-16,3762.394,0,-Inf
"51",1991,"IL",0,"Illinois",50,1999,0,-8,11535.973,0,-Inf
"52",1992,"AZ",0,"Arizona",50,2007,0,-15,3867.333,0,-Inf
"53",1992,"IL",0,"Illinois",50,1999,0,-7,11635.197,0,-Inf
"54",1993,"AZ",0,"Arizona",50,2007,0,-14,3993.39,0,-Inf
"55",1993,"IL",0,"Illinois",50,1999,0,-6,11725.984,0,-Inf
"56",1994,"AZ",0,"Arizona",50,2007,0,-13,4147.561,0,-Inf
"57",1994,"IL",0,"Illinois",50,1999,0,-5,11804.986,0,-Inf
"58",1994,"NH",0,"New Hampshire",50,2022,0,-28,1133.054,0,-Inf
"59",1995,"AZ",0,"Arizona",50,2007,0,-12,4306.908,0,-Inf
"60",1995,"IL",0,"Illinois",50,1999,0,-4,11884.935,0,-Inf
"61",1996,"AZ",0,"Arizona",50,2007,0,-11,4432.308,0,-Inf
"62",1996,"IL",0,"Illinois",50,1999,0,-3,11953.003,0,-Inf
"63",1996,"NH",0,"New Hampshire",50,2022,0,-26,1160.768,0,-Inf
"64",1997,"AZ",0,"Arizona",50,2007,0,-10,4552.207,0,-Inf
"65",1997,"IL",0,"Illinois",50,1999,0,-2,12011.509,0,-Inf
"66",1997,"NH",0,"New Hampshire",50,2022,0,-25,1173.239,0,-Inf
"67",1998,"AZ",0,"Arizona",50,2007,0,-9,4667.277,0,-Inf
"68",1998,"IL",0,"Illinois",50,1999,0,-1,12069.774,0,-Inf
"69",1998,"NH",0,"New Hampshire",50,2022,0,-24,1185.823,0,-Inf
"70",1999,"AZ",0,"Arizona",50,2007,0,-8,4778.332,0,-Inf
"71",1999,"IL",0,"Illinois",66.67,1999,1,0,12128.37,0,-Inf
"72",1999,"NH",0,"New Hampshire",50,2022,0,-23,1201.134,0,-Inf
"73",2000,"AZ",0,"Arizona",50,2007,0,-7,5160.586,0,-Inf
"74",2000,"NH",0,"New Hampshire",50,2022,0,-22,1239.882,0,-Inf
"75",2001,"NH",0,"New Hampshire",50,2022,0,-21,1255.517,0,-Inf
"76",2002,"MO",0,"Missouri",100,2020,0,-18,5674.825,0,-Inf
"77",2002,"NH",0,"New Hampshire",50,2022,0,-20,1269.089,0,-Inf
"78",2003,"NH",0,"New Hampshire",50,2022,0,-19,1279.84,0,-Inf
"79",2004,"NH",0,"New Hampshire",50,2022,0,-18,1290.121,0,-Inf
"80",2005,"NH",0,"New Hampshire",50,2022,0,-17,1298.492,0,-Inf
"81",2006,"NH",0,"New Hampshire",50,2022,0,-16,1308.389,0,-Inf
"82",2007,"NH",0,"New Hampshire",50,2022,0,-15,1312.54,0,-Inf
"83",2008,"IL",0,"Illinois",100,1999,1,9,12747.038,0,-Inf
"84",2008,"NH",0,"New Hampshire",50,2022,0,-14,1315.906,0,-Inf
"85",2009,"IL",0,"Illinois",100,1999,1,10,12796.778,0,-Inf
"86",2009,"NH",0,"New Hampshire",50,2022,0,-13,1316.102,0,-Inf
"87",2010,"IL",0,"Illinois",100,1999,1,11,12840.545,0,-Inf
"88",2010,"NH",0,"New Hampshire",50,2022,0,-12,1316.807,0,-Inf
"89",2011,"IL",0,"Illinois",100,1999,1,12,12867.783,0,-Inf
"90",2011,"NH",0,"New Hampshire",50,2022,0,-11,1320.444,0,-Inf
"91",2012,"IL",0,"Illinois",100,1999,1,13,12883.029,0,-Inf
"92",2012,"NH",0,"New Hampshire",50,2022,0,-10,1324.677,0,-Inf
"93",2013,"IL",0,"Illinois",100,1999,1,14,12895.778,0,-Inf
"94",2013,"NH",0,"New Hampshire",50,2022,0,-9,1327.272,0,-Inf
"95",2014,"IL",0,"Illinois",100,1999,1,15,12885.092,0,-Inf
"96",2017,"CO",0,"Colorado",100,2009,1,8,5617.421,0,-Inf
"97",2021,"CO",0,"Colorado",100,2009,1,12,5811.596,0,-Inf
"98",2021,"MO",0,"Missouri",100,2020,1,1,6170.393,0,-Inf
"99",2022,"MO",0,"Missouri",100,2020,1,2,6177.168,0,-Inf
